2021-05-07_15-48-58.jpg; date_time: 2021-05-07 15:48:58; grid_n: 1; count: 10; total_area: 2296; mean_area: 229.6; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-49-58.jpg; date_time: 2021-05-07 15:49:58; grid_n: 1; count: 7; total_area: 1656; mean_area: 236.57; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-50-58.jpg; date_time: 2021-05-07 15:50:58; grid_n: 1; count: 8; total_area: 1826; mean_area: 228.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-51-58.jpg; date_time: 2021-05-07 15:51:58; grid_n: 1; count: 16; total_area: 4583; mean_area: 286.44; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-52-58.jpg; date_time: 2021-05-07 15:52:58; grid_n: 1; count: 10; total_area: 2889; mean_area: 288.9; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-53-58.jpg; date_time: 2021-05-07 15:53:58; grid_n: 1; count: 26; total_area: 7431; mean_area: 285.81; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-54-58.jpg; date_time: 2021-05-07 15:54:58; grid_n: 1; count: 26; total_area: 8309; mean_area: 319.58; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-55-58.jpg; date_time: 2021-05-07 15:55:58; grid_n: 1; count: 42; total_area: 12749; mean_area: 303.55; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-56-58.jpg; date_time: 2021-05-07 15:56:58; grid_n: 1; count: 34; total_area: 9721; mean_area: 285.91; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-57-58.jpg; date_time: 2021-05-07 15:57:58; grid_n: 1; count: 40; total_area: 11477; mean_area: 286.93; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-58-58.jpg; date_time: 2021-05-07 15:58:58; grid_n: 1; count: 40; total_area: 10467; mean_area: 261.68; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_15-59-58.jpg; date_time: 2021-05-07 15:59:58; grid_n: 1; count: 48; total_area: 13597; mean_area: 283.27; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-00-58.jpg; date_time: 2021-05-07 16:00:58; grid_n: 1; count: 44; total_area: 12679; mean_area: 288.16; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-01-58.jpg; date_time: 2021-05-07 16:01:58; grid_n: 1; count: 48; total_area: 13108; mean_area: 273.08; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-02-58.jpg; date_time: 2021-05-07 16:02:58; grid_n: 1; count: 66; total_area: 17688; mean_area: 268; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-03-58.jpg; date_time: 2021-05-07 16:03:58; grid_n: 1; count: 46; total_area: 11893; mean_area: 258.54; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-04-58.jpg; date_time: 2021-05-07 16:04:58; grid_n: 1; count: 59; total_area: 14405; mean_area: 244.15; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-05-58.jpg; date_time: 2021-05-07 16:05:58; grid_n: 1; count: 58; total_area: 15090; mean_area: 260.17; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-06-58.jpg; date_time: 2021-05-07 16:06:58; grid_n: 1; count: 48; total_area: 11897; mean_area: 247.85; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-07-58.jpg; date_time: 2021-05-07 16:07:58; grid_n: 1; count: 48; total_area: 12097; mean_area: 252.02; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-08-58.jpg; date_time: 2021-05-07 16:08:58; grid_n: 1; count: 40; total_area: 8910; mean_area: 222.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-09-58.jpg; date_time: 2021-05-07 16:09:58; grid_n: 1; count: 35; total_area: 9349; mean_area: 267.11; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-10-58.jpg; date_time: 2021-05-07 16:10:58; grid_n: 1; count: 29; total_area: 6678; mean_area: 230.28; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-11-58.jpg; date_time: 2021-05-07 16:11:58; grid_n: 1; count: 41; total_area: 9909; mean_area: 241.68; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-12-58.jpg; date_time: 2021-05-07 16:12:58; grid_n: 1; count: 32; total_area: 6782; mean_area: 211.94; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-13-58.jpg; date_time: 2021-05-07 16:13:58; grid_n: 1; count: 22; total_area: 4339; mean_area: 197.23; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-14-58.jpg; date_time: 2021-05-07 16:14:58; grid_n: 1; count: 34; total_area: 7743; mean_area: 227.74; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-15-58.jpg; date_time: 2021-05-07 16:15:58; grid_n: 1; count: 28; total_area: 5760; mean_area: 205.71; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-16-58.jpg; date_time: 2021-05-07 16:16:58; grid_n: 1; count: 25; total_area: 4759; mean_area: 190.36; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-17-58.jpg; date_time: 2021-05-07 16:17:58; grid_n: 1; count: 26; total_area: 5088; mean_area: 195.69; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-18-58.jpg; date_time: 2021-05-07 16:18:58; grid_n: 1; count: 23; total_area: 4508; mean_area: 196; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-19-58.jpg; date_time: 2021-05-07 16:19:58; grid_n: 1; count: 21; total_area: 3988; mean_area: 189.9; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-20-58.jpg; date_time: 2021-05-07 16:20:58; grid_n: 1; count: 23; total_area: 5324; mean_area: 231.48; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-21-58.jpg; date_time: 2021-05-07 16:21:58; grid_n: 1; count: 33; total_area: 6597; mean_area: 199.91; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-22-58.jpg; date_time: 2021-05-07 16:22:58; grid_n: 1; count: 33; total_area: 7072; mean_area: 214.3; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-23-58.jpg; date_time: 2021-05-07 16:23:58; grid_n: 1; count: 36; total_area: 7104; mean_area: 197.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-24-58.jpg; date_time: 2021-05-07 16:24:58; grid_n: 1; count: 34; total_area: 6299; mean_area: 185.26; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-25-58.jpg; date_time: 2021-05-07 16:25:58; grid_n: 1; count: 37; total_area: 9110; mean_area: 246.22; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-26-58.jpg; date_time: 2021-05-07 16:26:58; grid_n: 1; count: 33; total_area: 6379; mean_area: 193.3; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-27-58.jpg; date_time: 2021-05-07 16:27:58; grid_n: 1; count: 39; total_area: 7775; mean_area: 199.36; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-28-58.jpg; date_time: 2021-05-07 16:28:58; grid_n: 1; count: 42; total_area: 8463; mean_area: 201.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-29-58.jpg; date_time: 2021-05-07 16:29:58; grid_n: 1; count: 37; total_area: 7979; mean_area: 215.65; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-30-58.jpg; date_time: 2021-05-07 16:30:58; grid_n: 1; count: 48; total_area: 11126; mean_area: 231.79; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-31-58.jpg; date_time: 2021-05-07 16:31:58; grid_n: 1; count: 57; total_area: 10840; mean_area: 190.18; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-07_16-32-58.jpg; date_time: 2021-05-07 16:32:58; grid_n: 1; count: 34; total_area: 7220; mean_area: 212.35; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
