,Unnamed: 0,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time,delay,r2
88,88,Prok_Taxa00115,ecol_ts,random_01,runif_ts,0.504,0.5914,0.2521,0.2372,0.1765042,0.1637318,7,0.25,0.6,8,0.5,499,0.5,0,0.1,0.0,0.08,1,0.34975396000000003
89,89,Prok_Taxa00116,ecol_ts,random_01,runif_ts,0.0541,0.1805,0.2997,0.2853,0.2495548,0.2368986,2,0.75,0.5,3,0.7,499,0.5,0,0.08,0.0,0.09,1,0.03258025
90,90,Prok_Taxa00117,ecol_ts,random_01,runif_ts,0.2326,0.3428,0.2837,0.2769,0.2236635,0.2231178,2,1.0,0.5,3,0.8,499,0.5,0,0.08,0.0,0.09,1,0.11751183999999999
91,91,Prok_Taxa00118,ecol_ts,random_01,runif_ts,-0.0291,0.0043,0.3054,0.2923,0.2591984,0.2487879,2,2.0,0.5,3,0.8,499,0.5,0,0.08,0.0,0.09,1,1.849e-05
92,92,Prok_Taxa00119,ecol_ts,random_01,runif_ts,0.5182,0.5622,0.2508,0.242,0.174682,0.1704064,13,1.0,0.3,14,0.5,499,0.5,0,0.1,0.0,0.11,1,0.31606884
93,93,Prok_Taxa00120,ecol_ts,random_01,runif_ts,0.3013,0.396,0.281,0.2671,0.2194393,0.2077238,3,2.0,0.4,4,0.5,499,0.5,0,0.08,0.0,0.09,1,0.156816
94,94,Prok_Taxa00121,ecol_ts,random_01,runif_ts,0.2446,0.3176,0.2834,0.2748,0.2231692,0.219881,4,2.0,0.5,5,0.9,499,0.5,0,0.1,0.0,0.09,1,0.10086976
95,95,Prok_Taxa00122,ecol_ts,random_01,runif_ts,0.2396,0.3838,0.2842,0.2711,0.2244414,0.2139309,5,0.25,0.8,6,0.9,499,0.5,0,0.09,0.0,0.1,1,0.14730243999999998
96,96,Prok_Taxa00123,ecol_ts,random_01,runif_ts,0.302,0.3802,0.2782,0.2726,0.2150383,0.2162422,2,1.5,0.5,3,0.8,499,0.5,0,0.09,0.0,0.09,1,0.14455204
97,97,Prok_Taxa00125,ecol_ts,random_01,runif_ts,0.1471,0.3737,0.2896,0.2749,0.2329306,0.2200545,2,1.5,0.5,3,0.8,499,0.5,0,0.08,0.0,0.09,1,0.13965169
98,98,Prok_Taxa00126,ecol_ts,random_01,runif_ts,0.276,0.4423,0.2804,0.2703,0.2183768,0.2126499,2,2.0,0.5,3,0.8,499,0.5,0,0.08,0.0,0.09,1,0.19562929
99,99,Prok_Taxa00128,ecol_ts,random_01,runif_ts,0.1391,0.2665,0.2949,0.2817,0.2416598,0.2309937,2,1.5,0.5,3,0.9,499,0.5,0,0.08,0.0,0.09,1,0.07102225000000001
100,100,Prok_Taxa00129,ecol_ts,random_01,runif_ts,0.4749,0.5211,0.2567,0.2475,0.1830201,0.1782994,9,2.0,0.2,10,0.5,499,0.5,0,0.1,0.0,0.1,1,0.27154521
101,101,Prok_Taxa00130,ecol_ts,random_01,runif_ts,0.5644,0.6099,0.2408,0.2303,0.1611565,0.1543923,9,1.0,0.9,10,0.4,499,0.5,0,0.09,0.0,0.11,1,0.37197800999999997
102,102,Prok_Taxa00132,ecol_ts,random_01,runif_ts,0.486,0.5358,0.2557,0.247,0.1815847,0.1776357,5,1.5,0.8,6,0.7,499,0.5,0,0.09,0.0,0.08,1,0.2870816400000001
103,103,Prok_Taxa00133,ecol_ts,random_01,runif_ts,0.5279,0.562,0.2493,0.242,0.1726276,0.1705,19,0.75,0.7,20,0.6,499,0.5,0,0.11,0.0,0.12,1,0.31584400000000007
104,104,Prok_Taxa00134,ecol_ts,random_01,runif_ts,0.5711,0.6008,0.2535,0.2487,0.1785702,0.1800223,7,2.0,0.9,8,0.3,499,0.5,0,0.09,0.0,0.1,1,0.36096064
105,105,Prok_Taxa00135,ecol_ts,random_01,runif_ts,0.494,0.5501,0.2554,0.2467,0.1812218,0.1771193,5,2.0,0.4,6,0.7,499,0.5,0,0.11,0.0,0.1,1,0.30261001000000004
106,106,Prok_Taxa00136,ecol_ts,random_01,runif_ts,0.3825,0.4966,0.2717,0.253,0.2051601,0.1862829,3,2.0,0.4,4,0.3,499,0.5,0,0.1,0.0,0.08,1,0.24661155999999998
107,107,Prok_Taxa00138,ecol_ts,random_01,runif_ts,0.2575,0.3571,0.285,0.2726,0.2256847,0.2163638,5,0.1,0.2,6,0.8,499,0.5,0,0.1,0.0,0.09,1,0.12752040999999997
108,108,Prok_Taxa00139,ecol_ts,random_01,runif_ts,0.3089,0.4674,0.2779,0.262,0.2144888,0.1998186,3,2.0,0.4,4,0.8,499,0.5,0,0.08,0.0,0.09,1,0.21846275999999998
109,109,Prok_Taxa00140,ecol_ts,random_01,runif_ts,0.3695,0.4298,0.2727,0.2668,0.2065367,0.2071696,3,1.5,0.4,4,0.8,499,0.5,0,0.08,0.0,0.1,1,0.18472804
110,110,Prok_Taxa00143,ecol_ts,random_01,runif_ts,0.6731,0.6993,0.2179,0.211,0.1319198,0.129589,9,1.0,0.9,10,0.3,499,0.5,0,0.1,0.0,0.09,1,0.48902049000000003
111,111,Prok_Taxa00144,ecol_ts,random_01,runif_ts,0.3466,0.421,0.2736,0.265,0.2079892,0.2044453,5,2.0,0.2,6,0.8,499,0.5,0,0.09,0.0,0.1,1,0.17724099999999998
112,112,Prok_Taxa00145,ecol_ts,random_01,runif_ts,0.5269,0.564,0.2479,0.2397,0.1707173,0.1672818,9,1.5,0.2,10,0.5,499,0.5,0,0.1,0.0,0.11,1,0.31809599999999993
113,113,Prok_Taxa00146,ecol_ts,random_01,runif_ts,0.2167,0.299,0.2852,0.2782,0.2259533,0.2253137,2,2.0,0.5,3,0.8,499,0.5,0,0.09,0.0,0.12,1,0.089401
114,114,Prok_Taxa00147,ecol_ts,random_01,runif_ts,0.4788,0.5291,0.2561,0.2471,0.1822285,0.1778051,5,2.0,0.4,6,0.6,499,0.5,0,0.09,0.0,0.09,1,0.27994681
115,115,Prok_Taxa00148,ecol_ts,random_01,runif_ts,0.628,0.6464,0.2272,0.2214,0.1434206,0.1426617,14,0.75,0.4,15,0.2,499,0.5,0,0.12,0.0,0.1,1,0.41783296
116,116,Prok_Taxa00149,ecol_ts,random_01,runif_ts,0.4231,0.4815,0.2647,0.254,0.194648,0.1878284,4,2.0,0.3,5,0.5,499,0.5,0,0.09,0.0,0.08,1,0.23184224999999997
117,117,Prok_Taxa00150,ecol_ts,random_01,runif_ts,0.5066,0.545,0.2516,0.2434,0.1758878,0.1724388,5,1.5,0.6,6,0.7,499,0.5,0,0.09,0.0,0.09,1,0.29702500000000004
118,118,Prok_Taxa00151,ecol_ts,random_01,runif_ts,0.5197,0.5399,0.2492,0.2439,0.1725506,0.1732205,11,2.0,0.2,12,0.2,499,0.5,0,0.11,0.0,0.1,1,0.29149201
119,119,Prok_Taxa00152,ecol_ts,random_01,runif_ts,0.3422,0.4516,0.275,0.2643,0.2100306,0.203352,3,0.75,0.0,4,0.9,499,0.5,0,0.08,0.0,0.09,1,0.20394256
120,120,Prok_Taxa00156,ecol_ts,random_01,runif_ts,0.1165,0.2769,0.3089,0.2803,0.2651495,0.2287511,3,1.0,0.4,4,0.4,499,0.5,0,0.08,0.0,0.08,1,0.07667360999999999
121,121,Prok_Taxa00158,ecol_ts,random_01,runif_ts,0.1615,0.3809,0.2893,0.2764,0.2325271,0.2223108,3,1.5,0.4,4,0.9,499,0.5,0,0.08,0.0,0.08,1,0.14508481
122,122,Prok_Taxa00160,ecol_ts,random_01,runif_ts,0.4952,0.5384,0.2539,0.2442,0.179035,0.1736027,8,0.75,0.5,9,0.6,499,0.5,0,0.09,0.0,0.1,1,0.28987456
