,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,delay,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate
13,Combined_Network_runif_ts,0.61,0.4086,0.2367,0.263,0.1558824,0.2023759,3271,1.12,500,3271,14,4,1.5,0.3,5,0.7
14,Combined_Network_runif_ts,0.5943,0.3765,0.2402,0.2672,0.1604989,0.2083934,3271,1.1,500,3271,15,4,1.5,0.3,5,0.7
15,Combined_Network_runif_ts,0.6203,0.3441,0.2366,0.2708,0.1557941,0.2136207,3271,1.14,500,3271,16,4,1.5,0.3,5,0.7
16,Combined_Network_runif_ts,0.6207,0.3032,0.237,0.2752,0.1562347,0.221387,3271,1.11,500,3271,17,4,1.5,0.3,5,0.7
17,Combined_Network_runif_ts,0.6136,0.2431,0.2387,0.2812,0.1584053,0.232023,3271,1.1,500,3271,18,4,1.5,0.3,5,0.7
18,Combined_Network_runif_ts,0.6088,0.2572,0.2401,0.2799,0.1603106,0.2305618,3271,1.13,500,3271,19,4,1.5,0.3,5,0.7
19,Combined_Network_runif_ts,0.611,0.2226,0.2396,0.2838,0.1592765,0.2383679,3271,1.06,500,3271,20,4,1.5,0.3,5,0.7
20,Combined_Network_runif_ts,0.6026,0.1845,0.2411,0.2858,0.1614811,0.2421753,3271,1.1,500,3271,21,4,1.5,0.3,5,0.7
21,Combined_Network_runif_ts,0.6158,0.1479,0.2408,0.29,0.1610223,0.2492766,3271,1.09,500,3271,22,4,1.5,0.3,5,0.7
22,Combined_Network_runif_ts,0.5901,0.0896,0.245,0.2956,0.1666832,0.2599618,3271,1.05,500,3271,23,4,1.5,0.3,5,0.7
23,Combined_Network_runif_ts,0.6077,0.1113,0.2397,0.3369,0.1600383,0.3373455,3271,1.09,500,3271,24,4,1.5,0.3,5,0.7
24,Combined_Network_runif_ts,0.5972,0.1052,0.2428,0.2946,0.1640306,0.258189,3271,1.07,500,3271,25,4,1.5,0.3,5,0.7
25,Combined_Network_runif_ts,0.605,0.1562,0.243,0.2887,0.1642817,0.2476751,3271,1.09,500,3271,26,4,1.5,0.3,5,0.7
26,Combined_Network_runif_ts,0.6086,0.1362,0.2422,0.2884,0.1630987,0.2470195,3271,1.06,500,3271,27,4,1.5,0.3,5,0.7
27,Combined_Network_runif_ts,0.6303,0.0347,0.2391,0.3014,0.1587467,0.2696885,3271,1.07,500,3271,28,4,1.5,0.3,5,0.7
28,Combined_Network_runif_ts,0.605,0.035,0.2439,0.3034,0.1654754,0.2721005,3271,1.07,500,3271,29,4,1.5,0.3,5,0.7
29,Combined_Network_runif_ts,0.6035,0.0485,0.2447,0.3202,0.1666022,0.3029837,3271,1.06,500,3271,30,4,1.5,0.3,5,0.7
30,Combined_Network_runif_ts,0.6288,0.0453,0.2416,0.3037,0.1624683,0.2732649,3271,1.09,500,3271,31,4,1.5,0.3,5,0.7
31,Combined_Network_runif_ts,0.6082,0.0579,0.2435,0.3062,0.1652507,0.2771313,3271,1.05,500,3271,32,4,1.5,0.3,5,0.7
32,Combined_Network_runif_ts,0.5856,0.0192,0.2472,0.303,0.1699921,0.2713016,3271,1.1,500,3271,33,4,1.5,0.3,5,0.7
33,Combined_Network_runif_ts,0.5765,-0.0343,0.2476,0.3095,0.1705906,0.2841933,3271,1.15,500,3271,34,4,1.5,0.3,5,0.7
34,Combined_Network_runif_ts,0.612,-0.0406,0.2441,0.3091,0.1658352,0.2846259,3271,1.14,500,3271,35,4,1.5,0.3,5,0.7
35,Combined_Network_runif_ts,0.601,-0.013,0.2461,0.3003,0.1682427,0.269239,3271,1.04,500,3271,36,4,1.5,0.3,5,0.7
36,Combined_Network_runif_ts,0.602,-0.0426,0.2445,0.3188,0.1664088,0.3035708,3271,1.1,500,3271,37,4,1.5,0.3,5,0.7
37,Combined_Network_runif_ts,0.5936,-0.003,0.2444,0.3136,0.166345,0.2941983,3271,1.05,500,3271,38,4,1.5,0.3,5,0.7
38,Combined_Network_runif_ts,0.5922,0.025,0.2453,0.2972,0.1674898,0.2638473,3271,1.15,500,3271,39,4,1.5,0.3,5,0.7
39,Combined_Network_runif_ts,0.6105,0.0114,0.2434,0.3016,0.1650195,0.2716225,3271,1.08,500,3271,40,4,1.5,0.3,5,0.7
40,Combined_Network_runif_ts,0.6069,-0.0338,0.245,0.3024,0.1674185,0.2723982,3271,1.13,500,3271,41,4,1.5,0.3,5,0.7
41,Combined_Network_runif_ts,0.616,0.0197,0.2421,0.3024,0.1634413,0.2727969,3271,1.06,500,3271,42,4,1.5,0.3,5,0.7
42,Combined_Network_runif_ts,0.6042,-0.0231,0.245,0.31,0.1674777,0.2874342,3271,1.04,500,3271,43,4,1.5,0.3,5,0.7
43,Combined_Network_runif_ts,0.613,0.0483,0.243,0.2974,0.1653689,0.2631091,3271,1.07,500,3271,44,4,1.5,0.3,5,0.7
44,Combined_Network_runif_ts,0.586,0.0055,0.2467,0.3019,0.170032,0.2711421,3271,1.3,500,3271,45,4,1.5,0.3,5,0.7
45,Combined_Network_runif_ts,0.6104,0.0652,0.2411,0.2989,0.1624398,0.2655527,3271,1.2,500,3271,46,4,1.5,0.3,5,0.7
46,Combined_Network_runif_ts,0.6192,0.0648,0.2411,0.2975,0.1624587,0.2635516,3271,1.04,500,3271,47,4,1.5,0.3,5,0.7
47,Combined_Network_runif_ts,0.6143,0.0452,0.2419,0.3261,0.1640966,0.3148946,3271,1.15,500,3271,48,4,1.5,0.3,5,0.7
48,Combined_Network_runif_ts,0.6148,0.1316,0.241,0.2995,0.1628092,0.2650759,3271,1.2,500,3271,49,4,1.5,0.3,5,0.7
49,Combined_Network_runif_ts,0.6206,0.1073,0.2408,0.2969,0.1624639,0.260633,3271,1.03,500,3271,50,4,1.5,0.3,5,0.7
