,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,delay,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate
0,Combined_Network_runif_ts,0.9514,0.9359,0.0935,0.1034,0.0242882,0.031113,3271,1.07,500,3271,1,4,1.5,0.3,5,0.7
1,Combined_Network_runif_ts,0.8695,0.8282,0.149,0.1638,0.061649,0.0781747,3271,1.06,500,3271,2,4,1.5,0.3,5,0.7
2,Combined_Network_runif_ts,0.789,0.742,0.1821,0.1964,0.0920866,0.1123064,3271,1.09,500,3271,3,4,1.5,0.3,5,0.7
3,Combined_Network_runif_ts,0.7334,0.6663,0.2015,0.2166,0.1127041,0.136662,3271,1.1,500,3271,4,4,1.5,0.3,5,0.7
4,Combined_Network_runif_ts,0.692,0.6176,0.2129,0.2278,0.1256538,0.1519361,3271,1.22,500,3271,5,4,1.5,0.3,5,0.7
5,Combined_Network_runif_ts,0.6922,0.5829,0.2132,0.2357,0.1259703,0.1624587,3271,1.11,500,3271,6,4,1.5,0.3,5,0.7
6,Combined_Network_runif_ts,0.6634,0.5409,0.2205,0.2439,0.1347566,0.1737168,3271,1.13,500,3271,7,4,1.5,0.3,5,0.7
7,Combined_Network_runif_ts,0.6611,0.501,0.2218,0.2512,0.1364993,0.1843485,3271,1.07,500,3271,8,4,1.5,0.3,5,0.7
8,Combined_Network_runif_ts,0.6485,0.517,0.226,0.2476,0.1416512,0.1796665,3271,1.12,500,3271,9,4,1.5,0.3,5,0.7
9,Combined_Network_runif_ts,0.6518,0.4947,0.2256,0.2513,0.1412117,0.185785,3271,1.15,500,3271,10,4,1.5,0.3,5,0.7
10,Combined_Network_runif_ts,0.648,0.4495,0.2271,0.2582,0.1430823,0.1957924,3271,1.07,500,3271,11,4,1.5,0.3,5,0.7
11,Combined_Network_runif_ts,0.6498,0.3615,0.2272,0.2724,0.1437562,0.2176801,3271,1.13,500,3271,12,4,1.5,0.3,5,0.7
12,Combined_Network_runif_ts,0.6353,0.3968,0.2313,0.2655,0.1487749,0.2066247,3271,1.14,500,3271,13,4,1.5,0.3,5,0.7
