,Taxa,w_in_sp_opt,w_in_st_opt,leak_opt
110,Prok_Taxa00143,0.9,1.0,0.3
111,Prok_Taxa00144,0.2,2.0,0.8
112,Prok_Taxa00145,0.2,1.5,0.5
113,Prok_Taxa00146,0.5,2.0,0.8
114,Prok_Taxa00147,0.4,2.0,0.6
115,Prok_Taxa00148,0.4,0.75,0.2
116,Prok_Taxa00149,0.3,2.0,0.5
117,Prok_Taxa00150,0.6,1.5,0.7
118,Prok_Taxa00151,0.2,2.0,0.2
119,Prok_Taxa00152,0.0,0.75,0.9
120,Prok_Taxa00156,0.4,1.0,0.4
121,Prok_Taxa00158,0.4,1.5,0.9
122,Prok_Taxa00160,0.5,0.75,0.6
123,Prok_Taxa00161,0.5,2.0,0.9
124,Prok_Taxa00162,0.4,2.0,0.6
125,Prok_Taxa00163,0.0,0.75,0.9
126,Prok_Taxa00164,0.4,0.25,0.9
127,Prok_Taxa00165,0.5,0.1,0.7
128,Prok_Taxa00166,0.2,1.5,0.7
129,Prok_Taxa00167,0.0,1.5,0.5
130,Prok_Taxa00168,0.5,0.5,0.4
131,Prok_Taxa00169,0.0,1.5,0.9
132,Prok_Taxa00171,0.9,0.75,0.7
133,Prok_Taxa00172,0.8,0.75,0.7
134,Prok_Taxa00174,0.9,0.75,0.6
135,Prok_Taxa00176,0.5,2.0,0.8
136,Prok_Taxa00177,0.4,1.5,0.7
137,Prok_Taxa00178,0.5,0.1,0.8
138,Prok_Taxa00179,0.1,1.5,0.5
139,Prok_Taxa00180,0.4,0.75,0.6
140,Prok_Taxa00181,0.0,1.5,0.9
141,Prok_Taxa00182,0.5,1.0,0.1
142,Prok_Taxa00184,0.3,1.0,0.6
143,Prok_Taxa00185,0.4,1.5,0.8
144,Prok_Taxa00186,0.5,2.0,0.9
145,Prok_Taxa00188,0.6,0.5,0.4
146,Prok_Taxa00189,0.8,2.0,0.4
147,Prok_Taxa00190,0.0,0.5,0.9
148,Prok_Taxa00191,0.5,2.0,0.8
149,Prok_Taxa00193,0.0,1.5,0.9
150,Prok_Taxa00194,0.3,2.0,0.8
151,Prok_Taxa00195,0.0,1.5,0.9
152,Prok_Taxa00196,0.4,0.75,0.9
153,Prok_Taxa00197,0.3,0.5,0.4
154,Prok_Taxa00199,0.4,0.75,0.8
155,Prok_Taxa00201,0.9,0.25,0.3
156,Prok_Taxa00202,0.4,1.5,0.8
157,Prok_Taxa00203,0.4,0.25,0.2
158,Prok_Taxa00206,0.9,1.5,0.3
159,Prok_Taxa00207,0.9,1.5,0.3
160,Prok_Taxa00208,0.0,2.0,0.9
161,Prok_Taxa00209,0.9,1.5,0.4
162,Prok_Taxa00211,0.9,0.5,0.9
163,Prok_Taxa00212,0.3,1.5,0.7
164,Prok_Taxa00213,0.5,0.1,0.5
165,Prok_Taxa00214,0.8,2.0,0.6
166,Prok_Taxa00216,0.5,2.0,0.8
167,Prok_Taxa00217,0.3,1.5,0.6
168,Prok_Taxa00218,0.9,0.5,0.5
169,Prok_Taxa00220,0.0,0.75,0.4
170,Prok_Taxa00221,0.4,0.75,0.8
171,Prok_Taxa00222,0.0,0.5,0.4
172,Prok_Taxa00223,0.5,1.5,0.7
173,Prok_Taxa00225,0.5,2.0,0.8
174,Prok_Taxa00227,0.0,2.0,0.9
175,Prok_Taxa00228,0.7,0.75,0.6
176,Prok_Taxa00229,0.8,1.5,0.5
177,Prok_Taxa00231,0.9,0.5,0.4
178,Prok_Taxa00232,0.5,1.0,0.8
179,Prok_Taxa00234,0.5,2.0,0.9
180,Prok_Taxa00235,0.0,2.0,0.9
181,Prok_Taxa00238,0.0,1.5,0.9
182,Prok_Taxa00239,0.9,2.0,0.6
183,Prok_Taxa00240,0.0,1.5,0.9
184,Prok_Taxa00242,0.0,1.0,0.6
185,Prok_Taxa00243,0.3,0.25,0.6
186,Prok_Taxa00244,0.9,0.5,0.5
187,Prok_Taxa00245,0.8,1.0,0.1
188,Prok_Taxa00247,0.9,2.0,0.4
189,Prok_Taxa00250,0.0,0.75,0.7
190,Prok_Taxa00251,0.3,2.0,0.8
191,Prok_Taxa00252,0.4,0.5,0.3
192,Prok_Taxa00253,0.5,0.25,0.4
193,Prok_Taxa00254,0.9,0.75,0.6
194,Prok_Taxa00255,0.4,2.0,0.8
195,Prok_Taxa00256,0.5,2.0,0.7
196,Prok_Taxa00257,0.0,2.0,0.9
197,Prok_Taxa00258,0.4,0.25,0.9
198,Prok_Taxa00260,0.5,0.75,0.4
199,Prok_Taxa00261,0.4,0.75,0.5
200,Prok_Taxa00262,0.9,1.5,0.6
201,Prok_Taxa00263,0.5,1.5,0.8
202,Prok_Taxa00265,0.5,0.5,0.7
203,Prok_Taxa00266,0.4,1.5,0.8
204,Prok_Taxa00267,0.5,0.5,0.6
205,Prok_Taxa00269,0.8,2.0,0.6
206,Prok_Taxa00272,0.1,1.0,0.6
207,Prok_Taxa00273,0.7,0.75,0.6
208,Prok_Taxa00275,0.9,1.5,0.6
209,Prok_Taxa00276,0.9,1.0,0.7
210,Prok_Taxa00277,0.9,1.0,0.5
211,Prok_Taxa00279,0.4,2.0,0.8
212,Prok_Taxa00280,0.4,1.5,0.9
213,Prok_Taxa00282,0.6,1.0,0.6
214,Prok_Taxa00284,0.8,0.75,0.6
215,Prok_Taxa00285,0.0,1.0,0.9
216,Prok_Taxa00287,0.6,1.0,0.6
217,Prok_Taxa00288,0.9,0.25,0.7
218,Prok_Taxa00289,0.9,1.0,0.6
219,Prok_Taxa00290,0.5,1.0,0.6
220,Prok_Taxa00291,0.5,1.5,0.7
221,Prok_Taxa00292,0.0,2.0,0.9
222,Prok_Taxa00293,0.0,0.75,0.9
223,Prok_Taxa00294,0.5,1.5,0.5
224,Prok_Taxa00296,0.0,1.5,0.7
225,Prok_Taxa00297,0.6,0.5,0.5
226,Prok_Taxa00300,0.0,2.0,0.5
227,Prok_Taxa00301,0.4,1.5,0.6
228,Prok_Taxa00303,0.0,2.0,0.9
229,Prok_Taxa00305,0.9,2.0,0.5
230,Prok_Taxa00307,0.1,1.5,0.6
231,Prok_Taxa00308,0.4,2.0,0.6
232,Prok_Taxa00310,0.0,0.75,0.6
233,Prok_Taxa00311,0.8,2.0,0.6
234,Prok_Taxa00312,0.4,1.5,0.7
235,Prok_Taxa00313,0.0,1.5,0.5
236,Prok_Taxa00314,0.9,1.0,0.7
237,Prok_Taxa00315,0.8,1.0,0.7
238,Prok_Taxa00316,0.0,1.0,0.9
239,Prok_Taxa00317,0.3,2.0,0.7
240,Prok_Taxa00318,0.2,0.5,0.9
241,Prok_Taxa00319,0.4,2.0,0.5
242,Prok_Taxa00321,0.9,0.5,0.7
243,Prok_Taxa00322,0.3,0.75,0.7
244,Prok_Taxa00323,0.0,2.0,0.6
245,Prok_Taxa00324,0.5,1.5,0.8
246,Prok_Taxa00326,0.0,2.0,0.8
247,Prok_Taxa00328,0.5,1.5,0.6
248,Prok_Taxa00329,0.0,0.1,0.9
249,Prok_Taxa00330,0.4,1.0,0.6
250,Prok_Taxa00331,0.9,2.0,0.6
251,Prok_Taxa00332,0.0,1.5,0.9
252,Prok_Taxa00333,0.3,2.0,0.8
253,Prok_Taxa00337,0.0,1.5,0.9
254,Prok_Taxa00338,0.0,0.1,0.9
255,Prok_Taxa00340,0.9,0.5,0.7
256,Prok_Taxa00341,0.5,2.0,0.8
257,Prok_Taxa00343,0.7,0.75,0.5
258,Prok_Taxa00345,0.0,1.0,0.7
259,Prok_Taxa00346,0.1,1.5,0.9
260,Prok_Taxa00349,0.5,1.0,0.5
261,Prok_Taxa00350,0.9,1.0,0.6
262,Prok_Taxa00351,0.9,1.0,0.5
263,Prok_Taxa00352,0.5,2.0,0.7
264,Prok_Taxa00353,0.3,1.0,0.5
265,Prok_Taxa00354,0.3,0.75,0.6
266,Prok_Taxa00355,0.8,0.75,0.7
267,Prok_Taxa00358,0.9,0.25,0.8
268,Prok_Taxa00359,0.3,2.0,0.7
269,Prok_Taxa00360,0.0,1.5,0.5
270,Prok_Taxa00361,0.5,1.5,0.6
271,Prok_Taxa00362,0.8,0.5,0.6
272,Prok_Taxa00364,0.0,1.0,0.9
273,Prok_Taxa00368,0.3,1.5,0.6
274,Prok_Taxa00369,0.1,1.0,0.6
275,Prok_Taxa00370,0.4,2.0,0.8
276,Prok_Taxa00371,0.8,1.5,0.6
277,Prok_Taxa00372,0.7,0.75,0.5
278,Prok_Taxa00373,0.9,1.5,0.3
279,Prok_Taxa00374,0.4,1.0,0.6
280,Prok_Taxa00376,0.8,0.5,0.6
281,Prok_Taxa00377,0.0,0.75,0.7
282,Prok_Taxa00378,0.5,2.0,0.6
283,Prok_Taxa00379,0.4,2.0,0.9
284,Prok_Taxa00380,0.9,1.5,0.3
285,Prok_Taxa00381,0.5,1.5,0.7
286,Prok_Taxa00382,0.8,1.5,0.9
287,Prok_Taxa00383,0.5,0.75,0.6
288,Prok_Taxa00384,0.9,0.25,0.3
289,Prok_Taxa00385,0.5,2.0,0.7
290,Prok_Taxa00386,0.7,0.5,0.8
291,Prok_Taxa00387,0.9,0.75,0.7
292,Prok_Taxa00388,0.2,0.75,0.8
293,Prok_Taxa00390,0.6,1.0,0.7
294,Prok_Taxa00391,0.9,1.0,0.7
295,Prok_Taxa00393,0.2,2.0,0.7
296,Prok_Taxa00394,0.9,2.0,0.7
297,Prok_Taxa00396,0.2,2.0,0.6
298,Prok_Taxa00398,0.4,0.75,0.9
299,Prok_Taxa00399,0.4,0.75,0.8
300,Prok_Taxa00400,0.5,0.1,0.8
301,Prok_Taxa00402,0.0,0.75,0.9
302,Prok_Taxa00403,0.5,2.0,0.8
303,Prok_Taxa00404,0.5,2.0,0.2
304,Prok_Taxa00405,0.5,2.0,0.8
305,Prok_Taxa00406,0.9,1.0,0.4
306,Prok_Taxa00409,0.9,2.0,0.6
307,Prok_Taxa00413,0.2,1.5,0.6
308,Prok_Taxa00414,0.5,1.0,0.8
309,Prok_Taxa00415,0.7,1.0,0.4
310,Prok_Taxa00416,0.0,1.5,0.9
311,Prok_Taxa00417,0.4,1.5,0.7
312,Prok_Taxa00418,0.2,0.5,0.4
313,Prok_Taxa00419,0.8,0.75,0.7
314,Prok_Taxa00421,0.5,0.75,0.4
315,Prok_Taxa00422,0.4,0.75,0.6
316,Prok_Taxa00423,0.3,1.0,0.8
317,Prok_Taxa00424,0.4,2.0,0.9
318,Prok_Taxa00425,0.9,1.5,0.4
319,Prok_Taxa00426,0.9,2.0,0.6
320,Prok_Taxa00427,0.9,1.0,0.5
321,Prok_Taxa00430,0.5,1.0,0.6
322,Prok_Taxa00433,0.1,1.0,0.6
323,Prok_Taxa00434,0.3,1.0,0.9
324,Prok_Taxa00435,0.4,1.5,0.8
325,Prok_Taxa00436,0.0,0.5,0.7
326,Prok_Taxa00437,0.1,1.5,0.3
327,Prok_Taxa00438,0.5,0.25,0.2
328,Prok_Taxa00440,0.5,0.75,0.3
329,Prok_Taxa00441,0.9,2.0,0.7
330,Prok_Taxa00443,0.4,0.5,0.7
331,Prok_Taxa00445,0.0,0.5,0.3
332,Prok_Taxa00447,0.5,1.5,0.8
333,Prok_Taxa00448,0.0,1.5,0.9
334,Prok_Taxa00449,0.5,2.0,0.6
335,Prok_Taxa00450,0.2,1.0,0.7
336,Prok_Taxa00451,0.2,1.5,0.3
337,Prok_Taxa00452,0.9,1.5,0.9
338,Prok_Taxa00454,0.3,0.5,0.2
339,Prok_Taxa00456,0.7,2.0,0.6
340,Prok_Taxa00457,0.6,1.5,0.9
341,Prok_Taxa00460,0.3,1.5,0.6
342,Prok_Taxa00462,0.7,2.0,0.7
343,Prok_Taxa00463,0.6,0.75,0.0
344,Prok_Taxa00465,0.6,2.0,0.7
345,Prok_Taxa00466,0.4,0.5,0.7
346,Prok_Taxa00467,0.9,0.75,0.6
347,Prok_Taxa00469,0.6,0.25,0.9
348,Prok_Taxa00471,0.8,1.0,0.7
349,Prok_Taxa00472,0.9,1.0,0.5
350,Prok_Taxa00473,0.8,1.5,0.6
351,Prok_Taxa00474,0.2,1.5,0.9
352,Prok_Taxa00475,0.9,0.5,0.6
353,Prok_Taxa00476,0.8,2.0,0.7
354,Prok_Taxa00477,0.3,1.0,0.6
355,Prok_Taxa00478,0.4,1.0,0.5
356,Prok_Taxa00479,0.4,2.0,0.9
357,Prok_Taxa00480,0.9,0.75,0.7
358,Prok_Taxa00481,0.4,0.75,0.9
359,Prok_Taxa00485,0.7,1.5,0.6
360,Prok_Taxa00488,0.4,2.0,0.9
361,Prok_Taxa00491,0.0,2.0,0.9
362,Prok_Taxa00493,0.4,2.0,0.6
363,Prok_Taxa00494,0.4,1.5,0.9
364,Prok_Taxa00495,0.5,0.25,0.7
365,Prok_Taxa00496,0.6,2.0,0.6
366,Prok_Taxa00498,0.0,0.25,0.9
367,Prok_Taxa00499,0.7,0.75,0.7
368,Prok_Taxa00500,0.0,2.0,0.8
369,Prok_Taxa00501,0.4,1.0,0.8
370,Prok_Taxa00505,0.2,0.75,0.6
371,Prok_Taxa00506,0.0,1.0,0.9
372,Prok_Taxa00507,0.4,1.0,0.5
373,Prok_Taxa00508,0.9,2.0,0.6
374,Prok_Taxa00509,0.9,1.0,0.7
375,Prok_Taxa00510,0.9,0.5,0.6
376,Prok_Taxa00511,0.4,1.5,0.9
377,Prok_Taxa00514,0.0,0.75,0.9
378,Prok_Taxa00516,0.3,0.5,0.7
379,Prok_Taxa00517,0.2,0.75,0.5
380,Prok_Taxa00518,0.5,1.5,0.9
381,Prok_Taxa00519,0.9,1.0,0.5
382,Prok_Taxa00522,0.9,2.0,0.7
383,Prok_Taxa00524,0.1,0.5,0.5
384,Prok_Taxa00526,0.3,0.5,0.8
385,Prok_Taxa00527,0.9,1.5,0.6
386,Prok_Taxa00528,0.3,2.0,0.6
387,Prok_Taxa00530,0.8,2.0,0.6
388,Prok_Taxa00531,0.4,2.0,0.7
389,Prok_Taxa00533,0.3,1.5,0.6
390,Prok_Taxa00534,0.6,0.75,0.5
391,Prok_Taxa00535,0.0,1.5,0.9
392,Prok_Taxa00536,0.0,1.5,0.9
393,Prok_Taxa00538,0.9,2.0,0.6
394,Prok_Taxa00541,0.0,2.0,0.9
395,Prok_Taxa00543,0.1,0.5,0.6
396,Prok_Taxa00544,0.9,1.5,0.6
397,Prok_Taxa00545,0.9,1.0,0.8
398,Prok_Taxa00547,0.8,2.0,0.8
399,Prok_Taxa00548,0.7,1.5,0.7
400,Prok_Taxa00551,0.6,1.5,0.7
401,Prok_Taxa00553,0.9,2.0,0.7
402,Prok_Taxa00554,0.4,0.75,0.9
403,Prok_Taxa00555,0.7,1.0,0.6
404,Prok_Taxa00556,0.4,2.0,0.8
405,Prok_Taxa00562,0.5,2.0,0.8
406,Prok_Taxa00564,0.9,2.0,0.4
407,Prok_Taxa00566,0.3,1.0,0.7
408,Prok_Taxa00567,0.3,0.5,0.4
409,Prok_Taxa00568,0.2,2.0,0.6
410,Prok_Taxa00569,0.5,1.5,0.7
411,Prok_Taxa00570,0.4,2.0,0.7
412,Prok_Taxa00571,0.8,2.0,0.9
413,Prok_Taxa00573,0.9,2.0,0.5
414,Prok_Taxa00574,0.1,1.5,0.9
415,Prok_Taxa00576,0.6,1.5,0.5
416,Prok_Taxa00577,0.8,1.5,0.9
417,Prok_Taxa00578,0.9,2.0,0.6
418,Prok_Taxa00579,0.7,1.0,0.7
419,Prok_Taxa00580,0.4,0.25,0.9
420,Prok_Taxa00583,0.3,0.5,0.3
421,Prok_Taxa00584,0.5,0.75,0.3
422,Prok_Taxa00585,0.9,2.0,0.7
423,Prok_Taxa00587,0.5,1.5,0.8
424,Prok_Taxa00588,0.6,0.75,0.7
425,Prok_Taxa00591,0.5,1.5,0.9
426,Prok_Taxa00593,0.4,2.0,0.6
427,Prok_Taxa00594,0.0,0.5,0.9
428,Prok_Taxa00598,0.9,2.0,0.4
429,Prok_Taxa00600,0.0,2.0,0.9
430,Prok_Taxa00601,0.8,0.5,0.9
431,Prok_Taxa00602,0.4,1.0,0.7
432,Prok_Taxa00604,0.9,1.0,0.7
433,Prok_Taxa00607,0.0,2.0,0.9
434,Prok_Taxa00608,0.4,2.0,0.6
435,Prok_Taxa00611,0.0,0.1,0.9
436,Prok_Taxa00612,0.7,1.5,0.6
437,Prok_Taxa00613,0.7,0.75,0.5
438,Prok_Taxa00614,0.6,0.75,0.6
439,Prok_Taxa00618,0.4,1.0,0.5
440,Prok_Taxa00620,0.4,2.0,0.7
441,Prok_Taxa00621,0.7,1.5,0.7
442,Prok_Taxa00623,0.0,2.0,0.6
443,Prok_Taxa00627,0.8,2.0,0.9
444,Prok_Taxa00628,0.0,2.0,0.6
445,Prok_Taxa00630,0.3,2.0,0.9
446,Prok_Taxa00631,0.5,2.0,0.9
447,Prok_Taxa00632,0.4,1.0,0.5
448,Prok_Taxa00633,0.5,2.0,0.6
449,Prok_Taxa00634,0.5,2.0,0.7
450,Prok_Taxa00635,0.2,0.75,0.6
451,Prok_Taxa00636,0.5,2.0,0.9
452,Prok_Taxa00639,0.9,1.5,0.8
453,Prok_Taxa00643,0.3,2.0,0.7
454,Prok_Taxa00644,0.0,1.0,0.7
455,Prok_Taxa00645,0.4,2.0,0.6
456,Prok_Taxa00649,0.0,1.5,0.9
457,Prok_Taxa00650,0.7,1.0,0.7
458,Prok_Taxa00654,0.5,2.0,0.7
459,Prok_Taxa00658,0.2,1.5,0.6
460,Prok_Taxa00667,0.8,1.0,0.7
461,Prok_Taxa00669,0.5,2.0,0.1
462,Prok_Taxa00672,0.7,1.5,0.6
463,Prok_Taxa00673,0.5,0.75,0.9
464,Prok_Taxa00676,0.4,0.5,0.8
465,Prok_Taxa00678,0.5,0.25,0.6
466,Prok_Taxa00679,0.0,0.75,0.9
467,Prok_Taxa00681,0.0,2.0,0.9
468,Prok_Taxa00690,0.8,2.0,0.5
469,Prok_Taxa00691,0.3,0.75,0.4
470,Prok_Taxa00692,0.0,1.0,0.9
471,Prok_Taxa00698,0.8,1.0,0.7
472,Prok_Taxa00700,0.4,0.75,0.9
473,Prok_Taxa00702,0.8,2.0,0.9
474,Prok_Taxa00706,0.6,0.75,0.6
475,Prok_Taxa00711,0.4,1.5,0.8
476,Prok_Taxa00714,0.9,2.0,0.7
477,Prok_Taxa00716,0.4,1.5,0.9
478,Prok_Taxa00718,0.0,2.0,0.6
479,Prok_Taxa00721,0.9,2.0,0.6
480,Prok_Taxa00723,0.2,2.0,0.9
481,Prok_Taxa00730,0.5,1.0,0.8
482,Prok_Taxa00731,0.4,1.0,0.7
483,Prok_Taxa00735,0.5,0.75,0.5
484,Prok_Taxa00737,0.0,1.0,0.9
485,Prok_Taxa00742,0.2,1.0,0.6
486,Prok_Taxa00743,0.9,2.0,0.7
487,Prok_Taxa00748,0.0,1.0,0.5
488,Prok_Taxa00750,0.9,2.0,0.6
489,Prok_Taxa00760,0.2,0.5,0.7
490,Prok_Taxa00766,0.9,1.0,0.5
491,Prok_Taxa00767,0.4,2.0,0.8
492,Prok_Taxa00768,0.5,2.0,0.9
493,Prok_Taxa00770,0.5,1.0,0.9
494,Prok_Taxa00814,0.1,2.0,0.6
495,Prok_Taxa00820,0.0,2.0,0.9
496,Prok_Taxa00862,0.7,1.0,0.6
497,Prok_Taxa00901,0.4,1.5,0.7
498,Prok_Taxa00912,0.2,1.5,0.7
499,Prok_Taxa01109,0.9,2.0,0.7
