2021-02-28_15-34-41.jpg; date_time: 2021-02-28 15:34:41; grid_n: 1; count: 112; total_area: 14215; mean_area: 126.92; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-35-41.jpg; date_time: 2021-02-28 15:35:41; grid_n: 1; count: 118; total_area: 16145; mean_area: 136.82; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-36-41.jpg; date_time: 2021-02-28 15:36:41; grid_n: 1; count: 116; total_area: 15598; mean_area: 134.47; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-37-41.jpg; date_time: 2021-02-28 15:37:41; grid_n: 1; count: 132; total_area: 17485; mean_area: 132.46; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-38-41.jpg; date_time: 2021-02-28 15:38:41; grid_n: 1; count: 132; total_area: 18181; mean_area: 137.73; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-39-41.jpg; date_time: 2021-02-28 15:39:41; grid_n: 1; count: 143; total_area: 19936; mean_area: 139.41; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-40-41.jpg; date_time: 2021-02-28 15:40:41; grid_n: 1; count: 135; total_area: 17971; mean_area: 133.12; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-41-41.jpg; date_time: 2021-02-28 15:41:41; grid_n: 1; count: 117; total_area: 15308; mean_area: 130.84; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-42-41.jpg; date_time: 2021-02-28 15:42:41; grid_n: 1; count: 131; total_area: 17669; mean_area: 134.88; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-43-41.jpg; date_time: 2021-02-28 15:43:41; grid_n: 1; count: 125; total_area: 16560; mean_area: 132.48; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-44-41.jpg; date_time: 2021-02-28 15:44:41; grid_n: 1; count: 104; total_area: 14437; mean_area: 138.82; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-45-41.jpg; date_time: 2021-02-28 15:45:41; grid_n: 1; count: 133; total_area: 19272; mean_area: 144.9; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-46-41.jpg; date_time: 2021-02-28 15:46:41; grid_n: 1; count: 117; total_area: 15231; mean_area: 130.18; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-47-41.jpg; date_time: 2021-02-28 15:47:41; grid_n: 1; count: 108; total_area: 14946; mean_area: 138.39; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-48-41.jpg; date_time: 2021-02-28 15:48:41; grid_n: 1; count: 84; total_area: 12327; mean_area: 146.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-49-41.jpg; date_time: 2021-02-28 15:49:41; grid_n: 1; count: 65; total_area: 9406; mean_area: 144.71; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-50-41.jpg; date_time: 2021-02-28 15:50:41; grid_n: 1; count: 74; total_area: 9794; mean_area: 132.35; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-51-41.jpg; date_time: 2021-02-28 15:51:41; grid_n: 1; count: 76; total_area: 19450; mean_area: 255.92; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-52-41.jpg; date_time: 2021-02-28 15:52:41; grid_n: 1; count: 69; total_area: 14164; mean_area: 205.28; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-53-41.jpg; date_time: 2021-02-28 15:53:41; grid_n: 1; count: 92; total_area: 20250; mean_area: 220.11; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-54-41.jpg; date_time: 2021-02-28 15:54:41; grid_n: 1; count: 85; total_area: 15743; mean_area: 185.21; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-55-41.jpg; date_time: 2021-02-28 15:55:41; grid_n: 1; count: 82; total_area: 17873; mean_area: 217.96; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-56-41.jpg; date_time: 2021-02-28 15:56:41; grid_n: 1; count: 73; total_area: 14837; mean_area: 203.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-57-41.jpg; date_time: 2021-02-28 15:57:41; grid_n: 1; count: 77; total_area: 13122; mean_area: 170.42; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-58-41.jpg; date_time: 2021-02-28 15:58:41; grid_n: 1; count: 80; total_area: 17475; mean_area: 218.44; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_15-59-41.jpg; date_time: 2021-02-28 15:59:41; grid_n: 1; count: 84; total_area: 18350; mean_area: 218.45; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_16-00-41.jpg; date_time: 2021-02-28 16:00:41; grid_n: 1; count: 71; total_area: 12492; mean_area: 175.94; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_16-01-41.jpg; date_time: 2021-02-28 16:01:41; grid_n: 1; count: 81; total_area: 20032; mean_area: 247.31; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_16-02-41.jpg; date_time: 2021-02-28 16:02:41; grid_n: 1; count: 87; total_area: 16360; mean_area: 188.05; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-02-28_16-03-41.jpg; date_time: 2021-02-28 16:03:41; grid_n: 1; count: 81; total_area: 14714; mean_area: 181.65; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
