,network,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time,delay,memory_capacity
27,Random Network: runif_ts,0.0469,-0.0342,0.3038,0.3074,0.2593752,0.2816468,401,0.1,0.5,0.7000000000000001,0.5,0.0,864,0.5,21,0.24,0.04,0.26,136,4.069
28,Random Network: runif_ts,0.1663,-0.0619,0.2898,0.3057,0.2360583,0.2784842,401,0.1,0.5,0.9000000000000001,0.5,0.0,864,0.5,21,0.32,0.03,0.29,136,6.167
29,Random Network: runif_ts,0.6759,-0.034,0.2173,0.3238,0.1327276,0.3123531,401,0.1,0.5,1.1000000000000003,0.5,0.0,864,0.5,21,0.25,0.04,0.22,136,8.331
30,Random Network: runif_ts,0.0085,0.0235,0.3515,0.3397,0.3473335,0.3439724,501,0.1,0.5,0.1,0.5,0.0,864,0.5,21,0.39,0.11,0.37,136,1.008
31,Random Network: runif_ts,0.0082,-0.008,0.3313,0.3264,0.3085465,0.3174404,501,0.1,0.5,0.30000000000000004,0.5,0.0,864,0.5,21,0.5,0.17,0.37,136,2.029
32,Random Network: runif_ts,0.0314,-0.0161,0.3153,0.3155,0.2793753,0.2967124,501,0.1,0.5,0.5000000000000001,0.5,0.0,864,0.5,21,0.42,0.11,0.36,136,3.051
33,Random Network: runif_ts,0.0412,-0.0368,0.3033,0.3067,0.2586661,0.28023,501,0.1,0.5,0.7000000000000001,0.5,0.0,864,0.5,21,0.44,0.09,0.49,136,4.071
34,Random Network: runif_ts,0.1291,-0.0743,0.2918,0.3041,0.2392918,0.2756319,501,0.1,0.5,0.9000000000000001,0.5,0.0,864,0.5,21,0.48,0.06,0.38,136,6.064
35,Random Network: runif_ts,0.5221,-0.0258,0.2501,0.3061,0.1757783,0.2792857,501,0.1,0.5,1.1000000000000003,0.5,0.0,864,0.5,21,0.5,0.09,0.38,136,8.92
36,Random Network: runif_ts,0.0082,0.0217,0.3514,0.3399,0.3470107,0.3442854,601,0.1,0.5,0.1,0.5,0.0,864,0.5,21,0.63,0.1,0.55,136,1.01
37,Random Network: runif_ts,0.0107,-0.009,0.3299,0.3256,0.3060103,0.3158762,601,0.1,0.5,0.30000000000000004,0.5,0.0,864,0.5,21,0.5,0.06,0.47,136,2.032
38,Random Network: runif_ts,0.0323,-0.0167,0.3148,0.3153,0.2784955,0.2962022,601,0.1,0.5,0.5000000000000001,0.5,0.0,864,0.5,21,0.47,0.06,0.43,136,3.054
39,Random Network: runif_ts,0.043,-0.0376,0.303,0.3065,0.2580019,0.2799633,601,0.1,0.5,0.7000000000000001,0.5,0.0,864,0.5,21,0.43,0.06,0.42,136,4.074
