reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,test_ridge_score,test_cor,test_r2,washout_data,learnmodel_time,testing_time,E,delay_tp,temporal_cor,temporal_r2
Tetrahymena Reservoir,3,0.5639,0.7514,0.5647,0.2831,0.5793,0.3356,0,0.0,0.0,3,0,0.9999999999999999,0.9999999999999998
Tetrahymena Reservoir,3,0.5776,0.7605,0.5783,0.3085,0.6064,0.3677,0,0.0,0.0,3,1,0.9739794903922716,0.9486360477047892
Tetrahymena Reservoir,3,0.5761,0.7595,0.5768,0.329,0.6235,0.3887,0,0.0,0.0,3,2,0.9035436913188754,0.8163912021221391
Tetrahymena Reservoir,3,0.5593,0.7483,0.56,0.3424,0.6289,0.3955,0,0.0,0.0,3,3,0.8004352670861511,0.640696616795278
Tetrahymena Reservoir,3,0.5288,0.7277,0.5295,0.3464,0.6229,0.388,0,0.0,0.0,3,4,0.6807148493705114,0.46337270615351805
Tetrahymena Reservoir,3,0.4871,0.6986,0.488,0.3448,0.6103,0.3725,0,0.0,0.0,3,5,0.5589727124174756,0.31245049322734986
Tetrahymena Reservoir,3,0.4439,0.6672,0.4452,0.3337,0.5914,0.3498,0,0.0,0.0,3,6,0.44705460839294253,0.19985782288536721
Tetrahymena Reservoir,3,0.4052,0.638,0.407,0.318,0.5711,0.3262,0,0.0,0.0,3,7,0.3509699003808775,0.12317987097336308
Tetrahymena Reservoir,3,0.3751,0.6145,0.3776,0.2961,0.5481,0.3004,0,0.0,0.0,3,8,0.27269961247349245,0.07436507864319296
Tetrahymena Reservoir,3,0.3527,0.5966,0.3559,0.2709,0.5231,0.2736,0,0.0,0.0,3,9,0.2103176915436145,0.044233531376234966
Tetrahymena Reservoir,3,0.3342,0.5813,0.3379,0.2414,0.494,0.244,0,0.0,0.0,3,10,0.1608454801328989,0.025871268479182776
Tetrahymena Reservoir,3,0.3154,0.5652,0.3194,0.2111,0.463,0.2144,0,0.0,0.0,3,11,0.12116490851084488,0.01468093505444141
Tetrahymena Reservoir,3,0.2962,0.5479,0.3002,0.1797,0.4297,0.1846,0,0.0,0.0,3,12,0.08829685687319123,0.007796334933684818
Tetrahymena Reservoir,3,0.2749,0.528,0.2788,0.1531,0.3994,0.1595,0,0.0,0.0,3,13,0.05938247801792219,0.003526278695549012
Tetrahymena Reservoir,3,0.2543,0.5079,0.2579,0.1254,0.366,0.1339,0,0.0,0.0,3,14,0.032014823813377204,0.0010249489438015841
Tetrahymena Reservoir,3,0.2364,0.4897,0.2398,0.0978,0.3312,0.1097,0,0.0,0.0,3,15,0.004380013351663057,1.9184516960746642e-05
