2021-05-08_14-50-32.jpg; date_time: 2021-05-08 14:50:32; grid_n: 1; count: 23; total_area: 4847; mean_area: 210.74; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_14-51-32.jpg; date_time: 2021-05-08 14:51:32; grid_n: 1; count: 25; total_area: 5579; mean_area: 223.16; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_14-52-32.jpg; date_time: 2021-05-08 14:52:32; grid_n: 1; count: 23; total_area: 5267; mean_area: 229; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_14-53-32.jpg; date_time: 2021-05-08 14:53:32; grid_n: 1; count: 35; total_area: 10001; mean_area: 285.74; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_14-54-32.jpg; date_time: 2021-05-08 14:54:32; grid_n: 1; count: 19; total_area: 5967; mean_area: 314.05; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_14-55-32.jpg; date_time: 2021-05-08 14:55:32; grid_n: 1; count: 34; total_area: 10319; mean_area: 303.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_14-56-32.jpg; date_time: 2021-05-08 14:56:32; grid_n: 1; count: 26; total_area: 6740; mean_area: 259.23; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_14-57-32.jpg; date_time: 2021-05-08 14:57:32; grid_n: 1; count: 27; total_area: 7575; mean_area: 280.56; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_14-58-32.jpg; date_time: 2021-05-08 14:58:32; grid_n: 1; count: 31; total_area: 8650; mean_area: 279.03; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_14-59-32.jpg; date_time: 2021-05-08 14:59:32; grid_n: 1; count: 33; total_area: 10448; mean_area: 316.61; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-00-32.jpg; date_time: 2021-05-08 15:00:32; grid_n: 1; count: 44; total_area: 12068; mean_area: 274.27; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-01-32.jpg; date_time: 2021-05-08 15:01:32; grid_n: 1; count: 43; total_area: 13146; mean_area: 305.72; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-02-32.jpg; date_time: 2021-05-08 15:02:32; grid_n: 1; count: 48; total_area: 12725; mean_area: 265.1; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-03-32.jpg; date_time: 2021-05-08 15:03:32; grid_n: 1; count: 46; total_area: 13745; mean_area: 298.8; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-04-32.jpg; date_time: 2021-05-08 15:04:32; grid_n: 1; count: 45; total_area: 13581; mean_area: 301.8; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-05-32.jpg; date_time: 2021-05-08 15:05:32; grid_n: 1; count: 32; total_area: 9838; mean_area: 307.44; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-06-32.jpg; date_time: 2021-05-08 15:06:32; grid_n: 1; count: 29; total_area: 7071; mean_area: 243.83; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-07-32.jpg; date_time: 2021-05-08 15:07:32; grid_n: 1; count: 54; total_area: 15259; mean_area: 282.57; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-08-32.jpg; date_time: 2021-05-08 15:08:32; grid_n: 1; count: 44; total_area: 11303; mean_area: 256.89; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-09-32.jpg; date_time: 2021-05-08 15:09:32; grid_n: 1; count: 52; total_area: 12497; mean_area: 240.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-10-32.jpg; date_time: 2021-05-08 15:10:32; grid_n: 1; count: 46; total_area: 11889; mean_area: 258.46; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-11-32.jpg; date_time: 2021-05-08 15:11:32; grid_n: 1; count: 43; total_area: 11482; mean_area: 267.02; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-12-32.jpg; date_time: 2021-05-08 15:12:32; grid_n: 1; count: 44; total_area: 11348; mean_area: 257.91; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-13-32.jpg; date_time: 2021-05-08 15:13:32; grid_n: 1; count: 41; total_area: 10303; mean_area: 251.29; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-14-32.jpg; date_time: 2021-05-08 15:14:32; grid_n: 1; count: 28; total_area: 7214; mean_area: 257.64; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-15-32.jpg; date_time: 2021-05-08 15:15:32; grid_n: 1; count: 29; total_area: 7993; mean_area: 275.62; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-16-32.jpg; date_time: 2021-05-08 15:16:32; grid_n: 1; count: 41; total_area: 9926; mean_area: 242.1; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-17-32.jpg; date_time: 2021-05-08 15:17:32; grid_n: 1; count: 56; total_area: 13825; mean_area: 246.88; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-18-32.jpg; date_time: 2021-05-08 15:18:32; grid_n: 1; count: 50; total_area: 13556; mean_area: 271.12; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-19-32.jpg; date_time: 2021-05-08 15:19:32; grid_n: 1; count: 44; total_area: 10305; mean_area: 234.2; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-20-32.jpg; date_time: 2021-05-08 15:20:32; grid_n: 1; count: 47; total_area: 10074; mean_area: 214.34; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-21-32.jpg; date_time: 2021-05-08 15:21:32; grid_n: 1; count: 37; total_area: 9303; mean_area: 251.43; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-22-32.jpg; date_time: 2021-05-08 15:22:32; grid_n: 1; count: 42; total_area: 8844; mean_area: 210.57; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-23-32.jpg; date_time: 2021-05-08 15:23:32; grid_n: 1; count: 44; total_area: 11393; mean_area: 258.93; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-24-32.jpg; date_time: 2021-05-08 15:24:32; grid_n: 1; count: 46; total_area: 12047; mean_area: 261.89; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-25-32.jpg; date_time: 2021-05-08 15:25:32; grid_n: 1; count: 54; total_area: 11706; mean_area: 216.78; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-26-32.jpg; date_time: 2021-05-08 15:26:32; grid_n: 1; count: 46; total_area: 10630; mean_area: 231.09; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-08_15-27-32.jpg; date_time: 2021-05-08 15:27:32; grid_n: 1; count: 57; total_area: 13919; mean_area: 244.19; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
