"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/05/06 17:55'00","44322.7465277778","  16.2000","","","","","","","",
"2021/05/06 17:56'00","44322.7472222222","  16.5000","","","","","","","",
"2021/05/06 17:57'00","44322.7479166667","  16.7000","","","","","","","",
"2021/05/06 17:58'00","44322.7486111111","  16.8000","","","","","","","",
"2021/05/06 17:59'00","44322.7493055556","  17.0000","","","","","","","",
"2021/05/06 18:00'00","44322.7500000000","  17.1000","","","","","","","",
"2021/05/06 18:01'00","44322.7506944444","  17.3000","","","","","","","",
"2021/05/06 18:02'00","44322.7513888889","  17.3000","","","","","","","",
"2021/05/06 18:03'00","44322.7520833333","  17.4000","","","","","","","",
"2021/05/06 18:04'00","44322.7527777778","  17.3000","","","","","","","",
"2021/05/06 18:05'00","44322.7534722222","  17.3000","","","","","","","",
"2021/05/06 18:06'00","44322.7541666667","  17.3000","","","","","","","",
"2021/05/06 18:07'00","44322.7548611111","  17.2000","","","","","","","",
"2021/05/06 18:08'00","44322.7555555556","  17.1000","","","","","","","",
"2021/05/06 18:09'00","44322.7562500000","  17.0000","","","","","","","",
"2021/05/06 18:10'00","44322.7569444444","  16.9000","","","","","","","",
"2021/05/06 18:11'00","44322.7576388889","  16.7000","","","","","","","",
"2021/05/06 18:12'00","44322.7583333333","  16.6000","","","","","","","",
"2021/05/06 18:13'00","44322.7590277778","  16.3000","","","","","","","",
"2021/05/06 18:14'00","44322.7597222222","  16.1000","","","","","","","",
"2021/05/06 18:15'00","44322.7604166667","  15.8000","","","","","","","",
"2021/05/06 18:16'00","44322.7611111111","  15.6000","","","","","","","",
"2021/05/06 18:17'00","44322.7618055556","  15.5000","","","","","","","",
"2021/05/06 18:18'00","44322.7625000000","  15.3000","","","","","","","",
"2021/05/06 18:19'00","44322.7631944444","  15.2000","","","","","","","",
"2021/05/06 18:20'00","44322.7638888889","  15.1000","","","","","","","",
"2021/05/06 18:21'00","44322.7645833333","  15.1000","","","","","","","",
"2021/05/06 18:22'00","44322.7652777778","  15.1000","","","","","","","",
"2021/05/06 18:23'00","44322.7659722222","  15.3000","","","","","","","",
"2021/05/06 18:24'00","44322.7666666667","  15.4000","","","","","","","",
"2021/05/06 18:25'00","44322.7673611111","  15.6000","","","","","","","",
"2021/05/06 18:26'00","44322.7680555556","  15.8000","","","","","","","",
"2021/05/06 18:27'00","44322.7687500000","  16.0000","","","","","","","",
"2021/05/06 18:28'00","44322.7694444444","  16.3000","","","","","","","",
"2021/05/06 18:29'00","44322.7701388889","  16.4000","","","","","","","",
"2021/05/06 18:30'00","44322.7708333333","  16.7000","","","","","","","",
"2021/05/06 18:31'00","44322.7715277778","  16.9000","","","","","","","",
"2021/05/06 18:32'00","44322.7722222222","  17.1000","","","","","","","",
"2021/05/06 18:33'00","44322.7729166667","  17.3000","","","","","","","",
"2021/05/06 18:34'00","44322.7736111111","  17.3000","","","","","","","",
"2021/05/06 18:35'00","44322.7743055556","  17.4000","","","","","","","",
"2021/05/06 18:36'00","44322.7750000000","  17.4000","","","","","","","",
"2021/05/06 18:37'00","44322.7756944444","  17.5000","","","","","","","",
"2021/05/06 18:38'00","44322.7763888889","  17.5000","","","","","","","",
"2021/05/06 18:39'00","44322.7770833333","  17.4000","","","","","","","",
"2021/05/06 18:40'00","44322.7777777778","  17.4000","","","","","","","",
"2021/05/06 18:41'00","44322.7784722222","  17.3000","","","","","","","",
"2021/05/06 18:42'00","44322.7791666667","  17.2000","","","","","","","",
"2021/05/06 18:43'00","44322.7798611111","  17.0000","","","","","","","",
"2021/05/06 18:44'00","44322.7805555556","  16.9000","","","","","","","",
"2021/05/06 18:45'00","44322.7812500000","  16.7000","","","","","","","",
"2021/05/06 18:46'00","44322.7819444444","  16.5000","","","","","","","",
"2021/05/06 18:47'00","44322.7826388889","  16.2000","","","","","","","",
"2021/05/06 18:48'00","44322.7833333333","  16.0000","","","","","","","",
"2021/05/06 18:49'00","44322.7840277778","  15.8000","","","","","","","",
"2021/05/06 18:50'00","44322.7847222222","  15.5000","","","","","","","",
"2021/05/06 18:51'00","44322.7854166667","  15.3000","","","","","","","",
"2021/05/06 18:52'00","44322.7861111111","  15.1000","","","","","","","",
