2021-03-16_16-35-07.jpg; date_time: 2021-03-16 16:35:07; grid_n: 1; count: 70; total_area: 9571; mean_area: 136.73; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-36-07.jpg; date_time: 2021-03-16 16:36:07; grid_n: 1; count: 74; total_area: 9832; mean_area: 132.86; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-37-07.jpg; date_time: 2021-03-16 16:37:07; grid_n: 1; count: 73; total_area: 9818; mean_area: 134.49; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-38-07.jpg; date_time: 2021-03-16 16:38:07; grid_n: 1; count: 75; total_area: 10727; mean_area: 143.03; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-39-07.jpg; date_time: 2021-03-16 16:39:07; grid_n: 1; count: 73; total_area: 10335; mean_area: 141.58; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-40-07.jpg; date_time: 2021-03-16 16:40:07; grid_n: 1; count: 76; total_area: 10669; mean_area: 140.38; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-41-07.jpg; date_time: 2021-03-16 16:41:07; grid_n: 1; count: 75; total_area: 10435; mean_area: 139.13; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-42-07.jpg; date_time: 2021-03-16 16:42:07; grid_n: 1; count: 79; total_area: 10859; mean_area: 137.46; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-43-07.jpg; date_time: 2021-03-16 16:43:07; grid_n: 1; count: 82; total_area: 11451; mean_area: 139.65; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-44-07.jpg; date_time: 2021-03-16 16:44:07; grid_n: 1; count: 85; total_area: 11797; mean_area: 138.79; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-45-07.jpg; date_time: 2021-03-16 16:45:07; grid_n: 1; count: 83; total_area: 11195; mean_area: 134.88; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-46-07.jpg; date_time: 2021-03-16 16:46:07; grid_n: 1; count: 90; total_area: 12418; mean_area: 137.98; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-47-07.jpg; date_time: 2021-03-16 16:47:07; grid_n: 1; count: 85; total_area: 11732; mean_area: 138.02; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-48-07.jpg; date_time: 2021-03-16 16:48:07; grid_n: 1; count: 88; total_area: 13259; mean_area: 150.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-49-07.jpg; date_time: 2021-03-16 16:49:07; grid_n: 1; count: 90; total_area: 12442; mean_area: 138.24; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-50-07.jpg; date_time: 2021-03-16 16:50:07; grid_n: 1; count: 86; total_area: 12023; mean_area: 139.8; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-51-07.jpg; date_time: 2021-03-16 16:51:07; grid_n: 1; count: 88; total_area: 12454; mean_area: 141.52; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-52-07.jpg; date_time: 2021-03-16 16:52:07; grid_n: 1; count: 88; total_area: 12255; mean_area: 139.26; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-53-07.jpg; date_time: 2021-03-16 16:53:07; grid_n: 1; count: 93; total_area: 13434; mean_area: 144.45; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-54-07.jpg; date_time: 2021-03-16 16:54:07; grid_n: 1; count: 96; total_area: 12881; mean_area: 134.18; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-55-07.jpg; date_time: 2021-03-16 16:55:07; grid_n: 1; count: 91; total_area: 12712; mean_area: 139.69; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-56-07.jpg; date_time: 2021-03-16 16:56:07; grid_n: 1; count: 88; total_area: 12251; mean_area: 139.22; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-57-07.jpg; date_time: 2021-03-16 16:57:07; grid_n: 1; count: 90; total_area: 12015; mean_area: 133.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-58-07.jpg; date_time: 2021-03-16 16:58:07; grid_n: 1; count: 92; total_area: 12865; mean_area: 139.84; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_16-59-07.jpg; date_time: 2021-03-16 16:59:07; grid_n: 1; count: 94; total_area: 12943; mean_area: 137.69; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-00-07.jpg; date_time: 2021-03-16 17:00:07; grid_n: 1; count: 97; total_area: 13259; mean_area: 136.69; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-01-07.jpg; date_time: 2021-03-16 17:01:07; grid_n: 1; count: 96; total_area: 12874; mean_area: 134.1; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-02-07.jpg; date_time: 2021-03-16 17:02:07; grid_n: 1; count: 97; total_area: 13352; mean_area: 137.65; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-03-07.jpg; date_time: 2021-03-16 17:03:07; grid_n: 1; count: 97; total_area: 12899; mean_area: 132.98; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-04-07.jpg; date_time: 2021-03-16 17:04:07; grid_n: 1; count: 98; total_area: 13064; mean_area: 133.31; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-05-07.jpg; date_time: 2021-03-16 17:05:07; grid_n: 1; count: 101; total_area: 13868; mean_area: 137.31; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-06-07.jpg; date_time: 2021-03-16 17:06:07; grid_n: 1; count: 97; total_area: 13460; mean_area: 138.76; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-07-07.jpg; date_time: 2021-03-16 17:07:07; grid_n: 1; count: 97; total_area: 13391; mean_area: 138.05; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-08-07.jpg; date_time: 2021-03-16 17:08:07; grid_n: 1; count: 100; total_area: 13987; mean_area: 139.87; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-09-07.jpg; date_time: 2021-03-16 17:09:07; grid_n: 1; count: 104; total_area: 14351; mean_area: 137.99; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-10-07.jpg; date_time: 2021-03-16 17:10:07; grid_n: 1; count: 109; total_area: 14839; mean_area: 136.14; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-11-07.jpg; date_time: 2021-03-16 17:11:07; grid_n: 1; count: 110; total_area: 15329; mean_area: 139.35; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-12-07.jpg; date_time: 2021-03-16 17:12:07; grid_n: 1; count: 106; total_area: 14670; mean_area: 138.4; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-13-07.jpg; date_time: 2021-03-16 17:13:07; grid_n: 1; count: 108; total_area: 15103; mean_area: 139.84; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-14-07.jpg; date_time: 2021-03-16 17:14:07; grid_n: 1; count: 113; total_area: 15569; mean_area: 137.78; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-15-07.jpg; date_time: 2021-03-16 17:15:07; grid_n: 1; count: 118; total_area: 16557; mean_area: 140.31; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-16-07.jpg; date_time: 2021-03-16 17:16:07; grid_n: 1; count: 118; total_area: 16745; mean_area: 141.91; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-17-07.jpg; date_time: 2021-03-16 17:17:07; grid_n: 1; count: 113; total_area: 15511; mean_area: 137.27; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-18-07.jpg; date_time: 2021-03-16 17:18:07; grid_n: 1; count: 114; total_area: 15525; mean_area: 136.18; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-19-07.jpg; date_time: 2021-03-16 17:19:07; grid_n: 1; count: 117; total_area: 16200; mean_area: 138.46; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-20-07.jpg; date_time: 2021-03-16 17:20:07; grid_n: 1; count: 115; total_area: 15835; mean_area: 137.7; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-21-07.jpg; date_time: 2021-03-16 17:21:07; grid_n: 1; count: 111; total_area: 15496; mean_area: 139.6; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-22-07.jpg; date_time: 2021-03-16 17:22:07; grid_n: 1; count: 119; total_area: 16395; mean_area: 137.77; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-23-07.jpg; date_time: 2021-03-16 17:23:07; grid_n: 1; count: 111; total_area: 16240; mean_area: 146.31; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-24-07.jpg; date_time: 2021-03-16 17:24:07; grid_n: 1; count: 107; total_area: 15616; mean_area: 145.94; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-25-07.jpg; date_time: 2021-03-16 17:25:07; grid_n: 1; count: 98; total_area: 14636; mean_area: 149.35; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-26-07.jpg; date_time: 2021-03-16 17:26:07; grid_n: 1; count: 102; total_area: 14961; mean_area: 146.68; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-27-07.jpg; date_time: 2021-03-16 17:27:07; grid_n: 1; count: 88; total_area: 12477; mean_area: 141.78; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-28-07.jpg; date_time: 2021-03-16 17:28:07; grid_n: 1; count: 86; total_area: 12409; mean_area: 144.29; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-29-07.jpg; date_time: 2021-03-16 17:29:07; grid_n: 1; count: 82; total_area: 11521; mean_area: 140.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-30-07.jpg; date_time: 2021-03-16 17:30:07; grid_n: 1; count: 86; total_area: 12480; mean_area: 145.12; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-31-07.jpg; date_time: 2021-03-16 17:31:07; grid_n: 1; count: 90; total_area: 12481; mean_area: 138.68; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-32-07.jpg; date_time: 2021-03-16 17:32:07; grid_n: 1; count: 85; total_area: 11652; mean_area: 137.08; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-33-07.jpg; date_time: 2021-03-16 17:33:07; grid_n: 1; count: 90; total_area: 12136; mean_area: 134.84; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-34-07.jpg; date_time: 2021-03-16 17:34:07; grid_n: 1; count: 91; total_area: 12738; mean_area: 139.98; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-03-16_17-35-07.jpg; date_time: 2021-03-16 17:35:07; grid_n: 1; count: 94; total_area: 13053; mean_area: 138.86; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
