"time","x","y","z"
5.89,-10.538315590186,-11.3294120741332,28.63746812266
5.99,-9.93762255450627,-8.0728790078142,30.9341522537658
6.09,-7.67380139098751,-5.50903597532032,28.7504517788919
6.19,-6.23333811830238,-5.6320761654493,25.227426437151
6.29,-6.48547570295558,-7.54583715679546,22.8874188650409
6.39,-8.19346600701351,-10.4009807544472,23.3273548169352
6.49,-10.3163427785825,-11.9046010449625,27.3011104467322
6.59,-10.5287706275821,-9.22399398105701,31.0496258022575
6.69,-8.31385031949472,-5.75881264768671,29.8561861336487
6.79,-6.32887133614319,-5.14323996812763,26.1475306516596
6.89,-6.0605722662298,-6.67881917011483,23.1039226840266
6.99,-7.45160206599047,-9.52400837779595,22.4579380079384
7.09,-9.80306725382178,-12.0602909259182,25.6230693984164
7.19,-10.9621384741225,-10.5995528880428,30.5630291443411
7.29,-9.15112795992592,-6.40470832670652,30.9618932653218
7.39,-6.64584448847782,-4.78674026827436,27.3415411274669
7.49,-5.74852621275573,-5.81127964617585,23.6609382158571
7.59,-6.68217128302926,-8.42644998319037,21.9226150188805
7.69,-9.00195725158827,-11.6505598135772,23.8148517504498
7.79,-11.0648630160476,-11.946983883451,29.2447896923923
7.89,-10.130606167189,-7.61249820731434,31.8381837471967
7.99,-7.26371971901541,-4.67526599684604,28.8185994233447
8.09,-5.61855513625272,-4.99080538855995,24.6085842153726
8.19,-5.95364282870171,-7.1967465816169,21.8310730308677
8.29,-7.97260356566449,-10.6420383127593,22.1771292742884
8.39,-10.6655442202894,-12.8193884754541,27.0361621751187
8.49,-11.0757791582192,-9.48121073226095,32.0357896463411
8.59,-8.26545505764863,-5.02503329201641,30.5318912905122
8.69,-5.77442577111274,-4.28366781295241,26.0071061717925
8.79,-5.34883028571762,-5.92896648211764,22.2762093591803
8.89,-6.82485935015239,-9.14228417314056,21.0252980439626
8.99,-9.68160697963194,-12.718944759564,24.2409234249815
9.09,-11.6294865826469,-11.7752910141995,30.8779658638734
9.19,-9.67322993655589,-6.22214135212219,32.2434367145934
9.29,-6.37768104461211,-3.82383267787481,27.9277954036939
9.39,-4.97990516136287,-4.70934958869579,23.3499111961951
9.49,-5.70032270949917,-7.36213316784947,20.6169774596323
9.59,-8.20103023337527,-11.4083406677007,21.5459217170352
9.69,-11.3104579458762,-13.5724092533768,27.8427345532412
9.79,-11.2620287331633,-8.75446943998011,33.1824166038845
9.89,-7.65922689678697,-3.95339923448205,30.4080463474905
9.99,-5.03089039718706,-3.62796483093151,25.1738338173203
10.09,-4.76090789820321,-5.53298672173299,21.1335721689209
10.19,-6.48137199389307,-9.13131512408175,19.7423006234352
10.29,-9.82388592574739,-13.485357858971,23.4473700826677
10.39,-12.2408834175582,-12.4497466126504,31.6457014693816
10.49,-9.80108875904646,-5.54002606701965,33.1495067133969
10.59,-5.85080314814952,-2.88514145992426,27.9398780561656
10.69,-4.22115999965081,-3.83177871529801,22.737701692618
10.79,-4.85782316789584,-6.47112181835853,19.3811205176271
10.89,-7.44356086703648,-10.9730152649425,19.5359302750139
10.99,-11.3301740855061,-14.8115894665658,26.1801457927711
11.09,-12.2646761621876,-10.0041674137311,34.2071294912796
11.19,-8.0621151557206,-3.28915068843287,31.8433117961884
11.29,-4.5048723021015,-2.39532344898532,25.7102028980973
11.39,-3.67667243698847,-3.96868915933729,20.7368928630653
11.49,-4.92698851628161,-7.1478204419485,17.9126086984191
11.59,-8.1935157984663,-12.4468229381442,19.3901583472079
11.69,-12.428905533449,-15.4868296633807,28.5042732109807
11.79,-11.9309009759128,-7.79064682477121,35.5045012016404
11.89,-6.70680984638371,-1.86873660959249,30.6772282192777
11.99,-3.49322665172995,-1.85987206427191,24.1696267898377
12.09,-3.03111908934702,-3.56692229456734,19.2245534483157
12.19,-4.45976116563591,-6.84252028233583,16.3802517954373
12.29,-8.00260554102422,-12.7242987454884,17.9083217141151
12.39,-12.9152302343923,-16.6671361895758,28.3692475579123
12.49,-12.4225386191028,-7.50130249895211,36.77221968609
12.59,-6.30338981226558,-0.773764692004329,31.0104335212609
12.69,-2.67027309290338,-0.78239514695587,23.945957013193
12.79,-1.9227715628981,-2.0727038457591,18.5959261627919
12.89,-2.76631840330633,-4.3345149492835,14.8731396644943
12.99,-5.33908647821807,-9.13637610471299,13.7378861219058
13.09,-10.5918970555039,-16.9594779264932,19.912173234579
13.19,-14.9343428563926,-14.7374766570748,35.9310346918418
13.29,-9.46163097908643,-1.26681509872065,36.0709487150819
13.39,-2.95041393089577,1.26957266398299,27.3813447952319
13.49,-0.492236060642471,0.705233830269559,20.8404721989798
13.59,0.191180464882101,0.588990278080975,15.9580075008958
13.69,0.581133183496693,1.05444710419145,12.2505494539954
13.79,1.32218557044043,2.45078924946602,9.52453830615613
13.89,3.21767726233242,6.17084957134034,8.12400500827532
13.99,8.02251368640228,15.0528241963882,11.3953763061497
14.09,16.0037227618459,21.9929386194485,30.8816682866635
14.19,13.0149863045948,2.10504076040249,41.8247070532671
14.29,2.67495433770664,-4.76044106225799,30.6179516817231
14.39,-1.92661544443398,-4.56940408046886,23.4925444506906
14.49,-4.06016873401067,-6.17551337119726,19.4247440454809
14.59,-6.79273944062214,-10.3088279088857,18.7925223125057
14.69,-10.870167066239,-14.9239549205476,24.625518884591
14.79,-12.7110419113016,-11.3321407442156,33.950187163937
14.89,-8.72762032506651,-3.56424198305917,32.8558533723038
14.99,-4.63271564853423,-2.00391812328869,26.5114680019068
15.09,-3.38496144521433,-3.32808957412371,21.1466605173493
15.19,-4.28170498497061,-6.11872395391437,17.7202996736786
15.29,-7.17414355768774,-11.1689212723745,17.8924157232477
15.39,-11.7531135121209,-16.0419540407712,25.6852034506431
15.49,-12.9437553485367,-10.1086754199205,35.6241673992071
15.59,-7.77437243761761,-2.07856348235292,32.4226482618983
15.69,-3.64543347240102,-1.23620710593476,25.4553006104158
15.79,-2.56982971576504,-2.58374050050508,19.9582618828103
15.89,-3.42116881744121,-5.11476006052319,16.2534397001844
15.99,-6.17004942505973,-10.1291530642702,15.6098804884112
16.09,-11.2456261026651,-16.817711156334,22.7103624884391
16.19,-14.1010079863662,-12.4132407458211,36.1404704404604
16.29,-8.58380700087488,-1.53622436980951,34.326371775774
16.39,-3.21926920238589,0.122150769098283,26.4355969623542
16.49,-1.41123788968255,-0.759493443345077,20.2912267954443
16.59,-1.41284401115644,-1.95857248501311,15.6968237835858
16.69,-2.52040789308293,-4.30393863526342,12.5433456235011
16.79,-5.40753063859893,-9.6937230252198,11.9891344867523
16.89,-11.3943709307619,-18.6066455886049,19.9924030623375
16.99,-15.6307056471515,-13.8634911272562,38.4169538223006
17.09,-8.39795697337467,0.801863640392291,35.8145605739987
17.19,-1.64273565520829,2.46324936111197,26.6417592888169
17.29,0.831681780624712,2.27382729795832,20.375090307171
17.39,2.10649691053971,3.51027115530692,15.9818407777868
17.49,4.14248402016977,7.06579175086277,13.6596088277813
17.59,8.44249649238388,14.2102990845692,16.3600985434612
17.69,14.263659954546,18.1076317696137,30.4788840168605
17.79,12.2402333447281,4.94258027213834,38.4221505601095
17.89,4.71123968479747,-1.21142339171574,30.2376542874499
17.99,1.01525735132429,-0.905003474522735,22.900499184605
18.09,-0.0500652728852204,-0.588954316344383,17.5167389676374
18.19,-0.464315233135551,-0.871795126148169,13.4340754733691
18.29,-1.05233385380426,-1.92071176788871,10.3797166917917
18.39,-2.49611288250444,-4.74051815833414,8.45044015415361
18.49,-6.22172690741249,-11.8601706857703,9.57312022965834
18.59,-13.8619803387322,-22.1772689393788,23.3754639982449
18.69,-15.6666253226645,-8.34316775982174,42.8471467756327
18.79,-5.1476714801425,4.33996562470736,33.5637538172772
18.89,0.993263955327635,4.45583650058014,25.1301868649673
18.99,3.39536556567589,5.35992113001524,20.247130014959
19.09,5.7519401448383,8.75964744933296,18.3208017633939
19.19,9.56563669662169,13.9437715886207,21.8538096612348
19.29,12.8512581276268,13.757802343579,31.7532576789273
19.39,10.3312098364292,5.29369745194837,34.4295357381032
19.49,5.53938484337808,1.88254845104689,28.4745875898974
