reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,train_rmse,train_nmse,test_ridge_score,test_cor,test_r2,test_rmse,test_nmse,washout_data,learnmodel_time,testing_time,E,delay_tp,temporal_cor,temporal_r2,temporal_rmse,temporal_nmse,ridge_train_cor,ridge_train_r2,ridge_train_score,ridge_train_rmse,ridge_train_nmse,ridge_test_cor,ridge_test_r2,ridge_test_rmse,ridge_test_nmse
Tetrahymena Reservoir,3,0.5639,0.7514,0.5647,0.613659,0.427732,0.2831,0.5793,0.3356,0.786764,0.703083,0,0.0,0.0,3,0,0.9999999999999999,0.9999999999999998,0.0,0.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.0023286159301785,6.1590409433328854e-06,0.9999999999999999,0.9999999999999998,0.0023286159301785,6.1590409433328854e-06
Tetrahymena Reservoir,3,0.5776,0.7605,0.5783,0.60459,0.414284,0.3085,0.6064,0.3677,0.773526,0.678152,0,0.0,0.0,3,1,0.9739794903922716,0.9486360477047892,0.21217269591255936,0.05103888384234209,0.9739794903922712,0.9486360477047883,0.9739794903922712,0.21083061263231834,0.050378353599848325,0.9739794903922712,0.9486360477047883,0.21083061263231834,0.050378353599848325
Tetrahymena Reservoir,3,0.5761,0.7595,0.5768,0.606292,0.41575,0.329,0.6235,0.3887,0.762777,0.658058,0,0.0,0.0,3,2,0.9035436913188754,0.8163912021221391,0.4089421884443591,0.189191171584578,0.903543691318875,0.8163912021221386,0.903543691318875,0.399027574826067,0.18008375335384633,0.903543691318875,0.8163912021221386,0.399027574826067,0.18008375335384633
Tetrahymena Reservoir,3,0.5593,0.7483,0.56,0.618857,0.432254,0.3424,0.6289,0.3955,0.755966,0.645005,0,0.0,0.0,3,3,0.8004352670861511,0.640696616795278,0.5888532062002626,0.3914732197227896,0.8004352670861514,0.6406966167952786,0.8004352670861514,0.5587982810451975,0.3524267530881158,0.8004352670861514,0.6406966167952786,0.5587982810451975,0.3524267530881158
Tetrahymena Reservoir,3,0.5288,0.7277,0.5295,0.640636,0.462212,0.3464,0.6229,0.388,0.754492,0.641104,0,0.0,0.0,3,4,0.6807148493705114,0.46337270615351805,0.7456106044429452,0.626486215244305,0.6807148493705117,0.4633727061535185,0.6807148493705117,0.683649390912061,0.5263634000236317,0.6807148493705117,0.4633727061535185,0.683649390912061,0.5263634000236317
Tetrahymena Reservoir,3,0.4871,0.6986,0.488,0.669014,0.503008,0.3448,0.6103,0.3725,0.756154,0.642577,0,0.0,0.0,3,5,0.5589727124174756,0.31245049322734986,0.8771980286173424,0.8653962749373312,0.5589727124174763,0.31245049322735063,0.5589727124174763,0.7745858438937577,0.6742849532921708,0.5589727124174763,0.31245049322735063,0.7745858438937577,0.6742849532921708
Tetrahymena Reservoir,3,0.4439,0.6672,0.4452,0.697225,0.545267,0.3337,0.5914,0.3498,0.763141,0.653241,0,0.0,0.0,3,6,0.44705460839294253,0.19985782288536721,0.9831446962033547,1.084684509508999,0.4470546083929425,0.19985782288536716,0.4470546083929425,0.8363031079492091,0.7844975032608684,0.4470546083929425,0.19985782288536716,0.8363031079492091,0.7844975032608684
Tetrahymena Reservoir,3,0.4052,0.638,0.407,0.721537,0.582984,0.318,0.5711,0.3262,0.772592,0.668406,0,0.0,0.0,3,7,0.3509699003808775,0.12317987097336308,1.0658753460580566,1.2726626328161617,0.35096990038087755,0.12317987097336311,0.35096990038087755,0.8760280249635571,0.8593616442016847,0.35096990038087755,0.12317987097336311,0.8760280249635571,0.8593616442016847
Tetrahymena Reservoir,3,0.3751,0.6145,0.3776,0.739996,0.612239,0.2961,0.5481,0.3004,0.785343,0.689575,0,0.0,0.0,3,8,0.27269961247349245,0.07436507864319296,1.128657857896329,1.4260591296783418,0.27269961247349245,0.07436507864319296,0.27269961247349245,0.9006034555461374,0.9068379752923923,0.27269961247349245,0.07436507864319296,0.9006034555461374,0.9068379752923923
Tetrahymena Reservoir,3,0.3527,0.5966,0.3559,0.753666,0.63394,0.2709,0.5231,0.2736,0.799883,0.714074,0,0.0,0.0,3,9,0.2103176915436145,0.044233531376234966,1.1762207460573935,1.5490148440051852,0.2103176915436145,0.044233531376234966,0.2103176915436145,0.9158022668847391,0.9360385181535832,0.2103176915436145,0.044233531376234966,0.9158022668847391,0.9360385181535832
Tetrahymena Reservoir,3,0.3342,0.5813,0.3379,0.765118,0.651963,0.2414,0.494,0.244,0.81671,0.742849,0,0.0,0.0,3,10,0.1608454801328989,0.025871268479182776,1.2127383329929955,1.6473191423957048,0.1608454801328988,0.025871268479182738,0.1608454801328988,0.925461036133141,0.953853422141474,0.1608454801328988,0.025871268479182738,0.925461036133141,0.953853422141474
Tetrahymena Reservoir,3,0.3154,0.5652,0.3194,0.776703,0.67038,0.2111,0.463,0.2144,0.833779,0.772526,0,0.0,0.0,3,11,0.12116490851084488,0.01468093505444141,1.2414832130122149,1.7265973456610053,0.12116490851084487,0.014680935054441407,0.12116490851084487,0.9317928592397329,0.9648270369245822,0.12116490851084487,0.014680935054441407,0.9317928592397329,0.9648270369245822
Tetrahymena Reservoir,3,0.2962,0.5479,0.3002,0.788372,0.68932,0.1797,0.4297,0.1846,0.851084,0.803348,0,0.0,0.0,3,12,0.08829685687319123,0.007796334933684818,1.265032080872423,1.7922188899742926,0.08829685687319126,0.007796334933684823,0.08829685687319126,0.9360407504434086,0.9717356040143251,0.08829685687319126,0.007796334933684823,0.9360407504434086,0.9717356040143251
Tetrahymena Reservoir,3,0.2749,0.528,0.2788,0.80076,0.710426,0.1531,0.3994,0.1595,0.865395,0.829741,0,0.0,0.0,3,13,0.05938247801792219,0.003526278695549012,1.2854876325816975,1.8490787356861125,0.0593824780179222,0.0035262786955490132,0.0593824780179222,0.9387242590967716,0.9763145728666037,0.0593824780179222,0.0035262786955490132,0.9387242590967716,0.9763145728666037
Tetrahymena Reservoir,3,0.2543,0.5079,0.2579,0.812176,0.73109,0.1254,0.366,0.1339,0.879565,0.857447,0,0.0,0.0,3,14,0.032014823813377204,0.0010249489438015841,1.3044209134499962,1.9014329902321914,0.0320148238133772,0.0010249489438015837,0.0320148238133772,0.9400116736712073,0.9793485968733797,0.0320148238133772,0.0010249489438015837,0.9400116736712073,0.9793485968733797
