"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/05/21 11:58'38","44337.4990509259","  25.3000","","","","","","","",
"2021/05/21 11:59'38","44337.4997453704","  25.3000","","","","","","","",
"2021/05/21 12:00'38","44337.5004398148","  25.0000","","","","","","","",
"2021/05/21 12:01'38","44337.5011342593","  24.3000","","","","","","","",
"2021/05/21 12:02'38","44337.5018287037","  23.1000","","","","","","","",
"2021/05/21 12:03'38","44337.5025231481","  21.8000","","","","","","","",
"2021/05/21 12:04'38","44337.5032175926","  21.2000","","","","","","","",
"2021/05/21 12:05'38","44337.5039120370","  20.9000","","","","","","","",
"2021/05/21 12:06'38","44337.5046064815","  20.5000","","","","","","","",
"2021/05/21 12:07'38","44337.5053009259","  20.3000","","","","","","","",
"2021/05/21 12:08'38","44337.5059953704","  20.0000","","","","","","","",
"2021/05/21 12:09'38","44337.5066898148","  19.8000","","","","","","","",
"2021/05/21 12:10'38","44337.5073842593","  19.6000","","","","","","","",
"2021/05/21 12:11'38","44337.5080787037","  19.5000","","","","","","","",
"2021/05/21 12:12'38","44337.5087731481","  19.3000","","","","","","","",
"2021/05/21 12:13'38","44337.5094675926","  19.3000","","","","","","","",
"2021/05/21 12:14'38","44337.5101620370","  19.3000","","","","","","","",
"2021/05/21 12:15'38","44337.5108564815","  19.3000","","","","","","","",
"2021/05/21 12:16'38","44337.5115509259","  19.3000","","","","","","","",
"2021/05/21 12:17'38","44337.5122453704","  19.3000","","","","","","","",
"2021/05/21 12:18'38","44337.5129398148","  19.3000","","","","","","","",
"2021/05/21 12:19'38","44337.5136342593","  19.4000","","","","","","","",
"2021/05/21 12:20'38","44337.5143287037","  19.4000","","","","","","","",
"2021/05/21 12:21'38","44337.5150231481","  19.4000","","","","","","","",
"2021/05/21 12:22'38","44337.5157175926","  19.4000","","","","","","","",
"2021/05/21 12:23'38","44337.5164120370","  19.4000","","","","","","","",
"2021/05/21 12:24'38","44337.5171064815","  19.4000","","","","","","","",
"2021/05/21 12:25'38","44337.5178009259","  19.3000","","","","","","","",
