,Taxa,w_in_sp_opt,w_in_st_opt,w_bc_sp_opt,w_bc_st_opt,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test
346,Prok_Taxa00467,0.6,0.8,0.0,0.8,0.9803,0.882,0.0493,0.1204,0.0063117,0.0373314
347,Prok_Taxa00469,0.2,1.5,0.6,0.8,0.9879,0.3765,0.0387,0.2399,0.0038943,0.1483052
348,Prok_Taxa00471,0.9,1.0,0.8,0.8,0.9846,0.8615,0.0436,0.1328,0.0049471,0.0454308
349,Prok_Taxa00472,0.8,2.0,0.8,0.5,0.9821,0.8452,0.047,0.1358,0.005755,0.0475417
350,Prok_Taxa00473,0.0,2.0,0.8,0.8,0.9694,0.8125,0.0613,0.1484,0.0097719,0.0567331
351,Prok_Taxa00474,0.4,0.5,0.2,1.0,0.988,0.8388,0.0385,0.1408,0.0038637,0.0511047
352,Prok_Taxa00475,0.0,0.8,0.0,0.5,0.9869,0.8378,0.0403,0.1369,0.0042269,0.0482629
353,Prok_Taxa00476,0.4,1.0,0.4,1.0,0.9903,0.838,0.0346,0.1407,0.0031221,0.0510078
354,Prok_Taxa00477,0.6,0.8,0.2,0.5,0.9889,0.85,0.0372,0.1329,0.0035911,0.0454913
355,Prok_Taxa00478,0.8,2.0,0.2,0.8,0.9734,0.8422,0.0571,0.1353,0.0084882,0.0471996
356,Prok_Taxa00479,0.8,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
357,Prok_Taxa00480,0.0,2.0,0.4,2.0,0.9752,0.8649,0.0552,0.1296,0.0079292,0.0432584
358,Prok_Taxa00481,0.9,0.5,0.0,1.0,0.9913,0.8001,0.0329,0.1661,0.0028145,0.0710713
359,Prok_Taxa00485,0.9,0.8,0.6,1.0,0.9817,0.8884,0.0475,0.1164,0.0058744,0.0349263
360,Prok_Taxa00488,0.8,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
361,Prok_Taxa00491,0.6,2.0,0.0,2.0,0.9441,0.0996,0.0822,0.2499,0.0175842,0.160897
362,Prok_Taxa00493,0.2,0.5,0.6,0.5,0.9881,0.8306,0.0384,0.141,0.003827,0.0512094
363,Prok_Taxa00494,0.0,0.5,0.8,1.5,0.9903,0.8821,0.0347,0.1212,0.0031378,0.0378692
364,Prok_Taxa00495,0.0,0.8,0.6,0.8,0.9583,0.1057,0.0713,0.2494,0.0132194,0.1602491
365,Prok_Taxa00496,0.6,0.5,0.8,0.8,0.9872,0.8819,0.0399,0.1325,0.0041331,0.0452595
366,Prok_Taxa00498,0.6,1.5,0.6,0.5,0.9638,0.5215,0.0665,0.2417,0.0115112,0.1505081
367,Prok_Taxa00499,0.4,0.8,0.8,0.5,0.9863,0.8204,0.0413,0.144,0.0044375,0.053439
368,Prok_Taxa00500,0.8,0.5,0.8,0.8,0.9323,0.1139,0.0902,0.2496,0.02116,0.1605597
369,Prok_Taxa00501,0.4,1.0,0.4,0.8,0.9462,0.1831,0.0807,0.2481,0.0169273,0.1586293
370,Prok_Taxa00505,0.4,0.5,0.6,1.5,0.9895,0.8818,0.036,0.1258,0.0033745,0.0407939
371,Prok_Taxa00506,0.4,1.5,0.0,0.5,0.9622,0.791,0.068,0.1654,0.0120147,0.0704906
372,Prok_Taxa00507,0.0,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
373,Prok_Taxa00508,0.8,0.8,0.6,0.8,0.9893,0.8482,0.0363,0.135,0.0034357,0.0469385
374,Prok_Taxa00509,0.0,0.8,0.2,0.5,0.9854,0.8772,0.0425,0.121,0.0047046,0.0377323
375,Prok_Taxa00510,0.6,2.0,0.0,0.8,0.972,0.1532,0.0586,0.2479,0.0089433,0.1583598
376,Prok_Taxa00511,0.4,2.0,0.8,0.8,0.9251,0.0838,0.127,0.2499,0.0419641,0.1608792
377,Prok_Taxa00514,0.0,1.5,0.6,1.0,0.8755,0.0856,0.1205,0.2499,0.037771,0.160924
378,Prok_Taxa00516,0.6,2.0,0.6,2.0,0.9676,0.5919,0.0629,0.2112,0.0103046,0.1149733
379,Prok_Taxa00517,0.6,0.8,0.9,1.5,0.9802,0.8793,0.0493,0.1206,0.0063313,0.0375082
380,Prok_Taxa00518,0.0,0.8,0.6,1.5,0.8668,0.2691,0.1244,0.2467,0.0402368,0.1567761
381,Prok_Taxa00519,0.4,0.8,0.8,0.5,0.9853,0.7608,0.0426,0.1688,0.0047225,0.0734008
382,Prok_Taxa00522,0.8,1.0,0.6,0.5,0.9861,0.8047,0.0415,0.1512,0.004486,0.0589002
383,Prok_Taxa00524,0.9,2.0,0.8,0.8,0.9884,0.872,0.038,0.1259,0.0037515,0.0408541
384,Prok_Taxa00526,0.4,0.8,0.6,0.5,0.9699,0.0249,0.0608,0.2518,0.0096141,0.1633763
385,Prok_Taxa00527,0.4,0.5,0.9,2.0,0.9873,0.7806,0.0396,0.1768,0.0040855,0.0805394
386,Prok_Taxa00528,0.6,1.5,0.0,0.5,0.9786,0.8094,0.0514,0.1495,0.0068632,0.0575828
387,Prok_Taxa00530,0.0,0.5,0.4,0.8,0.9826,0.8355,0.0463,0.1397,0.0055815,0.0502981
388,Prok_Taxa00531,0.8,2.0,0.9,1.0,0.9833,0.8801,0.0454,0.1198,0.0053583,0.0369951
389,Prok_Taxa00533,0.0,2.0,0.6,0.5,0.9793,0.82,0.0507,0.1435,0.0066959,0.0531002
390,Prok_Taxa00534,0.9,0.5,0.4,0.5,0.9899,0.8923,0.0353,0.1144,0.0032505,0.0337
391,Prok_Taxa00535,0.6,0.5,0.0,0.5,0.84,0.0735,0.1353,0.2501,0.0476213,0.1612118
392,Prok_Taxa00536,0.0,2.0,0.6,0.8,0.9377,0.6022,0.0867,0.2086,0.0195392,0.1121212
393,Prok_Taxa00538,0.4,1.5,0.4,0.5,0.981,0.8567,0.0484,0.1314,0.0061004,0.0445181
394,Prok_Taxa00541,0.6,0.8,0.6,1.5,0.9821,0.7504,0.047,0.1666,0.0057525,0.0715128
395,Prok_Taxa00543,0.4,1.5,0.6,1.5,0.9905,0.8726,0.0343,0.1285,0.0030591,0.0425598
396,Prok_Taxa00544,0.9,0.8,0.9,0.5,0.9656,0.8647,0.0648,0.1294,0.0109281,0.0431455
397,Prok_Taxa00545,0.2,1.5,0.8,0.5,0.9695,0.1951,0.0612,0.2483,0.0097449,0.1588771
398,Prok_Taxa00547,0.4,2.0,0.8,1.0,0.97,0.2825,0.0607,0.2456,0.009571,0.15546
399,Prok_Taxa00548,0.8,2.0,0.9,1.0,0.9818,0.8464,0.0474,0.143,0.0058567,0.0526808
400,Prok_Taxa00551,0.0,1.0,0.6,0.5,0.9748,0.8402,0.0556,0.1366,0.0080408,0.0481018
401,Prok_Taxa00553,0.2,2.0,0.6,0.8,0.9899,0.8353,0.0355,0.1402,0.003276,0.0506861
402,Prok_Taxa00554,0.0,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
403,Prok_Taxa00555,0.9,0.5,0.8,0.8,0.9824,0.8012,0.0467,0.1509,0.0056617,0.0586949
404,Prok_Taxa00556,0.8,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
405,Prok_Taxa00562,0.0,2.0,0.0,0.5,0.9679,0.2633,0.0631,0.2418,0.0103732,0.1507136
406,Prok_Taxa00564,0.4,1.0,0.8,0.5,0.9884,0.8392,0.0379,0.1392,0.0037285,0.0499614
407,Prok_Taxa00566,0.4,1.5,0.4,0.5,0.9714,0.7349,0.0592,0.1933,0.0091285,0.0962809
408,Prok_Taxa00567,0.0,2.0,0.4,1.0,0.9674,0.5684,0.0631,0.2313,0.0103637,0.1378967
409,Prok_Taxa00568,0.0,0.8,0.4,0.5,0.9721,0.7702,0.0585,0.1786,0.008898,0.0821569
410,Prok_Taxa00569,0.4,0.8,0.9,0.8,0.9843,0.8187,0.044,0.1463,0.0050352,0.0551808
411,Prok_Taxa00570,0.8,1.5,0.0,0.8,0.9345,0.5808,0.0888,0.2383,0.0205127,0.146373
412,Prok_Taxa00571,0.9,0.8,0.0,0.8,0.9699,0.3058,0.0608,0.2491,0.0096023,0.1599131
413,Prok_Taxa00573,0.8,1.0,0.4,1.0,0.9866,0.8156,0.0407,0.1465,0.004313,0.0553144
414,Prok_Taxa00574,0.2,1.5,0.4,0.5,0.992,0.8881,0.0314,0.1183,0.0025686,0.0360856
415,Prok_Taxa00576,0.2,0.8,0.8,0.8,0.9841,0.8916,0.0443,0.1165,0.0051076,0.0349854
416,Prok_Taxa00577,0.8,2.0,0.8,0.8,0.9674,0.8192,0.0632,0.1468,0.0103755,0.0555677
417,Prok_Taxa00578,0.4,0.5,0.9,1.5,0.9829,0.8489,0.0459,0.135,0.0054858,0.0469573
418,Prok_Taxa00579,0.8,1.5,0.8,1.5,0.9829,0.7776,0.046,0.1806,0.0055135,0.0840452
419,Prok_Taxa00580,0.8,2.0,0.4,1.5,0.9424,0.1307,0.0834,0.2496,0.0180909,0.1605268
420,Prok_Taxa00583,0.8,1.5,0.6,0.5,0.9896,0.8413,0.0358,0.1468,0.0033432,0.0555363
421,Prok_Taxa00584,0.0,1.5,0.0,1.5,0.9293,0.5084,0.0921,0.2237,0.0220841,0.1289416
422,Prok_Taxa00585,0.6,1.5,0.4,0.5,0.9895,0.8837,0.036,0.118,0.0033765,0.0358662
423,Prok_Taxa00587,0.6,0.5,0.6,1.5,0.9389,0.0638,0.0858,0.2505,0.0191544,0.1616498
424,Prok_Taxa00588,0.0,1.5,0.0,1.0,0.9795,0.6435,0.0502,0.2076,0.0065674,0.1110263
425,Prok_Taxa00591,0.6,2.0,0.6,0.5,0.9159,0.0619,0.1001,0.2519,0.0260816,0.1634905
426,Prok_Taxa00593,0.6,0.5,0.4,0.5,0.9515,0.4345,0.0767,0.2296,0.0153176,0.1358509
427,Prok_Taxa00594,0.6,0.5,0.6,1.5,0.9493,0.0295,0.0784,0.2554,0.0159797,0.1681399
428,Prok_Taxa00598,0.9,2.0,0.0,1.0,0.9733,0.7427,0.0573,0.1965,0.0085296,0.0994542
429,Prok_Taxa00600,0.6,1.5,0.6,0.8,0.956,0.1558,0.0732,0.248,0.0139265,0.1584327
430,Prok_Taxa00601,0.9,0.8,0.8,0.8,0.9868,0.6037,0.0405,0.2097,0.0042694,0.113348
431,Prok_Taxa00602,0.8,0.5,0.0,2.0,0.98,0.6622,0.0496,0.1979,0.0064013,0.1009713
432,Prok_Taxa00604,0.4,0.5,0.8,0.8,0.9755,0.8554,0.0549,0.1348,0.0078334,0.0468216
433,Prok_Taxa00607,0.6,1.0,0.0,0.8,0.9284,0.6297,0.0926,0.2457,0.0223304,0.1555285
434,Prok_Taxa00608,0.0,2.0,0.4,0.5,0.9056,0.1203,0.1058,0.2489,0.0291153,0.1596959
435,Prok_Taxa00611,0.0,0.5,0.0,0.5,0.4612,0.0543,0.2213,0.2502,0.1273669,0.1613266
436,Prok_Taxa00612,0.0,2.0,0.8,0.8,0.9824,0.8653,0.0466,0.1281,0.0056517,0.0422745
437,Prok_Taxa00613,0.4,1.5,0.6,0.5,0.9829,0.7997,0.046,0.1505,0.0055072,0.0583506
438,Prok_Taxa00614,0.0,1.5,0.8,0.8,0.9866,0.8408,0.0407,0.1396,0.0043047,0.0502165
439,Prok_Taxa00618,0.8,0.8,0.9,2.0,0.9811,0.7654,0.0483,0.1862,0.0060632,0.089384
440,Prok_Taxa00620,0.2,2.0,0.0,1.0,0.9876,0.7031,0.0391,0.1866,0.0039767,0.0896997
441,Prok_Taxa00621,0.9,1.0,0.9,0.5,0.9889,0.6003,0.0374,0.2048,0.0036308,0.1080658
442,Prok_Taxa00623,0.0,0.5,0.6,0.8,0.967,0.8204,0.0635,0.1485,0.0105057,0.0568402
443,Prok_Taxa00627,0.4,2.0,0.4,0.8,0.9908,0.8376,0.0338,0.1419,0.0029794,0.0519001
444,Prok_Taxa00628,0.6,1.0,0.8,0.8,0.9798,0.8946,0.0499,0.1144,0.0064747,0.0337372
445,Prok_Taxa00630,0.8,1.0,0.6,0.8,0.9726,0.602,0.058,0.2166,0.0087586,0.1209226
446,Prok_Taxa00631,0.0,0.8,0.6,0.8,0.8988,0.0864,0.1093,0.2499,0.0310804,0.1609311
447,Prok_Taxa00632,0.0,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
448,Prok_Taxa00633,0.0,0.5,0.9,2.0,0.9838,0.8512,0.0448,0.1339,0.0052099,0.0461899
449,Prok_Taxa00634,0.6,0.5,0.0,0.5,0.954,0.6221,0.0748,0.2051,0.0145365,0.1084306
450,Prok_Taxa00635,0.2,0.5,0.9,0.5,0.9888,0.8763,0.0375,0.1266,0.0036556,0.0413316
451,Prok_Taxa00636,0.6,2.0,0.0,0.5,0.839,0.0313,0.1357,0.2554,0.0478981,0.1681075
452,Prok_Taxa00639,0.9,1.0,0.6,1.5,0.9844,0.872,0.0439,0.1378,0.0050078,0.0488993
453,Prok_Taxa00643,0.4,2.0,0.8,0.5,0.9465,0.5206,0.0805,0.2329,0.0168746,0.1397892
454,Prok_Taxa00644,0.2,1.0,0.4,0.5,0.993,0.8785,0.0294,0.1204,0.0022446,0.0373815
455,Prok_Taxa00645,0.9,2.0,0.4,0.8,0.9872,0.7748,0.0398,0.1686,0.0041136,0.0732898
456,Prok_Taxa00649,0.4,2.0,0.0,0.5,0.9895,0.8836,0.0361,0.1187,0.0033873,0.0363061
457,Prok_Taxa00650,0.4,2.0,0.9,0.8,0.9873,0.8582,0.0397,0.1297,0.0040945,0.0433202
458,Prok_Taxa00654,0.4,1.0,0.8,0.5,0.9359,0.7155,0.0879,0.1766,0.0200803,0.080331
459,Prok_Taxa00658,0.0,2.0,0.4,0.5,0.9853,0.8636,0.0427,0.1276,0.0047353,0.0419504
460,Prok_Taxa00667,0.0,0.8,0.0,0.8,0.993,0.701,0.0295,0.1819,0.0022677,0.0852249
461,Prok_Taxa00669,0.0,2.0,0.4,0.5,0.9857,0.8267,0.042,0.1439,0.0045958,0.0533268
462,Prok_Taxa00672,0.2,0.5,0.8,0.8,0.9803,0.8115,0.0493,0.147,0.0063119,0.0556993
463,Prok_Taxa00673,0.6,0.5,0.2,0.5,0.989,0.8765,0.0369,0.1323,0.0035518,0.0450821
464,Prok_Taxa00676,0.4,1.5,0.4,0.5,0.9171,0.1984,0.0994,0.2471,0.0257284,0.1573739
465,Prok_Taxa00678,0.8,1.5,0.0,0.5,0.9745,0.5635,0.056,0.2224,0.0081506,0.1274193
466,Prok_Taxa00679,0.4,2.0,0.0,0.8,0.9676,0.2665,0.063,0.2435,0.0103232,0.1527665
467,Prok_Taxa00681,0.0,2.0,0.6,1.0,0.9732,0.7728,0.0573,0.1602,0.0085401,0.0661581
468,Prok_Taxa00690,0.0,2.0,0.4,1.5,0.9776,0.746,0.0525,0.1674,0.0071746,0.0721786
469,Prok_Taxa00691,0.0,0.8,0.4,1.0,0.9725,0.8486,0.0581,0.156,0.0087815,0.0627392
470,Prok_Taxa00692,0.4,1.0,0.4,0.8,0.9488,0.095,0.0788,0.2496,0.0161496,0.1605522
471,Prok_Taxa00698,0.6,0.5,0.6,0.8,0.9824,0.8699,0.0466,0.1323,0.0056378,0.0450784
472,Prok_Taxa00700,0.0,2.0,0.4,0.5,0.7827,0.1312,0.1552,0.2485,0.0626936,0.1591723
473,Prok_Taxa00702,0.8,1.0,0.6,0.8,0.991,0.8909,0.0334,0.1219,0.0029067,0.0382895
474,Prok_Taxa00706,0.8,0.8,0.6,0.5,0.9838,0.8384,0.0448,0.1377,0.0052126,0.048847
475,Prok_Taxa00711,0.0,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
476,Prok_Taxa00714,0.8,0.8,0.6,0.8,0.9854,0.8068,0.0425,0.1525,0.0047015,0.0599131
477,Prok_Taxa00716,0.0,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
478,Prok_Taxa00718,0.8,0.8,0.0,0.5,0.9904,0.8858,0.0344,0.1212,0.0030821,0.0378583
479,Prok_Taxa00721,0.0,1.0,0.0,1.0,0.9884,0.8758,0.0379,0.1216,0.0037305,0.0380979
480,Prok_Taxa00723,0.0,0.8,0.8,2.0,0.9701,0.2088,0.0605,0.2463,0.0095219,0.1563277
481,Prok_Taxa00730,0.0,1.0,0.6,2.0,0.9536,0.6529,0.0751,0.2005,0.0146739,0.1036126
482,Prok_Taxa00731,0.0,1.5,0.9,1.0,0.9853,0.8036,0.0426,0.1527,0.0047202,0.0600903
483,Prok_Taxa00735,0.8,1.0,0.2,1.0,0.9834,0.8452,0.0453,0.1352,0.005339,0.0471005
484,Prok_Taxa00737,0.8,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
485,Prok_Taxa00742,0.2,1.5,0.9,0.8,0.9779,0.7392,0.0522,0.1693,0.0070849,0.0738594
486,Prok_Taxa00743,0.4,1.5,0.0,1.5,0.9814,0.59,0.0479,0.2123,0.0059597,0.1161084
487,Prok_Taxa00748,0.8,1.0,0.8,1.5,0.9831,0.8554,0.0456,0.1324,0.0054177,0.0452035
488,Prok_Taxa00750,0.0,1.5,0.0,0.5,0.9866,0.8923,0.0407,0.1137,0.0043075,0.0333364
489,Prok_Taxa00760,0.6,1.5,0.8,2.0,0.9809,0.8242,0.0485,0.1426,0.0061237,0.0524003
490,Prok_Taxa00766,0.8,1.0,0.8,1.5,0.9821,0.8807,0.047,0.119,0.0057356,0.0364676
491,Prok_Taxa00767,0.4,0.8,0.4,0.5,0.9481,0.6343,0.0793,0.203,0.0163487,0.1062418
492,Prok_Taxa00768,0.6,2.0,0.6,0.8,0.8845,0.0304,0.1163,0.2512,0.0352082,0.1626442
493,Prok_Taxa00770,0.9,1.0,0.4,0.5,0.9912,0.8911,0.0331,0.1165,0.0028539,0.0349956
494,Prok_Taxa00814,0.2,0.5,0.9,0.8,0.9888,0.8469,0.0372,0.135,0.0035947,0.0469542
495,Prok_Taxa00820,0.6,2.0,0.0,2.0,0.9265,0.0638,0.0939,0.2505,0.0229218,0.1617602
496,Prok_Taxa00862,0.0,1.5,0.8,0.8,0.9868,0.7574,0.0404,0.1659,0.0042453,0.0708847
497,Prok_Taxa00901,0.4,1.0,0.2,1.0,0.966,0.1564,0.0645,0.2482,0.0108086,0.1587901
498,Prok_Taxa00912,0.4,0.8,0.8,0.8,0.9846,0.8161,0.0436,0.1533,0.004947,0.0605914
499,Prok_Taxa01109,0.4,1.5,0.6,0.8,0.9862,0.5909,0.0413,0.2076,0.0044358,0.1110411
