,Taxa,w_in_sp_opt,w_in_st_opt,w_bc_sp_opt,w_bc_st_opt,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test
182,Prok_Taxa00239,0.0,0.8,0.0,1.0,0.9593,0.8207,0.0705,0.1433,0.0129126,0.0528935
183,Prok_Taxa00240,0.0,0.5,0.4,0.5,0.9683,0.7486,0.0623,0.1677,0.0100888,0.0724632
184,Prok_Taxa00242,0.0,1.5,0.4,1.5,0.992,0.8846,0.0316,0.1192,0.0025902,0.0366087
185,Prok_Taxa00243,0.8,1.5,0.8,0.5,0.9456,0.1636,0.0812,0.2478,0.0171537,0.1582509
186,Prok_Taxa00244,0.2,1.0,0.8,0.5,0.9829,0.6868,0.0459,0.1947,0.0054803,0.0977171
187,Prok_Taxa00245,0.8,0.8,0.0,0.5,0.9758,0.8422,0.0545,0.152,0.0077324,0.0595749
188,Prok_Taxa00247,0.8,0.8,0.4,0.8,0.9764,0.6808,0.0539,0.1842,0.0075617,0.0873984
189,Prok_Taxa00250,0.8,1.0,0.4,0.5,0.9906,0.7462,0.0342,0.1715,0.0030349,0.0757575
190,Prok_Taxa00251,0.6,1.0,0.6,1.0,0.9883,0.8758,0.0381,0.1229,0.0037809,0.0389073
191,Prok_Taxa00252,0.8,0.5,0.6,0.5,0.9898,0.8503,0.0356,0.1335,0.0032923,0.0459517
192,Prok_Taxa00253,0.2,1.0,0.6,0.8,0.9822,0.842,0.0469,0.1431,0.005723,0.0527956
193,Prok_Taxa00254,0.6,1.0,0.4,0.8,0.9892,0.7751,0.0366,0.1592,0.0034796,0.0652925
194,Prok_Taxa00255,0.0,2.0,0.4,1.0,0.9466,0.2462,0.0804,0.245,0.0168042,0.1547141
195,Prok_Taxa00256,0.0,1.5,0.0,0.5,0.8308,0.1041,0.1388,0.2531,0.050133,0.1650872
196,Prok_Taxa00257,0.0,0.8,0.6,0.8,0.9641,0.6788,0.0662,0.1869,0.0114079,0.0900373
197,Prok_Taxa00258,0.0,2.0,0.4,1.0,0.9615,0.8031,0.0686,0.164,0.0122315,0.0692717
198,Prok_Taxa00260,0.0,2.0,0.6,1.5,0.9353,0.1462,0.0882,0.2489,0.0202445,0.1595872
199,Prok_Taxa00261,0.2,1.5,0.0,0.8,0.9601,0.0638,0.0697,0.254,0.0126564,0.166252
200,Prok_Taxa00262,0.4,2.0,0.4,0.5,0.9846,0.8358,0.0436,0.145,0.0049496,0.0541538
201,Prok_Taxa00263,0.6,2.0,0.6,0.5,0.9722,0.3734,0.0586,0.2376,0.0089257,0.1454924
202,Prok_Taxa00265,0.0,0.8,0.9,1.0,0.9741,0.8488,0.0564,0.1387,0.0082745,0.0495781
203,Prok_Taxa00266,0.0,0.8,0.0,0.5,0.9416,0.6962,0.084,0.2048,0.0183391,0.108052
204,Prok_Taxa00267,0.6,1.5,0.6,0.8,0.9593,0.0924,0.0704,0.2499,0.0128991,0.160973
205,Prok_Taxa00269,0.6,1.0,0.6,0.5,0.9783,0.8483,0.0517,0.1334,0.0069663,0.0458292
206,Prok_Taxa00272,0.2,0.5,0.6,2.0,0.9929,0.9,0.0297,0.1107,0.0022886,0.0315847
207,Prok_Taxa00273,0.0,2.0,0.8,2.0,0.9847,0.8372,0.0434,0.1483,0.0049093,0.0566727
208,Prok_Taxa00275,0.8,0.5,0.8,0.8,0.987,0.826,0.0401,0.1443,0.00418,0.0536785
209,Prok_Taxa00276,0.0,1.0,0.0,0.5,0.9808,0.7088,0.0487,0.1798,0.0061646,0.0832682
210,Prok_Taxa00277,0.8,0.8,0.6,0.8,0.9865,0.8594,0.0408,0.142,0.0043296,0.0519584
211,Prok_Taxa00279,0.8,2.0,0.4,0.5,0.9559,0.1034,0.0733,0.2493,0.0139749,0.1601695
212,Prok_Taxa00280,0.8,0.5,0.8,0.5,0.9391,0.0929,0.1473,0.2499,0.0564258,0.160885
213,Prok_Taxa00282,0.8,2.0,0.8,1.5,0.99,0.8366,0.0351,0.1389,0.0032064,0.0497215
214,Prok_Taxa00284,0.6,2.0,0.8,0.8,0.9744,0.8267,0.0561,0.1423,0.0081744,0.0522157
215,Prok_Taxa00285,0.8,1.0,0.6,0.5,0.9784,0.8505,0.0521,0.1599,0.0070696,0.0658529
216,Prok_Taxa00287,0.8,0.8,0.4,0.5,0.9781,0.8115,0.052,0.1475,0.0070215,0.0560846
217,Prok_Taxa00288,0.9,0.5,0.9,2.0,0.975,0.8097,0.0554,0.1546,0.0079877,0.0616104
218,Prok_Taxa00289,0.6,1.0,0.8,0.5,0.9777,0.4391,0.0524,0.234,0.0071531,0.1410716
219,Prok_Taxa00290,0.0,2.0,0.0,0.5,0.6558,0.0904,0.1883,0.2505,0.0921961,0.1617582
220,Prok_Taxa00291,0.0,1.5,0.4,2.0,0.9689,0.6556,0.0617,0.1903,0.0099077,0.0933195
221,Prok_Taxa00292,0.0,1.5,0.6,0.8,0.9043,0.2291,0.1065,0.2499,0.0294949,0.1609055
222,Prok_Taxa00293,0.0,0.8,0.8,2.0,0.9757,0.2311,0.0546,0.248,0.0077691,0.1585211
223,Prok_Taxa00294,0.0,2.0,0.0,0.8,0.923,0.0752,0.0961,0.2499,0.0240241,0.1608856
224,Prok_Taxa00296,0.6,1.5,0.6,1.5,0.9776,0.7577,0.0525,0.1709,0.0071758,0.0752374
225,Prok_Taxa00297,0.4,1.5,0.2,0.5,0.9874,0.8366,0.0396,0.1385,0.0040753,0.0494548
226,Prok_Taxa00300,0.0,0.8,0.6,0.5,0.977,0.8735,0.0532,0.1231,0.0073567,0.0390638
227,Prok_Taxa00301,0.0,1.5,0.6,0.5,0.9842,0.8662,0.0441,0.126,0.0050624,0.0409396
228,Prok_Taxa00303,0.6,2.0,0.6,1.0,0.929,0.2198,0.0923,0.2466,0.0221635,0.1566864
