"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/05/22 15:16'09","44338.6362152778","  24.1000","","","","","","","",
"2021/05/22 15:17'09","44338.6369097222","  24.1000","","","","","","","",
"2021/05/22 15:18'09","44338.6376041667","  23.9000","","","","","","","",
"2021/05/22 15:19'09","44338.6382986111","  23.1000","","","","","","","",
"2021/05/22 15:20'09","44338.6389930556","  22.0000","","","","","","","",
"2021/05/22 15:21'09","44338.6396875000","  21.3000","","","","","","","",
"2021/05/22 15:22'09","44338.6403819444","  20.7000","","","","","","","",
"2021/05/22 15:23'09","44338.6410763889","  20.4000","","","","","","","",
"2021/05/22 15:24'09","44338.6417708333","  20.0000","","","","","","","",
"2021/05/22 15:25'09","44338.6424652778","  19.8000","","","","","","","",
"2021/05/22 15:26'09","44338.6431597222","  19.5000","","","","","","","",
"2021/05/22 15:27'09","44338.6438541667","  19.3000","","","","","","","",
"2021/05/22 15:28'09","44338.6445486111","  19.1000","","","","","","","",
"2021/05/22 15:29'09","44338.6452430556","  19.0000","","","","","","","",
"2021/05/22 15:30'09","44338.6459375000","  18.9000","","","","","","","",
"2021/05/22 15:31'09","44338.6466319444","  18.8000","","","","","","","",
"2021/05/22 15:32'09","44338.6473263889","  18.8000","","","","","","","",
"2021/05/22 15:33'09","44338.6480208333","  18.7000","","","","","","","",
"2021/05/22 15:34'09","44338.6487152778","  18.7000","","","","","","","",
"2021/05/22 15:35'09","44338.6494097222","  18.8000","","","","","","","",
"2021/05/22 15:36'09","44338.6501041667","  18.8000","","","","","","","",
"2021/05/22 15:37'09","44338.6507986111","  18.8000","","","","","","","",
"2021/05/22 15:38'09","44338.6514930556","  18.9000","","","","","","","",
"2021/05/22 15:39'09","44338.6521875000","  18.9000","","","","","","","",
"2021/05/22 15:40'09","44338.6528819444","  18.9000","","","","","","","",
"2021/05/22 15:41'09","44338.6535763889","  18.8000","","","","","","","",
"2021/05/22 15:42'09","44338.6542708333","  18.8000","","","","","","","",
"2021/05/22 15:43'09","44338.6549652778","  18.8000","","","","","","","",
"2021/05/22 15:44'09","44338.6556597222","  18.8000","","","","","","","",
"2021/05/22 15:45'09","44338.6563541667","  18.7000","","","","","","","",
"2021/05/22 15:46'09","44338.6570486111","  18.7000","","","","","","","",
"2021/05/22 15:47'09","44338.6577430556","  18.7000","","","","","","","",
"2021/05/22 15:48'09","44338.6584375000","  18.7000","","","","","","","",
"2021/05/22 15:49'09","44338.6591319444","  18.7000","","","","","","","",
"2021/05/22 15:50'09","44338.6598263889","  18.7000","","","","","","","",
"2021/05/22 15:51'09","44338.6605208333","  18.7000","","","","","","","",
"2021/05/22 15:52'09","44338.6612152778","  18.7000","","","","","","","",
"2021/05/22 15:53'09","44338.6619097222","  18.7000","","","","","","","",
"2021/05/22 15:54'09","44338.6626041667","  18.7000","","","","","","","",
"2021/05/22 15:55'09","44338.6632986111","  18.7000","","","","","","","",
"2021/05/22 15:56'09","44338.6639930556","  18.7000","","","","","","","",
"2021/05/22 15:57'09","44338.6646875000","  18.7000","","","","","","","",
"2021/05/22 15:58'09","44338.6653819444","  18.7000","","","","","","","",
"2021/05/22 15:59'09","44338.6660763889","  18.7000","","","","","","","",
"2021/05/22 16:00'09","44338.6667708333","  18.7000","","","","","","","",
"2021/05/22 16:01'09","44338.6674652778","  18.7000","","","","","","","",
"2021/05/22 16:02'09","44338.6681597222","  18.7000","","","","","","","",
"2021/05/22 16:03'09","44338.6688541667","  18.7000","","","","","","","",
"2021/05/22 16:04'09","44338.6695486111","  18.7000","","","","","","","",
"2021/05/22 16:05'09","44338.6702430556","  18.7000","","","","","","","",
"2021/05/22 16:06'09","44338.6709375000","  18.7000","","","","","","","",
"2021/05/22 16:07'09","44338.6716319444","  18.7000","","","","","","","",
"2021/05/22 16:08'09","44338.6723263889","  18.7000","","","","","","","",
"2021/05/22 16:09'09","44338.6730208333","  18.7000","","","","","","","",
"2021/05/22 16:10'09","44338.6737152778","  18.7000","","","","","","","",
"2021/05/22 16:11'09","44338.6744097222","  18.7000","","","","","","","",
"2021/05/22 16:12'09","44338.6751041667","  18.7000","","","","","","","",
"2021/05/22 16:13'09","44338.6757986111","  18.8000","","","","","","","",
"2021/05/22 16:14'09","44338.6764930556","  18.7000","","","","","","","",
"2021/05/22 16:15'09","44338.6771875000","  18.8000","","","","","","","",
"2021/05/22 16:16'09","44338.6778819444","  18.7000","","","","","","","",
"2021/05/22 16:17'09","44338.6785763889","  18.7000","","","","","","","",
"2021/05/22 16:18'09","44338.6792708333","  18.7000","","","","","","","",
"2021/05/22 16:19'09","44338.6799652778","  18.7000","","","","","","","",
"2021/05/22 16:20'09","44338.6806597222","  18.7000","","","","","","","",
"2021/05/22 16:21'09","44338.6813541667","  18.7000","","","","","","","",
"2021/05/22 16:22'09","44338.6820486111","  18.7000","","","","","","","",
"2021/05/22 16:23'09","44338.6827430556","  18.7000","","","","","","","",
"2021/05/22 16:24'09","44338.6834375000","  18.7000","","","","","","","",
"2021/05/22 16:25'09","44338.6841319444","  18.7000","","","","","","","",
"2021/05/22 16:26'09","44338.6848263889","  18.7000","","","","","","","",
"2021/05/22 16:27'09","44338.6855208333","  18.7000","","","","","","","",
"2021/05/22 16:28'09","44338.6862152778","  18.7000","","","","","","","",
"2021/05/22 16:29'09","44338.6869097222","  18.7000","","","","","","","",
"2021/05/22 16:30'09","44338.6876041667","  18.7000","","","","","","","",
"2021/05/22 16:31'09","44338.6882986111","  18.7000","","","","","","","",
"2021/05/22 16:32'09","44338.6889930556","  18.7000","","","","","","","",
"2021/05/22 16:33'09","44338.6896875000","  18.7000","","","","","","","",
