"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/02/25 17:34'00","44252.7319444444","  23.3000","","","","","","","",
"2021/02/25 17:35'00","44252.7326388889","  23.1000","","","","","","","",
"2021/02/25 17:36'00","44252.7333333333","  23.0000","","","","","","","",
"2021/02/25 17:37'00","44252.7340277778","  22.7000","","","","","","","",
"2021/02/25 17:38'00","44252.7347222222","  22.0000","","","","","","","",
"2021/02/25 17:39'00","44252.7354166667","  21.2000","","","","","","","",
"2021/02/25 17:40'00","44252.7361111111","  20.3000","","","","","","","",
"2021/02/25 17:41'00","44252.7368055556","  19.3000","","","","","","","",
"2021/02/25 17:42'00","44252.7375000000","  18.4000","","","","","","","",
"2021/02/25 17:43'00","44252.7381944444","  17.9000","","","","","","","",
"2021/02/25 17:44'00","44252.7388888889","  17.4000","","","","","","","",
"2021/02/25 17:45'00","44252.7395833333","  17.3000","","","","","","","",
"2021/02/25 17:46'00","44252.7402777778","  17.3000","","","","","","","",
"2021/02/25 17:47'00","44252.7409722222","  17.5000","","","","","","","",
"2021/02/25 17:48'00","44252.7416666667","  17.7000","","","","","","","",
"2021/02/25 17:49'00","44252.7423611111","  18.4000","","","","","","","",
"2021/02/25 17:50'00","44252.7430555556","  19.2000","","","","","","","",
"2021/02/25 17:51'00","44252.7437500000","  19.9000","","","","","","","",
"2021/02/25 17:52'00","44252.7444444444","  20.1000","","","","","","","",
"2021/02/25 17:53'00","44252.7451388889","  20.0000","","","","","","","",
"2021/02/25 17:54'00","44252.7458333333","  19.5000","","","","","","","",
"2021/02/25 17:55'00","44252.7465277778","  18.9000","","","","","","","",
"2021/02/25 17:56'00","44252.7472222222","  18.1000","","","","","","","",
"2021/02/25 17:57'00","44252.7479166667","  17.4000","","","","","","","",
"2021/02/25 17:58'00","44252.7486111111","  16.9000","","","","","","","",
"2021/02/25 17:59'00","44252.7493055556","  16.4000","","","","","","","",
"2021/02/25 18:00'00","44252.7500000000","  15.9000","","","","","","","",
"2021/02/25 18:01'00","44252.7506944444","  15.5000","","","","","","","",
"2021/02/25 18:02'00","44252.7513888889","  15.3000","","","","","","","",
"2021/02/25 18:03'00","44252.7520833333","  15.1000","","","","","","","",
"2021/02/25 18:04'00","44252.7527777778","  15.1000","","","","","","","",
"2021/02/25 18:05'00","44252.7534722222","  15.0000","","","","","","","",
"2021/02/25 18:06'00","44252.7541666667","  15.0000","","","","","","","",
"2021/02/25 18:07'00","44252.7548611111","  15.1000","","","","","","","",
"2021/02/25 18:08'00","44252.7555555556","  15.2000","","","","","","","",
"2021/02/25 18:09'00","44252.7562500000","  15.3000","","","","","","","",
"2021/02/25 18:10'00","44252.7569444444","  15.2000","","","","","","","",
"2021/02/25 18:11'00","44252.7576388889","  15.3000","","","","","","","",
"2021/02/25 18:12'00","44252.7583333333","  15.6000","","","","","","","",
"2021/02/25 18:13'00","44252.7590277778","  15.9000","","","","","","","",
"2021/02/25 18:14'00","44252.7597222222","  16.3000","","","","","","","",
"2021/02/25 18:15'00","44252.7604166667","  16.7000","","","","","","","",
"2021/02/25 18:16'00","44252.7611111111","  17.1000","","","","","","","",
"2021/02/25 18:17'00","44252.7618055556","  17.5000","","","","","","","",
"2021/02/25 18:18'00","44252.7625000000","  17.9000","","","","","","","",
"2021/02/25 18:19'00","44252.7631944444","  18.6000","","","","","","","",
"2021/02/25 18:20'00","44252.7638888889","  19.1000","","","","","","","",
"2021/02/25 18:21'00","44252.7645833333","  19.7000","","","","","","","",
"2021/02/25 18:22'00","44252.7652777778","  20.2000","","","","","","","",
"2021/02/25 18:23'00","44252.7659722222","  20.7000","","","","","","","",
"2021/02/25 18:24'00","44252.7666666667","  21.2000","","","","","","","",
"2021/02/25 18:25'00","44252.7673611111","  21.6000","","","","","","","",
"2021/02/25 18:26'00","44252.7680555556","  22.2000","","","","","","","",
"2021/02/25 18:27'00","44252.7687500000","  22.4000","","","","","","","",
"2021/02/25 18:28'00","44252.7694444444","  22.7000","","","","","","","",
"2021/02/25 18:29'00","44252.7701388889","  22.8000","","","","","","","",
"2021/02/25 18:30'00","44252.7708333333","  23.0000","","","","","","","",
"2021/02/25 18:31'00","44252.7715277778","  23.0000","","","","","","","",
"2021/02/25 18:32'00","44252.7722222222","  23.2000","","","","","","","",
"2021/02/25 18:33'00","44252.7729166667","  23.1000","","","","","","","",
"2021/02/25 18:34'00","44252.7736111111","  23.3000","","","","","","","",
"2021/02/25 18:35'00","44252.7743055556","  23.2000","","","","","","","",
"2021/02/25 18:36'00","44252.7750000000","  23.0000","","","","","","","",
"2021/02/25 18:37'00","44252.7756944444","  22.7000","","","","","","","",
"2021/02/25 18:38'00","44252.7763888889","  21.9000","","","","","","","",
"2021/02/25 18:39'00","44252.7770833333","  21.1000","","","","","","","",
"2021/02/25 18:40'00","44252.7777777778","  20.1000","","","","","","","",
"2021/02/25 18:41'00","44252.7784722222","  19.0000","","","","","","","",
"2021/02/25 18:42'00","44252.7791666667","  18.2000","","","","","","","",
"2021/02/25 18:43'00","44252.7798611111","  18.0000","","","","","","","",
"2021/02/25 18:44'00","44252.7805555556","  17.9000","","","","","","","",
"2021/02/25 18:45'00","44252.7812500000","  18.0000","","","","","","","",
"2021/02/25 18:46'00","44252.7819444444","  18.2000","","","","","","","",
"2021/02/25 18:47'00","44252.7826388889","  18.7000","","","","","","","",
"2021/02/25 18:48'00","44252.7833333333","  19.2000","","","","","","","",
"2021/02/25 18:49'00","44252.7840277778","  19.9000","","","","","","","",
"2021/02/25 18:50'00","44252.7847222222","  20.5000","","","","","","","",
"2021/02/25 18:51'00","44252.7854166667","  21.2000","","","","","","","",
"2021/02/25 18:52'00","44252.7861111111","  21.2000","","","","","","","",
"2021/02/25 18:53'00","44252.7868055556","  20.7000","","","","","","","",
"2021/02/25 18:54'00","44252.7875000000","  19.8000","","","","","","","",
"2021/02/25 18:55'00","44252.7881944444","  18.8000","","","","","","","",
"2021/02/25 18:56'00","44252.7888888889","  18.1000","","","","","","","",
"2021/02/25 18:57'00","44252.7895833333","  17.5000","","","","","","","",
"2021/02/25 18:58'00","44252.7902777778","  17.0000","","","","","","","",
"2021/02/25 18:59'00","44252.7909722222","  16.6000","","","","","","","",
"2021/02/25 19:00'00","44252.7916666667","  16.2000","","","","","","","",
"2021/02/25 19:01'00","44252.7923611111","  16.0000","","","","","","","",
"2021/02/25 19:02'00","44252.7930555556","  16.3000","","","","","","","",
"2021/02/25 19:03'00","44252.7937500000","  16.7000","","","","","","","",
"2021/02/25 19:04'00","44252.7944444444","  17.4000","","","","","","","",
"2021/02/25 19:05'00","44252.7951388889","  18.3000","","","","","","","",
"2021/02/25 19:06'00","44252.7958333333","  19.4000","","","","","","","",
"2021/02/25 19:07'00","44252.7965277778","  19.9000","","","","","","","",
"2021/02/25 19:08'00","44252.7972222222","  19.8000","","","","","","","",
"2021/02/25 19:09'00","44252.7979166667","  19.3000","","","","","","","",
"2021/02/25 19:10'00","44252.7986111111","  18.5000","","","","","","","",
"2021/02/25 19:11'00","44252.7993055556","  17.6000","","","","","","","",
"2021/02/25 19:12'00","44252.8000000000","  17.4000","","","","","","","",
"2021/02/25 19:13'00","44252.8006944444","  17.5000","","","","","","","",
"2021/02/25 19:14'00","44252.8013888889","  18.2000","","","","","","","",
"2021/02/25 19:15'00","44252.8020833333","  19.2000","","","","","","","",
"2021/02/25 19:16'00","44252.8027777778","  20.3000","","","","","","","",
"2021/02/25 19:17'00","44252.8034722222","  21.4000","","","","","","","",
"2021/02/25 19:18'00","44252.8041666667","  22.0000","","","","","","","",
"2021/02/25 19:19'00","44252.8048611111","  22.6000","","","","","","","",
"2021/02/25 19:20'00","44252.8055555556","  22.8000","","","","","","","",
"2021/02/25 19:21'00","44252.8062500000","  22.8000","","","","","","","",
"2021/02/25 19:22'00","44252.8069444444","  22.8000","","","","","","","",
"2021/02/25 19:23'00","44252.8076388889","  22.8000","","","","","","","",
"2021/02/25 19:24'00","44252.8083333333","  22.7000","","","","","","","",
"2021/02/25 19:25'00","44252.8090277778","  22.6000","","","","","","","",
"2021/02/25 19:26'00","44252.8097222222","  22.2000","","","","","","","",
"2021/02/25 19:27'00","44252.8104166667","  21.9000","","","","","","","",
"2021/02/25 19:28'00","44252.8111111111","  21.7000","","","","","","","",
"2021/02/25 19:29'00","44252.8118055556","  21.5000","","","","","","","",
"2021/02/25 19:30'00","44252.8125000000","  21.1000","","","","","","","",
"2021/02/25 19:31'00","44252.8131944444","  20.9000","","","","","","","",
"2021/02/25 19:32'00","44252.8138888889","  20.5000","","","","","","","",
"2021/02/25 19:33'00","44252.8145833333","  20.0000","","","","","","","",
"2021/02/25 19:34'00","44252.8152777778","  19.4000","","","","","","","",
"2021/02/25 19:35'00","44252.8159722222","  18.8000","","","","","","","",
"2021/02/25 19:36'00","44252.8166666667","  18.3000","","","","","","","",
"2021/02/25 19:37'00","44252.8173611111","  18.0000","","","","","","","",
"2021/02/25 19:38'00","44252.8180555556","  18.1000","","","","","","","",
"2021/02/25 19:39'00","44252.8187500000","  18.4000","","","","","","","",
"2021/02/25 19:40'00","44252.8194444444","  18.9000","","","","","","","",
"2021/02/25 19:41'00","44252.8201388889","  19.7000","","","","","","","",
"2021/02/25 19:42'00","44252.8208333333","  20.2000","","","","","","","",
"2021/02/25 19:43'00","44252.8215277778","  20.9000","","","","","","","",
"2021/02/25 19:44'00","44252.8222222222","  21.4000","","","","","","","",
"2021/02/25 19:45'00","44252.8229166667","  21.9000","","","","","","","",
"2021/02/25 19:46'00","44252.8236111111","  22.3000","","","","","","","",
"2021/02/25 19:47'00","44252.8243055556","  22.6000","","","","","","","",
"2021/02/25 19:48'00","44252.8250000000","  22.2000","","","","","","","",
"2021/02/25 19:49'00","44252.8256944444","  21.6000","","","","","","","",
"2021/02/25 19:50'00","44252.8263888889","  20.8000","","","","","","","",
"2021/02/25 19:51'00","44252.8270833333","  19.8000","","","","","","","",
"2021/02/25 19:52'00","44252.8277777778","  19.1000","","","","","","","",
"2021/02/25 19:53'00","44252.8284722222","  18.8000","","","","","","","",
"2021/02/25 19:54'00","44252.8291666667","  18.9000","","","","","","","",
"2021/02/25 19:55'00","44252.8298611111","  18.9000","","","","","","","",
"2021/02/25 19:56'00","44252.8305555556","  19.0000","","","","","","","",
"2021/02/25 19:57'00","44252.8312500000","  19.1000","","","","","","","",
"2021/02/25 19:58'00","44252.8319444444","  18.9000","","","","","","","",
"2021/02/25 19:59'00","44252.8326388889","  18.9000","","","","","","","",
"2021/02/25 20:00'00","44252.8333333333","  18.8000","","","","","","","",
"2021/02/25 20:01'00","44252.8340277778","  18.6000","","","","","","","",
"2021/02/25 20:02'00","44252.8347222222","  18.6000","","","","","","","",
"2021/02/25 20:03'00","44252.8354166667","  18.7000","","","","","","","",
"2021/02/25 20:04'00","44252.8361111111","  18.9000","","","","","","","",
"2021/02/25 20:05'00","44252.8368055556","  19.1000","","","","","","","",
"2021/02/25 20:06'00","44252.8375000000","  19.2000","","","","","","","",
"2021/02/25 20:07'00","44252.8381944444","  19.4000","","","","","","","",
"2021/02/25 20:08'00","44252.8388888889","  19.5000","","","","","","","",
"2021/02/25 20:09'00","44252.8395833333","  19.8000","","","","","","","",
"2021/02/25 20:10'00","44252.8402777778","  20.2000","","","","","","","",
"2021/02/25 20:11'00","44252.8409722222","  20.6000","","","","","","","",
"2021/02/25 20:12'00","44252.8416666667","  21.0000","","","","","","","",
"2021/02/25 20:13'00","44252.8423611111","  21.0000","","","","","","","",
"2021/02/25 20:14'00","44252.8430555556","  21.1000","","","","","","","",
"2021/02/25 20:15'00","44252.8437500000","  21.1000","","","","","","","",
"2021/02/25 20:16'00","44252.8444444444","  21.1000","","","","","","","",
"2021/02/25 20:17'00","44252.8451388889","  20.9000","","","","","","","",
"2021/02/25 20:18'00","44252.8458333333","  20.6000","","","","","","","",
"2021/02/25 20:19'00","44252.8465277778","  20.1000","","","","","","","",
"2021/02/25 20:20'00","44252.8472222222","  19.7000","","","","","","","",
"2021/02/25 20:21'00","44252.8479166667","  19.2000","","","","","","","",
"2021/02/25 20:22'00","44252.8486111111","  18.7000","","","","","","","",
"2021/02/25 20:23'00","44252.8493055556","  18.4000","","","","","","","",
"2021/02/25 20:24'00","44252.8500000000","  18.0000","","","","","","","",
"2021/02/25 20:25'00","44252.8506944444","  17.9000","","","","","","","",
"2021/02/25 20:26'00","44252.8513888889","  17.7000","","","","","","","",
"2021/02/25 20:27'00","44252.8520833333","  17.9000","","","","","","","",
"2021/02/25 20:28'00","44252.8527777778","  18.1000","","","","","","","",
"2021/02/25 20:29'00","44252.8534722222","  18.7000","","","","","","","",
"2021/02/25 20:30'00","44252.8541666667","  19.2000","","","","","","","",
"2021/02/25 20:31'00","44252.8548611111","  19.9000","","","","","","","",
"2021/02/25 20:32'00","44252.8555555556","  20.2000","","","","","","","",
"2021/02/25 20:33'00","44252.8562500000","  20.4000","","","","","","","",
"2021/02/25 20:34'00","44252.8569444444","  20.3000","","","","","","","",
"2021/02/25 20:35'00","44252.8576388889","  20.1000","","","","","","","",
"2021/02/25 20:36'00","44252.8583333333","  19.9000","","","","","","","",
"2021/02/25 20:37'00","44252.8590277778","  20.0000","","","","","","","",
