"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/03/12 17:24'42","44267.7254861111","  18.5000","","","","","","","",
"2021/03/12 17:25'42","44267.7261805556","  18.6000","","","","","","","",
"2021/03/12 17:26'42","44267.7268750000","  18.6000","","","","","","","",
"2021/03/12 17:27'42","44267.7275694444","  18.8000","","","","","","","",
"2021/03/12 17:28'42","44267.7282638889","  19.2000","","","","","","","",
"2021/03/12 17:29'42","44267.7289583333","  19.6000","","","","","","","",
"2021/03/12 17:30'42","44267.7296527778","  19.9000","","","","","","","",
"2021/03/12 17:31'42","44267.7303472222","  20.8000","","","","","","","",
"2021/03/12 17:32'42","44267.7310416667","  21.7000","","","","","","","",
"2021/03/12 17:33'42","44267.7317361111","  22.4000","","","","","","","",
"2021/03/12 17:34'42","44267.7324305556","  23.6000","","","","","","","",
"2021/03/12 17:35'42","44267.7331250000","  23.9000","","","","","","","",
"2021/03/12 17:36'42","44267.7338194444","  23.9000","","","","","","","",
"2021/03/12 17:37'42","44267.7345138889","  24.0000","","","","","","","",
"2021/03/12 17:38'42","44267.7352083333","  24.0000","","","","","","","",
"2021/03/12 17:39'42","44267.7359027778","  23.9000","","","","","","","",
"2021/03/12 17:40'42","44267.7365972222","  23.3000","","","","","","","",
"2021/03/12 17:41'42","44267.7372916667","  23.1000","","","","","","","",
"2021/03/12 17:42'42","44267.7379861111","  22.4000","","","","","","","",
"2021/03/12 17:43'42","44267.7386805556","  21.9000","","","","","","","",
"2021/03/12 17:44'42","44267.7393750000","  21.3000","","","","","","","",
"2021/03/12 17:45'42","44267.7400694444","  20.8000","","","","","","","",
"2021/03/12 17:46'42","44267.7407638889","  20.4000","","","","","","","",
"2021/03/12 17:47'42","44267.7414583333","  19.9000","","","","","","","",
"2021/03/12 17:48'42","44267.7421527778","  19.6000","","","","","","","",
"2021/03/12 17:49'42","44267.7428472222","  19.1000","","","","","","","",
"2021/03/12 17:50'42","44267.7435416667","  18.8000","","","","","","","",
"2021/03/12 17:51'42","44267.7442361111","  18.2000","","","","","","","",
"2021/03/12 17:52'42","44267.7449305556","  17.9000","","","","","","","",
"2021/03/12 17:53'42","44267.7456250000","  17.5000","","","","","","","",
"2021/03/12 17:54'42","44267.7463194444","  17.0000","","","","","","","",
"2021/03/12 17:55'42","44267.7470138889","  17.1000","","","","","","","",
"2021/03/12 17:56'42","44267.7477083333","  17.5000","","","","","","","",
"2021/03/12 17:57'42","44267.7484027778","  18.0000","","","","","","","",
"2021/03/12 17:58'42","44267.7490972222","  18.9000","","","","","","","",
"2021/03/12 17:59'42","44267.7497916667","  20.0000","","","","","","","",
"2021/03/12 18:00'42","44267.7504861111","  21.0000","","","","","","","",
"2021/03/12 18:01'42","44267.7511805556","  21.7000","","","","","","","",
"2021/03/12 18:02'42","44267.7518750000","  22.7000","","","","","","","",
"2021/03/12 18:03'42","44267.7525694444","  23.2000","","","","","","","",
"2021/03/12 18:04'42","44267.7532638889","  24.1000","","","","","","","",
"2021/03/12 18:05'42","44267.7539583333","  24.2000","","","","","","","",
"2021/03/12 18:06'42","44267.7546527778","  24.1000","","","","","","","",
"2021/03/12 18:07'42","44267.7553472222","  24.2000","","","","","","","",
"2021/03/12 18:08'42","44267.7560416667","  24.2000","","","","","","","",
"2021/03/12 18:09'42","44267.7567361111","  24.2000","","","","","","","",
"2021/03/12 18:10'42","44267.7574305556","  24.2000","","","","","","","",
"2021/03/12 18:11'42","44267.7581250000","  23.6000","","","","","","","",
"2021/03/12 18:12'42","44267.7588194444","  23.0000","","","","","","","",
"2021/03/12 18:13'42","44267.7595138889","  22.3000","","","","","","","",
"2021/03/12 18:14'42","44267.7602083333","  21.5000","","","","","","","",
"2021/03/12 18:15'42","44267.7609027778","  20.8000","","","","","","","",
"2021/03/12 18:16'42","44267.7615972222","  20.1000","","","","","","","",
"2021/03/12 18:17'42","44267.7622916667","  19.7000","","","","","","","",
"2021/03/12 18:18'42","44267.7629861111","  19.0000","","","","","","","",
"2021/03/12 18:19'42","44267.7636805556","  18.7000","","","","","","","",
"2021/03/12 18:20'42","44267.7643750000","  18.2000","","","","","","","",
"2021/03/12 18:21'42","44267.7650694444","  18.1000","","","","","","","",
"2021/03/12 18:22'42","44267.7657638889","  17.9000","","","","","","","",
"2021/03/12 18:23'42","44267.7664583333","  17.8000","","","","","","","",
"2021/03/12 18:24'42","44267.7671527778","  18.0000","","","","","","","",
"2021/03/12 18:25'42","44267.7678472222","  17.7000","","","","","","","",
"2021/03/12 18:26'42","44267.7685416667","  17.8000","","","","","","","",
"2021/03/12 18:27'42","44267.7692361111","  17.6000","","","","","","","",
"2021/03/12 18:28'42","44267.7699305556","  17.5000","","","","","","","",
"2021/03/12 18:29'42","44267.7706250000","  17.4000","","","","","","","",
"2021/03/12 18:30'42","44267.7713194444","  17.8000","","","","","","","",
"2021/03/12 18:31'42","44267.7720138889","  18.5000","","","","","","","",
"2021/03/12 18:32'42","44267.7727083333","  19.6000","","","","","","","",
"2021/03/12 18:33'42","44267.7734027778","  20.5000","","","","","","","",
"2021/03/12 18:34'42","44267.7740972222","  21.9000","","","","","","","",
"2021/03/12 18:35'42","44267.7747916667","  22.1000","","","","","","","",
"2021/03/12 18:36'42","44267.7754861111","  21.4000","","","","","","","",
"2021/03/12 18:37'42","44267.7761805556","  20.3000","","","","","","","",
"2021/03/12 18:38'42","44267.7768750000","  19.1000","","","","","","","",
"2021/03/12 18:39'42","44267.7775694444","  18.2000","","","","","","","",
"2021/03/12 18:40'42","44267.7782638889","  19.9000","","","","","","","",
"2021/03/12 18:41'42","44267.7789583333","  22.1000","","","","","","","",
"2021/03/12 18:42'42","44267.7796527778","  22.6000","","","","","","","",
"2021/03/12 18:43'42","44267.7803472222","  22.9000","","","","","","","",
"2021/03/12 18:44'42","44267.7810416667","  23.1000","","","","","","","",
"2021/03/12 18:45'42","44267.7817361111","  23.3000","","","","","","","",
"2021/03/12 18:46'42","44267.7824305556","  23.5000","","","","","","","",
"2021/03/12 18:47'42","44267.7831250000","  23.5000","","","","","","","",
"2021/03/12 18:48'42","44267.7838194444","  24.3000","","","","","","","",
"2021/03/12 18:49'42","44267.7845138889","  24.4000","","","","","","","",
"2021/03/12 18:50'42","44267.7852083333","  24.2000","","","","","","","",
"2021/03/12 18:51'42","44267.7859027778","  23.3000","","","","","","","",
"2021/03/12 18:52'42","44267.7865972222","  22.0000","","","","","","","",
"2021/03/12 18:53'42","44267.7872916667","  20.6000","","","","","","","",
"2021/03/12 18:54'42","44267.7879861111","  19.3000","","","","","","","",
"2021/03/12 18:55'42","44267.7886805556","  18.2000","","","","","","","",
"2021/03/12 18:56'42","44267.7893750000","  18.0000","","","","","","","",
"2021/03/12 18:57'42","44267.7900694444","  18.2000","","","","","","","",
"2021/03/12 18:58'42","44267.7907638889","  18.6000","","","","","","","",
"2021/03/12 18:59'42","44267.7914583333","  19.1000","","","","","","","",
"2021/03/12 19:00'42","44267.7921527778","  19.5000","","","","","","","",
"2021/03/12 19:01'42","44267.7928472222","  19.9000","","","","","","","",
"2021/03/12 19:02'42","44267.7935416667","  20.3000","","","","","","","",
"2021/03/12 19:03'42","44267.7942361111","  20.7000","","","","","","","",
"2021/03/12 19:04'42","44267.7949305556","  21.4000","","","","","","","",
"2021/03/12 19:05'42","44267.7956250000","  22.1000","","","","","","","",
"2021/03/12 19:06'42","44267.7963194444","  22.0000","","","","","","","",
"2021/03/12 19:07'42","44267.7970138889","  22.1000","","","","","","","",
"2021/03/12 19:08'42","44267.7977083333","  22.3000","","","","","","","",
"2021/03/12 19:09'42","44267.7984027778","  22.5000","","","","","","","",
"2021/03/12 19:10'42","44267.7990972222","  22.3000","","","","","","","",
"2021/03/12 19:11'42","44267.7997916667","  21.4000","","","","","","","",
"2021/03/12 19:12'42","44267.8004861111","  20.1000","","","","","","","",
"2021/03/12 19:13'42","44267.8011805556","  18.9000","","","","","","","",
"2021/03/12 19:14'42","44267.8018750000","  17.7000","","","","","","","",
"2021/03/12 19:15'42","44267.8025694444","  16.7000","","","","","","","",
"2021/03/12 19:16'42","44267.8032638889","  16.3000","","","","","","","",
"2021/03/12 19:17'42","44267.8039583333","  16.6000","","","","","","","",
"2021/03/12 19:18'42","44267.8046527778","  17.2000","","","","","","","",
"2021/03/12 19:19'42","44267.8053472222","  18.5000","","","","","","","",
"2021/03/12 19:20'42","44267.8060416667","  19.2000","","","","","","","",
"2021/03/12 19:21'42","44267.8067361111","  19.2000","","","","","","","",
"2021/03/12 19:22'42","44267.8074305556","  19.2000","","","","","","","",
"2021/03/12 19:23'42","44267.8081250000","  18.8000","","","","","","","",
"2021/03/12 19:24'42","44267.8088194444","  18.6000","","","","","","","",
"2021/03/12 19:25'42","44267.8095138889","  18.2000","","","","","","","",
"2021/03/12 19:26'42","44267.8102083333","  18.3000","","","","","","","",
"2021/03/12 19:27'42","44267.8109027778","  18.4000","","","","","","","",
"2021/03/12 19:28'42","44267.8115972222","  18.3000","","","","","","","",
"2021/03/12 19:29'42","44267.8122916667","  18.6000","","","","","","","",
"2021/03/12 19:30'42","44267.8129861111","  19.0000","","","","","","","",
"2021/03/12 19:31'42","44267.8136805556","  19.4000","","","","","","","",
"2021/03/12 19:32'42","44267.8143750000","  19.7000","","","","","","","",
"2021/03/12 19:33'42","44267.8150694444","  20.1000","","","","","","","",
"2021/03/12 19:34'42","44267.8157638889","  20.4000","","","","","","","",
"2021/03/12 19:35'42","44267.8164583333","  20.5000","","","","","","","",
"2021/03/12 19:36'42","44267.8171527778","  20.0000","","","","","","","",
"2021/03/12 19:37'42","44267.8178472222","  19.7000","","","","","","","",
"2021/03/12 19:38'42","44267.8185416667","  19.0000","","","","","","","",
"2021/03/12 19:39'42","44267.8192361111","  18.4000","","","","","","","",
"2021/03/12 19:40'42","44267.8199305556","  18.0000","","","","","","","",
"2021/03/12 19:41'42","44267.8206250000","  17.9000","","","","","","","",
"2021/03/12 19:42'42","44267.8213194444","  18.2000","","","","","","","",
"2021/03/12 19:43'42","44267.8220138889","  18.7000","","","","","","","",
"2021/03/12 19:44'42","44267.8227083333","  19.2000","","","","","","","",
"2021/03/12 19:45'42","44267.8234027778","  19.5000","","","","","","","",
"2021/03/12 19:46'42","44267.8240972222","  19.0000","","","","","","","",
"2021/03/12 19:47'42","44267.8247916667","  18.1000","","","","","","","",
"2021/03/12 19:48'42","44267.8254861111","  17.1000","","","","","","","",
"2021/03/12 19:49'42","44267.8261805556","  16.2000","","","","","","","",
"2021/03/12 19:50'42","44267.8268750000","  16.0000","","","","","","","",
"2021/03/12 19:51'42","44267.8275694444","  17.0000","","","","","","","",
"2021/03/12 19:52'42","44267.8282638889","  18.1000","","","","","","","",
"2021/03/12 19:53'42","44267.8289583333","  19.3000","","","","","","","",
"2021/03/12 19:54'42","44267.8296527778","  21.1000","","","","","","","",
"2021/03/12 19:55'42","44267.8303472222","  21.8000","","","","","","","",
"2021/03/12 19:56'42","44267.8310416667","  21.4000","","","","","","","",
"2021/03/12 19:57'42","44267.8317361111","  20.9000","","","","","","","",
"2021/03/12 19:58'42","44267.8324305556","  20.0000","","","","","","","",
"2021/03/12 19:59'42","44267.8331250000","  18.9000","","","","","","","",
"2021/03/12 20:00'42","44267.8338194444","  18.3000","","","","","","","",
"2021/03/12 20:01'42","44267.8345138889","  18.1000","","","","","","","",
"2021/03/12 20:02'42","44267.8352083333","  17.7000","","","","","","","",
"2021/03/12 20:03'42","44267.8359027778","  17.7000","","","","","","","",
"2021/03/12 20:04'42","44267.8365972222","  17.5000","","","","","","","",
"2021/03/12 20:05'42","44267.8372916667","  17.5000","","","","","","","",
"2021/03/12 20:06'42","44267.8379861111","  17.1000","","","","","","","",
"2021/03/12 20:07'42","44267.8386805556","  17.0000","","","","","","","",
"2021/03/12 20:08'42","44267.8393750000","  16.6000","","","","","","","",
"2021/03/12 20:09'42","44267.8400694444","  16.3000","","","","","","","",
"2021/03/12 20:10'42","44267.8407638889","  16.5000","","","","","","","",
"2021/03/12 20:11'42","44267.8414583333","  16.6000","","","","","","","",
"2021/03/12 20:12'42","44267.8421527778","  16.9000","","","","","","","",
"2021/03/12 20:13'42","44267.8428472222","  17.4000","","","","","","","",
"2021/03/12 20:14'42","44267.8435416667","  18.0000","","","","","","","",
"2021/03/12 20:15'42","44267.8442361111","  18.5000","","","","","","","",
"2021/03/12 20:16'42","44267.8449305556","  19.0000","","","","","","","",
"2021/03/12 20:17'42","44267.8456250000","  19.5000","","","","","","","",
"2021/03/12 20:18'42","44267.8463194444","  19.9000","","","","","","","",
"2021/03/12 20:19'42","44267.8470138889","  20.3000","","","","","","","",
"2021/03/12 20:20'42","44267.8477083333","  20.1000","","","","","","","",
"2021/03/12 20:21'42","44267.8484027778","  19.9000","","","","","","","",
"2021/03/12 20:22'42","44267.8490972222","  19.8000","","","","","","","",
"2021/03/12 20:23'42","44267.8497916667","  19.4000","","","","","","","",
"2021/03/12 20:24'42","44267.8504861111","  19.3000","","","","","","","",
"2021/03/12 20:25'42","44267.8511805556","  19.4000","","","","","","","",
"2021/03/12 20:26'42","44267.8518750000","  20.1000","","","","","","","",
"2021/03/12 20:27'42","44267.8525694444","  21.0000","","","","","","","",
"2021/03/12 20:28'42","44267.8532638889","  21.7000","","","","","","","",
"2021/03/12 20:29'42","44267.8539583333","  22.9000","","","","","","","",
"2021/03/12 20:30'42","44267.8546527778","  23.3000","","","","","","","",
"2021/03/12 20:31'42","44267.8553472222","  23.3000","","","","","","","",
"2021/03/12 20:32'42","44267.8560416667","  23.4000","","","","","","","",
"2021/03/12 20:33'42","44267.8567361111","  23.5000","","","","","","","",
"2021/03/12 20:34'42","44267.8574305556","  23.6000","","","","","","","",
"2021/03/12 20:35'42","44267.8581250000","  23.4000","","","","","","","",
"2021/03/12 20:36'42","44267.8588194444","  22.3000","","","","","","","",
"2021/03/12 20:37'42","44267.8595138889","  21.0000","","","","","","","",
"2021/03/12 20:38'42","44267.8602083333","  19.6000","","","","","","","",
"2021/03/12 20:39'42","44267.8609027778","  18.5000","","","","","","","",
"2021/03/12 20:40'42","44267.8615972222","  17.4000","","","","","","","",
"2021/03/12 20:41'42","44267.8622916667","  16.5000","","","","","","","",
"2021/03/12 20:42'42","44267.8629861111","  16.4000","","","","","","","",
"2021/03/12 20:43'42","44267.8636805556","  16.2000","","","","","","","",
"2021/03/12 20:44'42","44267.8643750000","  16.3000","","","","","","","",
"2021/03/12 20:45'42","44267.8650694444","  16.8000","","","","","","","",
"2021/03/12 20:46'42","44267.8657638889","  17.4000","","","","","","","",
"2021/03/12 20:47'42","44267.8664583333","  18.7000","","","","","","","",
"2021/03/12 20:48'42","44267.8671527778","  19.7000","","","","","","","",
"2021/03/12 20:49'42","44267.8678472222","  21.4000","","","","","","","",
"2021/03/12 20:50'42","44267.8685416667","  22.0000","","","","","","","",
"2021/03/12 20:51'42","44267.8692361111","  23.1000","","","","","","","",
"2021/03/12 20:52'42","44267.8699305556","  23.2000","","","","","","","",
"2021/03/12 20:53'42","44267.8706250000","  24.0000","","","","","","","",
"2021/03/12 20:54'42","44267.8713194444","  23.9000","","","","","","","",
"2021/03/12 20:55'42","44267.8720138889","  23.9000","","","","","","","",
"2021/03/12 20:56'42","44267.8727083333","  23.8000","","","","","","","",
"2021/03/12 20:57'42","44267.8734027778","  23.2000","","","","","","","",
"2021/03/12 20:58'42","44267.8740972222","  22.9000","","","","","","","",
"2021/03/12 20:59'42","44267.8747916667","  22.3000","","","","","","","",
"2021/03/12 21:00'42","44267.8754861111","  21.8000","","","","","","","",
"2021/03/12 21:01'42","44267.8761805556","  21.7000","","","","","","","",
"2021/03/12 21:02'42","44267.8768750000","  21.9000","","","","","","","",
"2021/03/12 21:03'42","44267.8775694444","  22.0000","","","","","","","",
"2021/03/12 21:04'42","44267.8782638889","  22.2000","","","","","","","",
"2021/03/12 21:05'42","44267.8789583333","  22.2000","","","","","","","",
"2021/03/12 21:06'42","44267.8796527778","  21.4000","","","","","","","",
"2021/03/12 21:07'42","44267.8803472222","  20.1000","","","","","","","",
"2021/03/12 21:08'42","44267.8810416667","  18.9000","","","","","","","",
"2021/03/12 21:09'42","44267.8817361111","  17.7000","","","","","","","",
"2021/03/12 21:10'42","44267.8824305556","  17.2000","","","","","","","",
"2021/03/12 21:11'42","44267.8831250000","  17.3000","","","","","","","",
"2021/03/12 21:12'42","44267.8838194444","  18.5000","","","","","","","",
"2021/03/12 21:13'42","44267.8845138889","  19.4000","","","","","","","",
"2021/03/12 21:14'42","44267.8852083333","  21.0000","","","","","","","",
"2021/03/12 21:15'42","44267.8859027778","  21.4000","","","","","","","",
"2021/03/12 21:16'42","44267.8865972222","  21.6000","","","","","","","",
"2021/03/12 21:17'42","44267.8872916667","  21.4000","","","","","","","",
"2021/03/12 21:18'42","44267.8879861111","  21.1000","","","","","","","",
"2021/03/12 21:19'42","44267.8886805556","  20.8000","","","","","","","",
"2021/03/12 21:20'42","44267.8893750000","  19.9000","","","","","","","",
"2021/03/12 21:21'42","44267.8900694444","  19.0000","","","","","","","",
"2021/03/12 21:22'42","44267.8907638889","  18.8000","","","","","","","",
"2021/03/12 21:23'42","44267.8914583333","  18.4000","","","","","","","",
"2021/03/12 21:24'42","44267.8921527778","  18.3000","","","","","","","",
"2021/03/12 21:25'42","44267.8928472222","  18.6000","","","","","","","",
"2021/03/12 21:26'42","44267.8935416667","  19.0000","","","","","","","",
"2021/03/12 21:27'42","44267.8942361111","  19.5000","","","","","","","",
"2021/03/12 21:28'42","44267.8949305556","  20.1000","","","","","","","",
"2021/03/12 21:29'42","44267.8956250000","  21.3000","","","","","","","",
"2021/03/12 21:30'42","44267.8963194444","  21.4000","","","","","","","",
"2021/03/12 21:31'42","44267.8970138889","  21.6000","","","","","","","",
"2021/03/12 21:32'42","44267.8977083333","  21.3000","","","","","","","",
"2021/03/12 21:33'42","44267.8984027778","  21.0000","","","","","","","",
"2021/03/12 21:34'42","44267.8990972222","  20.7000","","","","","","","",
