reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,train_rmse,train_nmse,test_ridge_score,test_cor,test_r2,test_rmse,test_nmse,washout_data,learnmodel_time,testing_time,E,pred_tp,temporal_cor,temporal_r2,ridge_train_cor,ridge_train_r2,ridge_train_score,ridge_train_rmse,ridge_train_nmse,ridge_test_cor,ridge_test_r2,ridge_test_rmse,ridge_test_nmse
Tetrahymena Reservoir,30,0.6054,0.7863,0.6183,0.645462,0.389279,-0.2828,0.134,0.018,1.158289,1.220736,0,0.01,0.0,30,0,1.0,1.0,1.0,1.0,1.0,0.009362626320550816,8.190588021583189e-05,0.9999999999999996,0.9999999999999991,0.00985147640336371,8.830606766007302e-05
Tetrahymena Reservoir,30,0.5893,0.7753,0.6011,0.656252,0.403901,-0.4507,-0.0551,0.003,1.231738,1.380463,0,0.0,0.0,30,1,0.7557055469095536,0.5710908736298675,0.899198110231123,0.8085572414432227,0.899198110231123,0.44811394229877777,0.1883262627822685,0.7557055469095529,0.5710908736298665,0.6881789425690483,0.43091405745791805
Tetrahymena Reservoir,30,0.5509,0.7507,0.5635,0.700351,0.443357,-0.4373,-0.1121,0.0126,1.210679,1.376666,0,0.0,0.0,30,2,0.6286247736942558,0.3951691061021544,0.8129206462905375,0.6608399771654252,0.8129206462905375,0.6086516528797773,0.3348574300372774,0.6286247736942558,0.3951691061021544,0.815213174043308,0.6241839263163358
Tetrahymena Reservoir,30,0.5239,0.7312,0.5346,0.733623,0.471265,-0.383,-0.0634,0.004,1.172557,1.332988,0,0.0,0.0,30,3,0.5690246524134372,0.32378905505423305,0.7663958937403585,0.587362665942083,0.7663958937403585,0.6830479849237239,0.408528448267624,0.5690246524134367,0.32378905505423244,0.8557012078741016,0.7099082394501447
Tetrahymena Reservoir,30,0.4936,0.7077,0.5008,0.75777,0.500486,-0.3546,-0.0771,0.0059,1.160455,1.305614,0,0.0,0.0,30,4,0.5493425238373033,0.30177720849593814,0.6938193215329077,0.4813852509323844,0.6938193215329077,0.7668610650968131,0.5125677251260305,0.5493425238373031,0.3017772084959379,0.8597137779993532,0.7165816794768021
Tetrahymena Reservoir,30,0.5004,0.7127,0.508,0.751347,0.492414,-0.3959,-0.0975,0.0095,1.178017,1.345431,0,0.0,0.0,30,5,0.4521613763073719,0.2044499102241768,0.6065306712672867,0.36787945518794535,0.6065306712672867,0.8451710803455711,0.6230724250169681,0.4521613763073716,0.2044499102241765,0.9207939870577644,0.8220209308200791
Tetrahymena Reservoir,30,0.5089,0.7176,0.5149,0.759134,0.48575,-0.4072,-0.0421,0.0018,1.166652,1.364489,0,0.0,0.0,30,6,0.4034245082848455,0.16275133388486937,0.5303996337955985,0.28132377153050503,0.5303996337955985,0.918332233662485,0.7108463349090467,0.4034245082848453,0.1627513338848692,0.9261139192457656,0.8598371510753124
Tetrahymena Reservoir,30,0.5302,0.7316,0.5352,0.751234,0.465689,-0.3762,-0.0029,0.0,1.145149,1.340848,0,0.0,0.0,30,7,0.40555140319156047,0.16447194063064363,0.47680957711781596,0.2273473728312705,0.47680957711781596,0.9634265376394537,0.7659192778447791,0.40555140319156013,0.16447194063064338,0.9077149820335703,0.8424707589483034
Tetrahymena Reservoir,30,0.5569,0.7486,0.5604,0.7317,0.438738,-0.4188,-0.0269,0.0007,1.162737,1.382352,0,0.0,0.0,30,8,0.4290468062429136,0.18408116194724422,0.36572233732575576,0.1337528280190139,0.36572233732575576,1.0230184803067286,0.8576413910898056,0.4290468062429137,0.18408116194724433,0.8844815325924416,0.7998957104946743
Tetrahymena Reservoir,30,0.5792,0.7629,0.582,0.716239,0.416349,-0.3794,0.0059,0.0,1.146475,1.343957,0,0.0,0.0,30,9,0.3975641821097281,0.15805727889657706,0.2531478902408219,0.06408385433337921,0.2531478902408219,1.0682051436628266,0.9260856877339204,0.397564182109728,0.15805727889657697,0.9054412759539241,0.8382554890705545
Tetrahymena Reservoir,30,0.5923,0.7705,0.5936,0.715265,0.404547,-0.2743,0.1501,0.0225,1.091167,1.247521,0,0.0,0.0,30,10,0.32170336653298304,0.10349305603865483,0.21029674701532153,0.044224721805226144,0.21029674701532153,1.0951797202918854,0.9484302394125019,0.32170336653298304,0.10349305603865483,0.9222839138423193,0.8912403053002769
Tetrahymena Reservoir,30,0.64,0.8008,0.6413,0.680871,0.358123,-0.2457,0.2111,0.0446,1.069545,1.224662,0,0.0,0.0,30,11,0.26707079728987704,0.0713268107650506,0.1314836735504938,0.017287956410332827,0.1314836735504938,1.124979057447756,0.9776675077036776,0.26707079728987676,0.07132681076505044,0.9351849155110863,0.9362957200275766
