,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,Prok_Taxa00004,ecol_ts,input,narma10,0.0711,0.187,0.1768,0.1633,0.1247357,0.1118373,4,0.5,0.8,5,0.7,499,0.5,0,0.09,0.0,0.11
0,Prok_Taxa00005,ecol_ts,input,narma10,0.0698,0.0982,0.1921,0.1652,0.1472735,0.1144846,3,0.1,0.4,4,0.6,499,0.5,0,0.11,0.0,0.1
0,Prok_Taxa00006,ecol_ts,input,narma10,-0.0094,0.1541,0.1748,0.1638,0.1219229,0.1125631,4,1.5,0.5,5,0.6,499,0.5,0,0.09,0.0,0.11
0,Prok_Taxa00007,ecol_ts,input,narma10,-0.0402,0.1617,0.1756,0.1632,0.1230677,0.1116778,5,2.0,0.8,6,0.7,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00009,ecol_ts,input,narma10,-0.0495,0.1383,0.175,0.1639,0.1221805,0.1126213,8,0.5,0.3,9,0.5,499,0.5,0,0.1,0.0,0.11
0,Prok_Taxa00010,ecol_ts,input,narma10,-0.0174,0.1798,0.1757,0.1629,0.1231021,0.1112959,6,1.0,0.2,7,0.6,499,0.5,0,0.11,0.0,0.1
0,Prok_Taxa00011,ecol_ts,input,narma10,-0.0607,0.129,0.1778,0.164,0.126161,0.1127612,9,0.1,0.5,10,0.1,499,0.5,0,0.11,0.0,0.1
0,Prok_Taxa00013,ecol_ts,input,narma10,0.0991,0.1132,0.2178,0.1648,0.1892614,0.1138833,4,0.1,0.8,5,0.3,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00014,ecol_ts,input,narma10,0.0358,0.1205,0.1724,0.1648,0.1186112,0.1138471,4,0.75,0.3,5,0.4,499,0.5,0,0.11,0.0,0.08
0,Prok_Taxa00016,ecol_ts,input,narma10,0.079,0.1233,0.1851,0.1645,0.1367191,0.1134583,4,0.25,0.3,5,0.9,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00017,ecol_ts,input,narma10,0.0089,0.1086,0.1737,0.1648,0.1203412,0.1139235,3,1.0,0.4,4,0.1,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00018,ecol_ts,input,narma10,0.085,-0.0523,0.197,0.1676,0.1548665,0.1178144,2,0.25,0.5,3,0.7,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00020,ecol_ts,input,narma10,0.0307,0.102,0.179,0.1649,0.1278178,0.1140559,4,0.5,0.8,5,0.7,499,0.5,0,0.1,0.0,0.08
0,Prok_Taxa00021,ecol_ts,input,narma10,-0.0377,0.1094,0.1756,0.1646,0.123043,0.1136513,2,2.0,0.5,3,0.6,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00022,ecol_ts,input,narma10,0.0336,0.1032,0.1725,0.1647,0.1186956,0.1137072,4,1.0,0.3,5,0.7,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00023,ecol_ts,input,narma10,0.0579,0.1099,0.1781,0.1652,0.1265502,0.1144595,3,2.0,0.4,4,0.9,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00024,ecol_ts,input,narma10,-0.0132,0.1322,0.1735,0.1643,0.1201627,0.113197,3,0.75,0.4,4,0.1,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00025,ecol_ts,input,narma10,0.0394,0.074,0.1804,0.1656,0.1298236,0.1150427,3,0.25,0.4,4,0.7,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00026,ecol_ts,input,narma10,-0.0716,0.1367,0.1756,0.1641,0.1229724,0.1129282,15,1.5,0.6,16,0.6,499,0.5,0,0.11,0.0,0.09
0,Prok_Taxa00027,ecol_ts,input,narma10,0.0883,0.0899,0.1701,0.1649,0.1154663,0.1140431,10,2.0,0.1,11,0.3,499,0.5,0,0.11,0.0,0.12
0,Prok_Taxa00028,ecol_ts,input,narma10,0.1025,0.1671,0.1806,0.1651,0.130108,0.1142453,2,0.5,0.5,3,0.9,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00029,ecol_ts,input,narma10,0.0183,0.2241,0.1762,0.1615,0.1238842,0.1093737,2,1.5,0.5,3,0.7,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00031,ecol_ts,input,narma10,-0.0232,0.1623,0.1766,0.1641,0.1244363,0.112949,4,2.0,0.3,5,0.6,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00032,ecol_ts,input,narma10,-0.0243,0.1478,0.1855,0.1646,0.1373022,0.1136142,3,0.75,0.4,4,0.9,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00034,ecol_ts,input,narma10,0.0286,0.1394,0.1758,0.1646,0.1232832,0.1136038,3,0.75,0.4,4,0.4,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00035,ecol_ts,input,narma10,-0.0092,0.1285,0.1755,0.1645,0.1229036,0.11344,4,1.5,0.8,5,0.4,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00036,ecol_ts,input,narma10,-0.0107,0.0907,0.1803,0.1649,0.1297334,0.114081,2,0.25,0.5,3,0.7,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00037,ecol_ts,input,narma10,-0.0146,0.0714,0.1778,0.1653,0.1260924,0.1146235,2,0.75,0.5,3,0.8,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00038,ecol_ts,input,narma10,-0.021,0.1682,0.1879,0.1648,0.1408815,0.1139401,2,1.0,0.5,3,0.8,499,0.5,0,0.1,0.0,0.08
0,Prok_Taxa00039,ecol_ts,input,narma10,0.0607,0.0323,0.183,0.1659,0.1336523,0.1154717,2,0.1,0.5,3,0.2,499,0.5,0,0.08,0.0,0.11
0,Prok_Taxa00040,ecol_ts,input,narma10,-0.0073,0.1195,0.1755,0.1648,0.1228646,0.1138708,7,1.5,0.6,8,0.7,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00041,ecol_ts,input,narma10,0.0806,0.1792,0.1743,0.1638,0.1211784,0.1124826,4,2.0,0.5,5,0.7,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00042,ecol_ts,input,narma10,-0.0145,0.1501,0.1752,0.1642,0.1225252,0.1131189,7,1.5,0.8,8,0.5,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00043,ecol_ts,input,narma10,0.0455,-0.0289,0.2421,0.169,0.2337928,0.1197593,2,0.1,0.5,3,0.8,499,0.5,0,0.09,0.0,0.11
0,Prok_Taxa00044,ecol_ts,input,narma10,0.0089,0.0024,0.1817,0.1705,0.1317077,0.1218526,4,1.0,0.0,5,0.9,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00046,ecol_ts,input,narma10,0.102,0.1574,0.1732,0.1642,0.1197036,0.1130574,3,1.5,0.4,4,0.5,499,0.5,0,0.1,0.0,0.08
0,Prok_Taxa00049,ecol_ts,input,narma10,0.0458,0.22,0.1841,0.1622,0.1351906,0.1103665,4,0.75,0.3,5,0.9,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00050,ecol_ts,input,narma10,0.0069,0.1278,0.1732,0.1644,0.1197239,0.1133383,6,0.5,0.7,7,0.7,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00051,ecol_ts,input,narma10,0.0798,0.118,0.1927,0.1649,0.1481743,0.1140671,3,0.5,0.4,4,0.8,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00053,ecol_ts,input,narma10,0.0133,0.0495,0.1748,0.1671,0.1219696,0.1170955,2,2.0,0.0,3,0.7,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00055,ecol_ts,input,narma10,-0.0038,0.1375,0.1766,0.1656,0.1244092,0.1149616,9,1.5,0.8,10,0.7,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00056,ecol_ts,input,narma10,-0.0373,0.1589,0.1741,0.1644,0.1209195,0.1133323,6,1.0,0.7,7,0.0,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00058,ecol_ts,input,narma10,-0.0122,0.1106,0.1733,0.1647,0.1197898,0.1137234,3,0.5,0.4,4,0.1,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00059,ecol_ts,input,narma10,-0.0343,0.1234,0.1788,0.1645,0.1276138,0.1134563,5,0.5,0.6,6,0.7,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00061,ecol_ts,input,narma10,0.0631,0.0769,0.2806,0.1651,0.3141278,0.1142647,4,0.1,0.8,5,0.0,499,0.5,0,0.1,0.0,0.12
0,Prok_Taxa00062,ecol_ts,input,narma10,-0.0124,0.1902,0.1777,0.1627,0.1259308,0.1110134,12,0.75,0.7,13,0.2,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00063,ecol_ts,input,narma10,0.0662,0.1371,0.1889,0.1646,0.1422887,0.1135488,4,0.5,0.5,5,0.7,499,0.5,0,0.11,0.0,0.09
0,Prok_Taxa00064,ecol_ts,input,narma10,0.0348,0.1268,0.173,0.1646,0.11942,0.1136435,4,2.0,0.8,5,0.8,499,0.5,0,0.08,0.0,0.11
0,Prok_Taxa00065,ecol_ts,input,narma10,-0.0132,0.1359,0.1912,0.166,0.1459182,0.115503,3,1.0,0.4,4,0.9,499,0.5,0,0.1,0.0,0.08
0,Prok_Taxa00066,ecol_ts,input,narma10,0.0357,-0.1031,0.4388,0.1714,0.768109,0.1231625,2,0.1,0.5,3,0.0,499,0.5,0,0.11,0.0,0.08
0,Prok_Taxa00067,ecol_ts,input,narma10,0.0366,0.1165,0.1772,0.1657,0.1253098,0.1151954,2,1.0,0.5,3,0.9,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00068,ecol_ts,input,narma10,0.0499,0.1474,0.1724,0.1637,0.1185414,0.1123904,17,2.0,0.0,18,0.5,499,0.5,0,0.11,0.0,0.1
