,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate
0,Combined_Network_narma02,0.8437,0.8827,0.1335,0.1202,0.0536854,0.0424507,4,0.0,1,4,4,0.5,0.0,5,0.1
1,Combined_Network_narma02,0.9539,0.966,0.0507,0.0409,0.0077423,0.0049115,54,0.0,11,54,4,0.5,0.0,5,0.1
2,Combined_Network_narma02,0.9704,0.9772,0.0403,0.0334,0.0048966,0.0032813,102,0.0,21,102,4,0.5,0.0,5,0.1
3,Combined_Network_narma02,0.9716,0.9779,0.0392,0.033,0.0046374,0.0032074,133,0.01,31,133,4,0.5,0.0,5,0.1
4,Combined_Network_narma02,0.9744,0.9814,0.0372,0.0302,0.0041636,0.0026793,177,0.01,41,177,4,0.5,0.0,5,0.1
5,Combined_Network_narma02,0.9786,0.984,0.034,0.0299,0.0034751,0.002627,222,0.01,51,222,4,0.5,0.0,5,0.1
6,Combined_Network_narma02,0.9812,0.9863,0.0318,0.0285,0.0030538,0.0023825,272,0.01,61,272,4,0.5,0.0,5,0.1
7,Combined_Network_narma02,0.9825,0.9877,0.0307,0.0264,0.0028341,0.0020486,329,0.03,71,329,4,0.5,0.0,5,0.1
8,Combined_Network_narma02,0.9829,0.9886,0.0303,0.0255,0.0027728,0.0019144,370,0.02,81,370,4,0.5,0.0,5,0.1
9,Combined_Network_narma02,0.9833,0.9887,0.03,0.0256,0.0027034,0.0019238,406,0.02,91,406,4,0.5,0.0,5,0.1
10,Combined_Network_narma02,0.9845,0.9886,0.0289,0.0251,0.0025156,0.0018505,450,0.03,101,450,4,0.5,0.0,5,0.1
11,Combined_Network_narma02,0.9857,0.9895,0.0277,0.0247,0.0023087,0.0017921,518,0.02,111,518,4,0.5,0.0,5,0.1
12,Combined_Network_narma02,0.9872,0.9899,0.0262,0.024,0.0020724,0.0016878,579,0.04,121,579,4,0.5,0.0,5,0.1
13,Combined_Network_narma02,0.988,0.9904,0.0254,0.0234,0.00194,0.0016142,626,0.04,131,626,4,0.5,0.0,5,0.1
14,Combined_Network_narma02,0.9887,0.991,0.0247,0.0224,0.0018355,0.0014732,675,0.05,141,675,4,0.5,0.0,5,0.1
15,Combined_Network_narma02,0.9889,0.9911,0.0244,0.022,0.0017919,0.0014262,720,0.05,151,720,4,0.5,0.0,5,0.1
16,Combined_Network_narma02,0.9894,0.9914,0.0239,0.0218,0.0017163,0.0013992,772,0.04,161,772,4,0.5,0.0,5,0.1
17,Combined_Network_narma02,0.9897,0.9916,0.0235,0.0215,0.0016686,0.0013556,851,0.06,171,851,4,0.5,0.0,5,0.1
18,Combined_Network_narma02,0.99,0.992,0.0231,0.0209,0.0016116,0.0012821,899,0.05,181,899,4,0.5,0.0,5,0.1
19,Combined_Network_narma02,0.9904,0.9921,0.0227,0.0199,0.0015512,0.001163,980,0.07,191,980,4,0.5,0.0,5,0.1
20,Combined_Network_narma02,0.9908,0.9924,0.0222,0.0194,0.0014829,0.0011111,1047,0.09,201,1047,4,0.5,0.0,5,0.1
21,Combined_Network_narma02,0.9912,0.9929,0.0218,0.0191,0.0014309,0.0010696,1122,0.11,211,1122,4,0.5,0.0,5,0.1
22,Combined_Network_narma02,0.9915,0.9932,0.0214,0.0185,0.0013793,0.0010034,1177,0.11,221,1177,4,0.5,0.0,5,0.1
23,Combined_Network_narma02,0.9917,0.9933,0.0212,0.0183,0.0013491,0.0009874,1251,0.12,231,1251,4,0.5,0.0,5,0.1
24,Combined_Network_narma02,0.9922,0.9938,0.0204,0.0176,0.0012554,0.0009142,1331,0.14,241,1331,4,0.5,0.0,5,0.1
25,Combined_Network_narma02,0.9925,0.994,0.0201,0.0172,0.0012211,0.0008718,1401,0.14,251,1401,4,0.5,0.0,5,0.1
26,Combined_Network_narma02,0.9926,0.9942,0.0199,0.017,0.0011932,0.0008463,1462,0.15,261,1462,4,0.5,0.0,5,0.1
27,Combined_Network_narma02,0.9929,0.9944,0.0196,0.0166,0.0011521,0.0008148,1567,0.17,271,1567,4,0.5,0.0,5,0.1
28,Combined_Network_narma02,0.9932,0.9945,0.0192,0.0163,0.0011079,0.0007843,1637,0.19,281,1637,4,0.5,0.0,5,0.1
29,Combined_Network_narma02,0.9933,0.9946,0.0189,0.0161,0.0010811,0.0007664,1712,0.21,291,1712,4,0.5,0.0,5,0.1
30,Combined_Network_narma02,0.9936,0.9947,0.0186,0.0163,0.0010384,0.0007825,1766,0.26,301,1766,4,0.5,0.0,5,0.1
31,Combined_Network_narma02,0.9939,0.9949,0.0181,0.016,0.0009869,0.0007523,1829,0.25,311,1829,4,0.5,0.0,5,0.1
32,Combined_Network_narma02,0.9941,0.995,0.0179,0.0158,0.0009622,0.0007313,1909,0.29,321,1909,4,0.5,0.0,5,0.1
33,Combined_Network_narma02,0.9942,0.9951,0.0177,0.0155,0.0009391,0.000707,1978,0.28,331,1978,4,0.5,0.0,5,0.1
34,Combined_Network_narma02,0.9945,0.9954,0.0172,0.0151,0.0008913,0.0006721,2043,0.31,341,2043,4,0.5,0.0,5,0.1
35,Combined_Network_narma02,0.9947,0.9955,0.0169,0.0149,0.000864,0.0006504,2130,0.33,351,2130,4,0.5,0.0,5,0.1
36,Combined_Network_narma02,0.9948,0.9956,0.0167,0.0147,0.0008434,0.0006319,2228,0.41,361,2228,4,0.5,0.0,5,0.1
37,Combined_Network_narma02,0.9949,0.9957,0.0166,0.0145,0.0008323,0.0006175,2307,0.42,371,2307,4,0.5,0.0,5,0.1
38,Combined_Network_narma02,0.995,0.996,0.0165,0.0138,0.0008154,0.0005617,2359,0.45,381,2359,4,0.5,0.0,5,0.1
39,Combined_Network_narma02,0.9951,0.9961,0.0162,0.0136,0.0007895,0.0005415,2448,0.47,391,2448,4,0.5,0.0,5,0.1
40,Combined_Network_narma02,0.9953,0.9963,0.0159,0.0134,0.0007664,0.0005276,2508,0.49,401,2508,4,0.5,0.0,5,0.1
41,Combined_Network_narma02,0.9954,0.9964,0.0158,0.0131,0.0007498,0.0005017,2565,0.53,411,2565,4,0.5,0.0,5,0.1
42,Combined_Network_narma02,0.9955,0.9965,0.0156,0.0129,0.0007344,0.0004858,2666,0.59,421,2666,4,0.5,0.0,5,0.1
43,Combined_Network_narma02,0.9955,0.9965,0.0155,0.0129,0.000728,0.0004878,2740,0.64,431,2740,4,0.5,0.0,5,0.1
44,Combined_Network_narma02,0.9956,0.9966,0.0154,0.0127,0.0007153,0.0004766,2796,0.68,441,2796,4,0.5,0.0,5,0.1
45,Combined_Network_narma02,0.9957,0.9966,0.0152,0.0126,0.0007004,0.0004697,2879,0.69,451,2879,4,0.5,0.0,5,0.1
46,Combined_Network_narma02,0.9958,0.9968,0.0151,0.0124,0.0006837,0.0004531,2972,0.79,461,2972,4,0.5,0.0,5,0.1
