,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate
0,Combined_Network_narma05,0.0032,0.1159,0.1727,0.1629,0.1029737,0.0910495,4,0.0,1,4,4,0.5,0.8,5,0.5
1,Combined_Network_narma05,0.1673,0.3084,0.1589,0.1561,0.0871855,0.0836199,54,0.0,11,54,4,0.5,0.8,5,0.5
2,Combined_Network_narma05,0.263,0.3344,0.1549,0.1547,0.0827881,0.0821138,102,0.01,21,102,4,0.5,0.8,5,0.5
3,Combined_Network_narma05,0.2921,0.3092,0.1535,0.1547,0.0813749,0.0821084,133,0.0,31,133,4,0.5,0.8,5,0.5
4,Combined_Network_narma05,0.3657,0.3574,0.1498,0.1526,0.0775004,0.0798704,177,0.01,41,177,4,0.5,0.8,5,0.5
5,Combined_Network_narma05,0.4115,0.3686,0.1472,0.1527,0.074749,0.0799311,222,0.01,51,222,4,0.5,0.8,5,0.5
6,Combined_Network_narma05,0.4269,0.3764,0.1464,0.152,0.0739472,0.0792853,272,0.01,61,272,4,0.5,0.8,5,0.5
7,Combined_Network_narma05,0.4496,0.3833,0.145,0.1516,0.0725847,0.078796,329,0.01,71,329,4,0.5,0.8,5,0.5
8,Combined_Network_narma05,0.477,0.3929,0.1429,0.15,0.0704852,0.077142,370,0.01,81,370,4,0.5,0.8,5,0.5
9,Combined_Network_narma05,0.4936,0.3796,0.1416,0.1503,0.0691572,0.077441,406,0.02,91,406,4,0.5,0.8,5,0.5
10,Combined_Network_narma05,0.519,0.4045,0.1398,0.149,0.067484,0.076154,450,0.02,101,450,4,0.5,0.8,5,0.5
11,Combined_Network_narma05,0.5327,0.4501,0.1386,0.1465,0.0662822,0.0735776,518,0.02,111,518,4,0.5,0.8,5,0.5
12,Combined_Network_narma05,0.5505,0.4668,0.1368,0.1448,0.0645567,0.0719577,579,0.03,121,579,4,0.5,0.8,5,0.5
13,Combined_Network_narma05,0.5566,0.4619,0.1362,0.145,0.064058,0.0721011,626,0.04,131,626,4,0.5,0.8,5,0.5
14,Combined_Network_narma05,0.578,0.4704,0.1344,0.1441,0.0623295,0.0712537,675,0.03,141,675,4,0.5,0.8,5,0.5
15,Combined_Network_narma05,0.586,0.4676,0.1338,0.1444,0.0617768,0.0714793,720,0.03,151,720,4,0.5,0.8,5,0.5
16,Combined_Network_narma05,0.6073,0.4588,0.1319,0.1448,0.0600697,0.0719559,772,0.04,161,772,4,0.5,0.8,5,0.5
17,Combined_Network_narma05,0.6157,0.4745,0.1311,0.1439,0.0593293,0.0710114,851,0.04,171,851,4,0.5,0.8,5,0.5
18,Combined_Network_narma05,0.6236,0.4824,0.1304,0.1433,0.0586917,0.0704001,899,0.06,181,899,4,0.5,0.8,5,0.5
19,Combined_Network_narma05,0.6324,0.4821,0.1296,0.1432,0.057931,0.0703265,980,0.08,191,980,4,0.5,0.8,5,0.5
