,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,Prok_Taxa00535,ecol_ts,input,narma02,0.5373,0.6058,0.1422,0.1264,0.0609041,0.0470022,2,1.5,0.0,3,0.8,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00536,ecol_ts,input,narma02,0.7989,0.7706,0.099,0.0976,0.0295281,0.0280236,2,2.0,0.0,3,0.6,499,0.5,0,0.07,0.0,0.08
0,Prok_Taxa00538,ecol_ts,input,narma02,0.9311,0.9412,0.0599,0.052,0.0108242,0.0079436,9,2.0,0.6,10,0.5,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00541,ecol_ts,input,narma02,0.8193,0.8628,0.0943,0.0784,0.0267891,0.0180846,4,1.5,0.3,5,0.6,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00543,ecol_ts,input,narma02,0.9373,0.9442,0.0576,0.0521,0.0100018,0.0079798,13,2.0,0.0,14,0.4,499,0.5,0,0.11,0.0,0.13
0,Prok_Taxa00544,ecol_ts,input,narma02,0.9032,0.9224,0.0704,0.0598,0.0149407,0.0105144,7,2.0,0.2,8,0.6,499,0.5,0,0.08,0.0,0.11
0,Prok_Taxa00545,ecol_ts,input,narma02,0.881,0.893,0.0778,0.0702,0.0182464,0.0145062,6,2.0,0.0,7,0.5,499,0.5,0,0.09,0.0,0.11
0,Prok_Taxa00547,ecol_ts,input,narma02,0.7733,0.8217,0.1091,0.0896,0.0358423,0.0236066,4,1.5,0.0,5,0.5,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00548,ecol_ts,input,narma02,0.8325,0.885,0.0912,0.0713,0.025084,0.0149473,6,2.0,0.9,7,0.6,499,0.5,0,0.12,0.0,0.09
0,Prok_Taxa00551,ecol_ts,input,narma02,0.9291,0.9305,0.068,0.0601,0.0139465,0.0106211,7,0.75,0.0,8,0.6,499,0.5,0,0.3,0.0,0.09
0,Prok_Taxa00553,ecol_ts,input,narma02,0.946,0.9563,0.0561,0.0447,0.0094949,0.0058831,15,1.5,0.7,16,0.4,499,0.5,0,0.11,0.0,0.13
0,Prok_Taxa00554,ecol_ts,input,narma02,0.8303,0.863,0.0919,0.0775,0.0254452,0.0176351,3,1.0,0.4,4,0.7,499,0.5,0,0.11,0.0,0.13
0,Prok_Taxa00555,ecol_ts,input,narma02,0.8869,0.9163,0.077,0.0638,0.0178488,0.0119808,6,1.5,0.9,7,0.5,499,0.5,0,0.08,0.0,0.11
0,Prok_Taxa00556,ecol_ts,input,narma02,0.8944,0.9265,0.0749,0.0579,0.016915,0.0098597,3,1.5,0.0,4,0.7,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00562,ecol_ts,input,narma02,0.7912,0.811,0.1041,0.0922,0.0326491,0.0249772,2,2.0,0.5,3,0.5,499,0.5,0,0.11,0.0,0.08
0,Prok_Taxa00564,ecol_ts,input,narma02,0.9031,0.9316,0.0705,0.0565,0.0149708,0.0093992,7,1.0,0.6,8,0.4,499,0.5,0,0.11,0.0,0.09
0,Prok_Taxa00566,ecol_ts,input,narma02,0.8398,0.862,0.0895,0.0799,0.024145,0.0187879,4,2.0,0.3,5,0.7,499,0.5,0,0.11,0.0,0.09
0,Prok_Taxa00567,ecol_ts,input,narma02,0.8953,0.9231,0.0737,0.0611,0.0163665,0.0109643,4,2.0,0.3,5,0.7,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00568,ecol_ts,input,narma02,0.8768,0.8765,0.0819,0.0755,0.0201879,0.0167484,5,1.5,0.2,6,0.4,499,0.5,0,0.11,0.0,0.08
0,Prok_Taxa00569,ecol_ts,input,narma02,0.7645,0.917,0.1063,0.0668,0.0340537,0.0131102,8,1.0,0.8,9,0.6,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00570,ecol_ts,input,narma02,0.551,0.8284,0.1377,0.1064,0.057117,0.0332991,3,0.5,0.4,4,0.7,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00571,ecol_ts,input,narma02,0.878,0.9158,0.0788,0.062,0.0186958,0.0112835,7,2.0,0.8,8,0.5,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00573,ecol_ts,input,narma02,0.8791,0.9246,0.0782,0.0608,0.0184291,0.01087,9,1.5,0.0,10,0.4,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00574,ecol_ts,input,narma02,0.9198,0.9337,0.0654,0.0594,0.0128987,0.0103651,29,2.0,0.0,30,0.4,499,0.5,0,0.11,0.0,0.12
0,Prok_Taxa00576,ecol_ts,input,narma02,0.9538,0.9484,0.0661,0.0623,0.013167,0.0114091,13,1.5,0.7,14,0.5,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00577,ecol_ts,input,narma02,0.787,0.8357,0.1029,0.0856,0.0318731,0.0215602,4,1.5,0.0,5,0.7,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00578,ecol_ts,input,narma02,0.9429,0.9604,0.0551,0.0441,0.0091319,0.0057149,14,1.0,0.5,15,0.5,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00579,ecol_ts,input,narma02,0.9291,0.9353,0.0608,0.0552,0.01112,0.0089473,6,2.0,0.4,7,0.4,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00580,ecol_ts,input,narma02,0.8438,0.854,0.0904,0.0809,0.0246378,0.0192507,3,1.5,0.0,4,0.7,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00583,ecol_ts,input,narma02,0.9565,0.9671,0.0494,0.0407,0.0073664,0.0048691,13,1.5,0.6,14,0.4,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00584,ecol_ts,input,narma02,-0.0013,0.4338,0.2009,0.145,0.1216463,0.0618074,2,0.75,0.5,3,0.6,499,0.5,0,0.07,0.0,0.07
0,Prok_Taxa00585,ecol_ts,input,narma02,0.9534,0.9604,0.0546,0.0458,0.0089902,0.0061679,24,1.5,0.5,25,0.5,499,0.5,0,0.1,0.0,0.11
0,Prok_Taxa00587,ecol_ts,input,narma02,0.2731,0.4726,0.1756,0.1349,0.0928876,0.0534947,2,2.0,0.5,3,0.8,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00588,ecol_ts,input,narma02,0.8363,0.9124,0.0907,0.0637,0.024792,0.0119434,7,0.5,0.6,8,0.4,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00591,ecol_ts,input,narma02,-0.0471,0.328,0.3097,0.1481,0.2889443,0.0644735,2,0.5,0.5,3,0.1,499,0.5,0,0.08,0.0,0.07
0,Prok_Taxa00593,ecol_ts,input,narma02,0.9038,0.9147,0.0703,0.0631,0.0148985,0.0117161,5,0.75,0.4,6,0.5,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00594,ecol_ts,input,narma02,0.2655,0.4703,0.1718,0.1359,0.0889526,0.0542978,2,0.5,0.0,3,0.9,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00598,ecol_ts,input,narma02,0.8683,0.9183,0.0844,0.0644,0.0214789,0.0121985,9,1.5,0.6,10,0.3,499,0.5,0,0.1,0.0,0.08
0,Prok_Taxa00600,ecol_ts,input,narma02,0.3736,0.6162,0.1524,0.1316,0.0699392,0.0509065,2,2.0,0.5,3,0.7,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00601,ecol_ts,input,narma02,0.9494,0.9544,0.0566,0.0511,0.0096652,0.0076642,19,0.75,0.6,20,0.4,499,0.5,0,0.11,0.0,0.11
0,Prok_Taxa00602,ecol_ts,input,narma02,0.8944,0.9247,0.0737,0.06,0.0163728,0.0105911,5,1.5,0.4,6,0.6,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00604,ecol_ts,input,narma02,0.8985,0.9102,0.0721,0.0635,0.0156467,0.0118626,6,1.0,0.5,7,0.5,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00607,ecol_ts,input,narma02,0.5749,0.5615,0.234,0.2427,0.1650098,0.1731892,2,2.0,0.0,3,0.8,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00608,ecol_ts,input,narma02,0.708,0.8147,0.1159,0.0902,0.0404994,0.0239088,3,1.0,0.4,4,0.1,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00611,ecol_ts,input,narma02,0.5187,0.6112,0.1415,0.126,0.0603295,0.0466956,2,0.1,0.0,3,0.7,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00612,ecol_ts,input,narma02,0.8965,0.9265,0.0729,0.0592,0.016009,0.0103161,8,1.5,0.7,9,0.6,499,0.5,0,0.1,0.0,0.12
0,Prok_Taxa00613,ecol_ts,input,narma02,0.8447,0.9197,0.0879,0.0618,0.0232742,0.0112208,6,0.75,0.7,7,0.4,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00614,ecol_ts,input,narma02,0.9335,0.9436,0.0597,0.053,0.0107248,0.0082675,11,2.0,0.1,12,0.5,499,0.5,0,0.09,0.0,0.11
0,Prok_Taxa00618,ecol_ts,input,narma02,0.9141,0.9388,0.0674,0.0568,0.0136664,0.0094791,8,2.0,0.9,9,0.4,499,0.5,0,0.09,0.0,0.12
0,Prok_Taxa00620,ecol_ts,input,narma02,0.8751,0.8863,0.0825,0.0724,0.0204867,0.0153963,5,1.0,0.4,6,0.6,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00621,ecol_ts,input,narma02,0.9353,0.9512,0.059,0.0486,0.0104888,0.0069549,13,1.5,0.4,14,0.5,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00623,ecol_ts,input,narma02,0.8358,0.8493,0.0911,0.0809,0.0250028,0.0192451,4,1.5,0.0,5,0.3,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00627,ecol_ts,input,narma02,0.9584,0.9659,0.0477,0.0404,0.0068518,0.0048097,21,2.0,0.1,22,0.4,499,0.5,0,0.12,0.0,0.11
0,Prok_Taxa00628,ecol_ts,input,narma02,0.9077,0.9309,0.07,0.0565,0.0147761,0.0093877,6,1.5,0.9,7,0.5,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00630,ecol_ts,input,narma02,0.6508,0.7989,0.1289,0.0924,0.050095,0.0250884,4,1.5,0.3,5,0.7,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00631,ecol_ts,input,narma02,0.6771,0.7335,0.1248,0.107,0.0469072,0.0336825,2,2.0,0.5,3,0.5,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00632,ecol_ts,input,narma02,0.6543,0.8117,0.128,0.0916,0.0493369,0.0246688,3,1.0,0.4,4,0.6,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00633,ecol_ts,input,narma02,0.8454,0.9283,0.0877,0.0598,0.0231861,0.0105251,11,1.5,0.7,12,0.3,499,0.5,0,0.1,0.0,0.08
