,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate
0,Combined_Network_narma10,0.0709,0.1598,0.179,0.1633,0.1277769,0.1118434,4,0.0,1,4,4,0.5,0.8,5,0.7
1,Combined_Network_narma10,0.0652,0.2413,0.1715,0.1634,0.1173249,0.1119814,54,0.0,11,54,4,0.5,0.8,5,0.7
2,Combined_Network_narma10,0.1642,0.1388,0.1672,0.1641,0.1115041,0.1129208,102,0.0,21,102,4,0.5,0.8,5,0.7
3,Combined_Network_narma10,0.1957,0.1678,0.1658,0.1635,0.1097318,0.1120544,133,0.01,31,133,4,0.5,0.8,5,0.7
4,Combined_Network_narma10,0.2375,0.1625,0.1641,0.1635,0.1074875,0.1120981,177,0.01,41,177,4,0.5,0.8,5,0.7
5,Combined_Network_narma10,0.2601,0.1489,0.1632,0.1645,0.1062247,0.1134238,222,0.02,51,222,4,0.5,0.8,5,0.7
6,Combined_Network_narma10,0.3007,0.1473,0.1613,0.1647,0.1038403,0.1136922,272,0.02,61,272,4,0.5,0.8,5,0.7
7,Combined_Network_narma10,0.357,0.1152,0.1585,0.1654,0.1002797,0.1147323,329,0.02,71,329,4,0.5,0.8,5,0.7
8,Combined_Network_narma10,0.3793,0.1402,0.1573,0.165,0.0987145,0.1142176,370,0.03,81,370,4,0.5,0.8,5,0.7
9,Combined_Network_narma10,0.3914,0.1282,0.1566,0.1654,0.0977969,0.1146543,406,0.07,91,406,4,0.5,0.8,5,0.7
10,Combined_Network_narma10,0.4091,0.1188,0.1556,0.1657,0.0965938,0.1151534,450,0.11,101,450,4,0.5,0.8,5,0.7
11,Combined_Network_narma10,0.4332,0.1408,0.1544,0.1648,0.0950516,0.1138923,518,0.07,111,518,4,0.5,0.8,5,0.7
12,Combined_Network_narma10,0.4666,0.1529,0.1521,0.1648,0.09232,0.113825,579,0.06,121,579,4,0.5,0.8,5,0.7
13,Combined_Network_narma10,0.4736,0.1567,0.1516,0.1645,0.0916999,0.113498,626,0.07,131,626,4,0.5,0.8,5,0.7
14,Combined_Network_narma10,0.4981,0.1566,0.15,0.165,0.0897597,0.1142112,675,0.04,141,675,4,0.5,0.8,5,0.7
15,Combined_Network_narma10,0.5046,0.1604,0.1496,0.1651,0.0892671,0.1142505,720,0.04,151,720,4,0.5,0.8,5,0.7
16,Combined_Network_narma10,0.52,0.1744,0.1485,0.1647,0.0880061,0.1138063,772,0.07,161,772,4,0.5,0.8,5,0.7
17,Combined_Network_narma10,0.5413,0.2049,0.1465,0.1644,0.0856338,0.1133483,851,0.05,171,851,4,0.5,0.8,5,0.7
18,Combined_Network_narma10,0.5549,0.2381,0.1449,0.163,0.0837827,0.111413,899,0.05,181,899,4,0.5,0.8,5,0.7
19,Combined_Network_narma10,0.5597,0.2391,0.1437,0.163,0.0824133,0.1113973,980,0.07,191,980,4,0.5,0.8,5,0.7
20,Combined_Network_narma10,0.5688,0.2487,0.1426,0.1624,0.0811771,0.1106376,1047,0.08,201,1047,4,0.5,0.8,5,0.7
21,Combined_Network_narma10,0.5773,0.2417,0.1418,0.1632,0.0802592,0.1116713,1122,0.21,211,1122,4,0.5,0.8,5,0.7
22,Combined_Network_narma10,0.5803,0.2453,0.1415,0.1631,0.0799197,0.1115526,1177,0.1,221,1177,4,0.5,0.8,5,0.7
23,Combined_Network_narma10,0.5973,0.3011,0.1398,0.158,0.0779216,0.1046518,1251,0.12,231,1251,4,0.5,0.8,5,0.7
24,Combined_Network_narma10,0.6015,0.2946,0.1393,0.1585,0.0774288,0.1053165,1331,0.12,241,1331,4,0.5,0.8,5,0.7
25,Combined_Network_narma10,0.6107,0.2798,0.1382,0.1596,0.0761512,0.1068429,1401,0.16,251,1401,4,0.5,0.8,5,0.7
26,Combined_Network_narma10,0.6159,0.2789,0.1375,0.1597,0.0754655,0.1068829,1462,0.15,261,1462,4,0.5,0.8,5,0.7
27,Combined_Network_narma10,0.6278,0.2787,0.1361,0.1602,0.0738465,0.1076713,1567,0.19,271,1567,4,0.5,0.8,5,0.7
28,Combined_Network_narma10,0.6459,0.2948,0.134,0.1592,0.0716435,0.1063244,1637,0.24,281,1637,4,0.5,0.8,5,0.7
29,Combined_Network_narma10,0.6533,0.3013,0.1329,0.1589,0.0704766,0.1058537,1712,0.24,291,1712,4,0.5,0.8,5,0.7
30,Combined_Network_narma10,0.6546,0.3024,0.1327,0.1588,0.070248,0.1057571,1766,0.27,301,1766,4,0.5,0.8,5,0.7
31,Combined_Network_narma10,0.6573,0.3014,0.1323,0.159,0.0698106,0.1059848,1829,0.33,311,1829,4,0.5,0.8,5,0.7
32,Combined_Network_narma10,0.6702,0.3037,0.1307,0.1592,0.0681138,0.1062874,1909,0.3,321,1909,4,0.5,0.8,5,0.7
33,Combined_Network_narma10,0.6769,0.3059,0.1298,0.159,0.0672359,0.1060269,1978,0.32,331,1978,4,0.5,0.8,5,0.7
34,Combined_Network_narma10,0.6843,0.3165,0.129,0.1581,0.0663461,0.1048059,2043,0.33,341,2043,4,0.5,0.8,5,0.7
35,Combined_Network_narma10,0.6913,0.3166,0.1278,0.1582,0.0651568,0.1049098,2130,0.4,351,2130,4,0.5,0.8,5,0.7
36,Combined_Network_narma10,0.697,0.3072,0.1269,0.159,0.0642448,0.1059587,2228,0.45,361,2228,4,0.5,0.8,5,0.7
37,Combined_Network_narma10,0.7002,0.3138,0.1264,0.1589,0.063719,0.105934,2307,0.43,371,2307,4,0.5,0.8,5,0.7
38,Combined_Network_narma10,0.7072,0.3133,0.1255,0.159,0.062868,0.1059942,2359,0.49,381,2359,4,0.5,0.8,5,0.7
39,Combined_Network_narma10,0.7099,0.3139,0.1251,0.1589,0.0624674,0.1058604,2448,0.5,391,2448,4,0.5,0.8,5,0.7
40,Combined_Network_narma10,0.7165,0.3146,0.1242,0.1587,0.0615271,0.1056702,2508,0.55,401,2508,4,0.5,0.8,5,0.7
41,Combined_Network_narma10,0.7191,0.3148,0.1238,0.1589,0.0611426,0.1058294,2565,0.58,411,2565,4,0.5,0.8,5,0.7
42,Combined_Network_narma10,0.7212,0.3212,0.1234,0.1584,0.0607936,0.1051781,2666,0.6,421,2666,4,0.5,0.8,5,0.7
43,Combined_Network_narma10,0.7311,0.3225,0.1217,0.1581,0.0591267,0.1048344,2740,0.62,431,2740,4,0.5,0.8,5,0.7
44,Combined_Network_narma10,0.7319,0.3225,0.1216,0.1581,0.0590005,0.1048386,2796,0.76,441,2796,4,0.5,0.8,5,0.7
45,Combined_Network_narma10,0.7344,0.3279,0.1211,0.1575,0.0585192,0.1039674,2879,0.74,451,2879,4,0.5,0.8,5,0.7
46,Combined_Network_narma10,0.7369,0.3265,0.1207,0.1576,0.0581609,0.1041274,2972,0.87,461,2972,4,0.5,0.8,5,0.7
47,Combined_Network_narma10,0.7386,0.3262,0.1204,0.1572,0.057847,0.1035869,3040,0.85,471,3040,4,0.5,0.8,5,0.7
48,Combined_Network_narma10,0.7393,0.3267,0.1203,0.1572,0.0577227,0.1035573,3126,0.91,481,3126,4,0.5,0.8,5,0.7
49,Combined_Network_narma10,0.7434,0.3127,0.1193,0.1581,0.0568214,0.1048364,3196,0.95,491,3196,4,0.5,0.8,5,0.7
50,Combined_Network_narma10,0.7447,0.3126,0.1191,0.1581,0.0566374,0.1048634,3271,1.05,500,3271,4,0.5,0.8,5,0.7
