2021-04-15_17-02-13.jpg; date_time: 2021-04-15 17:02:13; grid_n: 1; count: 7; total_area: 1479; mean_area: 211.29; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-03-13.jpg; date_time: 2021-04-15 17:03:13; grid_n: 1; count: 7; total_area: 1767; mean_area: 252.43; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-04-13.jpg; date_time: 2021-04-15 17:04:13; grid_n: 1; count: 9; total_area: 1847; mean_area: 205.22; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-05-13.jpg; date_time: 2021-04-15 17:05:13; grid_n: 1; count: 8; total_area: 1494; mean_area: 186.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-06-13.jpg; date_time: 2021-04-15 17:06:13; grid_n: 1; count: 8; total_area: 1637; mean_area: 204.62; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-07-13.jpg; date_time: 2021-04-15 17:07:13; grid_n: 1; count: 11; total_area: 2352; mean_area: 213.82; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-08-13.jpg; date_time: 2021-04-15 17:08:13; grid_n: 1; count: 14; total_area: 2799; mean_area: 199.93; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-09-13.jpg; date_time: 2021-04-15 17:09:13; grid_n: 1; count: 13; total_area: 3069; mean_area: 236.08; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-10-13.jpg; date_time: 2021-04-15 17:10:13; grid_n: 1; count: 13; total_area: 2696; mean_area: 207.38; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-11-13.jpg; date_time: 2021-04-15 17:11:13; grid_n: 1; count: 10; total_area: 2028; mean_area: 202.8; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-12-13.jpg; date_time: 2021-04-15 17:12:13; grid_n: 1; count: 11; total_area: 2366; mean_area: 215.09; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-13-13.jpg; date_time: 2021-04-15 17:13:13; grid_n: 1; count: 13; total_area: 2619; mean_area: 201.46; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-14-13.jpg; date_time: 2021-04-15 17:14:13; grid_n: 1; count: 13; total_area: 2871; mean_area: 220.85; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-15-13.jpg; date_time: 2021-04-15 17:15:13; grid_n: 1; count: 13; total_area: 2587; mean_area: 199; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-16-13.jpg; date_time: 2021-04-15 17:16:13; grid_n: 1; count: 14; total_area: 3158; mean_area: 225.57; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-17-13.jpg; date_time: 2021-04-15 17:17:13; grid_n: 1; count: 11; total_area: 2253; mean_area: 204.82; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-18-13.jpg; date_time: 2021-04-15 17:18:13; grid_n: 1; count: 12; total_area: 2403; mean_area: 200.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-19-13.jpg; date_time: 2021-04-15 17:19:13; grid_n: 1; count: 10; total_area: 2000; mean_area: 200; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-20-13.jpg; date_time: 2021-04-15 17:20:13; grid_n: 1; count: 12; total_area: 2456; mean_area: 204.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-21-13.jpg; date_time: 2021-04-15 17:21:13; grid_n: 1; count: 10; total_area: 2016; mean_area: 201.6; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_17-22-13.jpg; date_time: 2021-04-15 17:22:13; grid_n: 1; count: 11; total_area: 2243; mean_area: 203.91; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
