2021-04-01_14-20-09.jpg; date_time: 2021-04-01 14:20:09; grid_n: 1; count: 10; total_area: 2552; mean_area: 255.2; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-21-09.jpg; date_time: 2021-04-01 14:21:09; grid_n: 1; count: 11; total_area: 2837; mean_area: 257.91; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-22-09.jpg; date_time: 2021-04-01 14:22:09; grid_n: 1; count: 9; total_area: 2185; mean_area: 242.78; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-23-09.jpg; date_time: 2021-04-01 14:23:09; grid_n: 1; count: 9; total_area: 2486; mean_area: 276.22; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-24-09.jpg; date_time: 2021-04-01 14:24:09; grid_n: 1; count: 9; total_area: 2086; mean_area: 231.78; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-25-09.jpg; date_time: 2021-04-01 14:25:09; grid_n: 1; count: 6; total_area: 1282; mean_area: 213.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-26-09.jpg; date_time: 2021-04-01 14:26:09; grid_n: 1; count: 8; total_area: 1754; mean_area: 219.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-27-09.jpg; date_time: 2021-04-01 14:27:09; grid_n: 1; count: 6; total_area: 1410; mean_area: 235; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-28-09.jpg; date_time: 2021-04-01 14:28:09; grid_n: 1; count: 4; total_area: 965; mean_area: 241.25; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-29-09.jpg; date_time: 2021-04-01 14:29:09; grid_n: 1; count: 6; total_area: 1536; mean_area: 256; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-30-09.jpg; date_time: 2021-04-01 14:30:09; grid_n: 1; count: 7; total_area: 1684; mean_area: 240.57; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-31-09.jpg; date_time: 2021-04-01 14:31:09; grid_n: 1; count: 3; total_area: 696; mean_area: 232; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-32-09.jpg; date_time: 2021-04-01 14:32:09; grid_n: 1; count: 4; total_area: 934; mean_area: 233.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-33-09.jpg; date_time: 2021-04-01 14:33:09; grid_n: 1; count: 3; total_area: 695; mean_area: 231.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-34-09.jpg; date_time: 2021-04-01 14:34:09; grid_n: 1; count: 3; total_area: 691; mean_area: 230.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-35-09.jpg; date_time: 2021-04-01 14:35:09; grid_n: 1; count: 3; total_area: 718; mean_area: 239.33; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-36-09.jpg; date_time: 2021-04-01 14:36:09; grid_n: 1; count: 3; total_area: 749; mean_area: 249.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-01_14-37-09.jpg; date_time: 2021-04-01 14:37:09; grid_n: 1; count: 3; total_area: 723; mean_area: 241; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
