"time","value_original","value","time_duration"
81,-9.68160698,12,0.05
82,-11.62948658,11,0.05
83,-9.673229937,12,0.05
84,-6.377681045,13.6,0.05
85,-4.979905161,14.3,0.05
86,-5.700322709,13.9,0.05
87,-8.201030233,12.7,0.05
88,-11.31045795,11.2,0.05
89,-11.26202873,11.2,0.05
90,-7.659226897,13,0.05
91,-5.030890397,14.3,0.05
92,-4.760907898,14.4,0.05
93,-6.481371994,13.5,0.05
94,-9.823885926,11.9,0.05
95,-12.24088342,10.7,0.05
96,-9.801088759,11.9,0.05
97,-5.850803148,13.9,0.05
98,-4.22116,14.7,0.05
99,-4.857823168,14.3,0.05
100,-7.443560867,13.1,0.05
101,-11.33017409,11.2,0.05
102,-12.26467616,10.7,0.05
103,-8.062115156,12.8,0.05
104,-4.504872302,14.5,0.05
105,-3.676672437,14.9,0.05
106,-4.926988516,14.3,0.05
107,-8.193515798,12.7,0.05
108,-12.42890553,10.6,0.05
109,-11.93090098,10.9,0.05
110,-6.706809846,13.4,0.05
111,-3.493226652,15,0.05
112,-3.031119089,15.2,0.05
113,-4.459761166,14.5,0.05
114,-8.002605541,12.8,0.05
115,-12.91523023,10.4,0.05
116,-12.42253862,10.6,0.05
117,-6.303389812,13.6,0.05
118,-2.670273093,15.4,0.05
119,-1.922771563,15.8,0.05
120,-2.766318403,15.4,0.05
121,-5.339086478,14.1,0.05
122,-10.59189706,11.5,0.05
123,-14.93434286,9.4,0.05
124,-9.461630979,12.1,0.05
125,-2.950413931,15.3,0.05
126,-0.492236061,16.5,0.05
127,0.191180465,16.8,0.05
128,0.581133183,17,0.05
129,1.32218557,17.4,0.05
130,3.217677262,18.3,0.05
131,8.022513686,20.7,0.05
132,16.00372276,24.6,0.05
133,13.0149863,23.1,0.05
134,2.674954338,18,0.05
135,-1.926615444,15.8,0.05
136,-4.060168734,14.7,0.05
137,-6.792739441,13.4,0.05
138,-10.87016707,11.4,0.05
139,-12.71104191,10.5,0.05
140,-8.727620325,12.4,0.05
141,-4.632715649,14.5,0.05
142,-3.384961445,15.1,0.05
143,-4.281704985,14.6,0.05
144,-7.174143558,13.2,0.05
145,-11.75311351,11,0.05
146,-12.94375535,10.4,0.05
147,-7.774372438,12.9,0.05
148,-3.645433472,14.9,0.05
149,-2.569829716,15.5,0.05
150,-3.421168817,15.1,0.05
151,-6.170049425,13.7,0.05
152,-11.2456261,11.2,0.05
153,-14.10100799,9.8,0.05
154,-8.583807001,12.5,0.05
155,-3.219269202,15.1,0.05
156,-1.41123789,16,0.05
157,-1.412844011,16,0.05
158,-2.520407893,15.5,0.05
159,-5.407530639,14.1,0.05
160,-11.39437093,11.1,0.05
161,-15.63070565,9.1,0.05
162,-8.397956973,12.6,0.05
163,-1.642735655,15.9,0.05
164,0.831681781,17.1,0.05
165,2.106496911,17.8,0.05
166,4.14248402,18.8,0.05
