,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,x,logis_ts,x,lorenz,0.9227,0.9238,0.0881,0.0868,0.0234,0.0244,10,2,0.1,2,0,720,0.2,36,0.38,0.0,0.11
1,x,logis_ts,x,lorenz,0.8935,0.8877,0.1027,0.1043,0.0319,0.0353,20,2,0.1,2,0,720,0.2,36,0.42,0.0,0.11
2,x,logis_ts,x,lorenz,0.8647,0.8567,0.1147,0.1168,0.0397,0.0443,30,2,0.1,2,0,720,0.2,36,0.45,0.0,0.14
3,x,logis_ts,x,lorenz,0.9165,0.9182,0.0914,0.0897,0.0252,0.0261,40,2,0.1,2,0,720,0.2,36,0.59,0.0,0.15
4,x,logis_ts,x,lorenz,0.8674,0.8562,0.1137,0.1171,0.039,0.0445,50,2,0.1,2,0,720,0.2,36,0.61,0.0,0.14
5,x,logis_ts,x,lorenz,0.9135,0.9148,0.0929,0.0914,0.0261,0.0271,60,2,0.1,2,0,720,0.2,36,0.67,0.0,0.17
6,x,logis_ts,x,lorenz,0.9035,0.9051,0.0979,0.0963,0.0289,0.0301,70,2,0.1,2,0,720,0.2,36,0.73,0.0,0.19
7,x,logis_ts,x,lorenz,0.8829,0.8842,0.1073,0.1058,0.0347,0.0363,80,2,0.1,2,0,720,0.2,36,0.86,0.0,0.18
8,x,logis_ts,x,lorenz,0.9143,0.9178,0.0926,0.0899,0.0259,0.0262,90,2,0.1,2,0,720,0.2,36,0.92,0.0,0.24
9,x,logis_ts,x,lorenz,0.8842,0.8825,0.1067,0.1065,0.0344,0.0368,100,2,0.1,2,0,720,0.2,36,1.11,0.0,0.24
10,x,logis_ts,x,lorenz,0.905,0.909,0.0972,0.0945,0.0285,0.0289,200,2,0.1,2,0,720,0.2,36,2.18,0.01,0.48
11,x,logis_ts,x,lorenz,0.9269,0.9307,0.0858,0.0828,0.0222,0.0223,300,2,0.1,2,0,720,0.2,36,3.26,0.02,0.77
12,x,logis_ts,x,lorenz,0.8802,0.8748,0.1085,0.1097,0.0355,0.0391,400,2,0.1,2,0,720,0.2,36,4.25,0.04,1.04
13,x,logis_ts,x,lorenz,0.8675,0.8563,0.1137,0.117,0.039,0.0444,500,2,0.1,2,0,720,0.2,36,5.39,0.06,1.29
14,x,logis_ts,x,lorenz,0.9227,0.9241,0.0881,0.0866,0.0234,0.0243,10,2,0.1,3,0,720,0.2,36,0.37,0.0,0.12
15,x,logis_ts,x,lorenz,0.8935,0.8873,0.1027,0.1045,0.0318,0.0354,20,2,0.1,3,0,720,0.2,36,0.42,0.0,0.1
16,x,logis_ts,x,lorenz,0.864,0.8552,0.115,0.1173,0.0399,0.0447,30,2,0.1,3,0,720,0.2,36,0.49,0.0,0.13
17,x,logis_ts,x,lorenz,0.9175,0.9207,0.0909,0.0884,0.0249,0.0254,40,2,0.1,3,0,720,0.2,36,0.58,0.0,0.12
18,x,logis_ts,x,lorenz,0.8672,0.8562,0.1137,0.1171,0.039,0.0445,50,2,0.1,3,0,720,0.2,36,0.61,0.0,0.14
19,x,logis_ts,x,lorenz,0.9143,0.9204,0.0925,0.0886,0.0258,0.0255,60,2,0.1,3,0,720,0.2,36,0.69,0.0,0.15
20,x,logis_ts,x,lorenz,0.9039,0.9108,0.0977,0.0936,0.0288,0.0284,70,2,0.1,3,0,720,0.2,36,0.76,0.0,0.19
21,x,logis_ts,x,lorenz,0.8825,0.8822,0.1075,0.1066,0.0348,0.0369,80,2,0.1,3,0,720,0.2,36,0.88,0.0,0.2
22,x,logis_ts,x,lorenz,0.9146,0.9196,0.0924,0.089,0.0257,0.0257,90,2,0.1,3,0,720,0.2,36,0.89,0.0,0.21
23,x,logis_ts,x,lorenz,0.8821,0.8808,0.1076,0.1072,0.035,0.0373,100,2,0.1,3,0,720,0.2,36,1.05,0.01,0.23
24,x,logis_ts,x,lorenz,0.9051,0.9062,0.0972,0.0958,0.0285,0.0298,200,2,0.1,3,0,720,0.2,36,2.22,0.01,0.52
25,x,logis_ts,x,lorenz,0.9286,0.9295,0.0848,0.0836,0.0217,0.0227,300,2,0.1,3,0,720,0.2,36,3.21,0.02,0.8
26,x,logis_ts,x,lorenz,0.8782,0.8737,0.1093,0.1102,0.0361,0.0394,400,2,0.1,3,0,720,0.2,36,4.29,0.04,1.02
27,x,logis_ts,x,lorenz,0.8668,0.8556,0.1139,0.1173,0.0392,0.0446,500,2,0.1,3,0,720,0.2,36,5.33,0.06,1.32
28,x,logis_ts,x,lorenz,0.9242,0.9262,0.0873,0.0855,0.023,0.0237,10,2,0.1,4,0,720,0.2,36,0.38,0.0,0.11
29,x,logis_ts,x,lorenz,0.8936,0.888,0.1027,0.1042,0.0318,0.0352,20,2,0.1,4,0,720,0.2,36,0.41,0.0,0.11
30,x,logis_ts,x,lorenz,0.8639,0.8546,0.1151,0.1176,0.04,0.0449,30,2,0.1,4,0,720,0.2,36,0.44,0.0,0.13
31,x,logis_ts,x,lorenz,0.9175,0.9188,0.0909,0.0894,0.0249,0.0259,40,2,0.1,4,0,720,0.2,36,0.58,0.0,0.15
32,x,logis_ts,x,lorenz,0.8661,0.8557,0.1142,0.1173,0.0394,0.0446,50,2,0.1,4,0,720,0.2,36,0.56,0.0,0.14
33,x,logis_ts,x,lorenz,0.9134,0.9169,0.093,0.0904,0.0261,0.0265,60,2,0.1,4,0,720,0.2,36,0.67,0.0,0.18
34,x,logis_ts,x,lorenz,0.9034,0.9079,0.098,0.095,0.029,0.0293,70,2,0.1,4,0,720,0.2,36,0.74,0.0,0.17
35,x,logis_ts,x,lorenz,0.8828,0.8835,0.1073,0.1061,0.0347,0.0365,80,2,0.1,4,0,720,0.2,36,0.86,0.0,0.2
36,x,logis_ts,x,lorenz,0.915,0.9175,0.0922,0.0901,0.0256,0.0263,90,2,0.1,4,0,720,0.2,36,0.9,0.01,0.22
37,x,logis_ts,x,lorenz,0.8839,0.8831,0.1068,0.1063,0.0345,0.0366,100,2,0.1,4,0,720,0.2,36,0.94,0.0,0.28
38,x,logis_ts,x,lorenz,0.9058,0.91,0.0968,0.094,0.0283,0.0287,200,2,0.1,4,0,720,0.2,36,2.21,0.01,0.48
39,x,logis_ts,x,lorenz,0.928,0.9291,0.0851,0.0837,0.0219,0.0228,300,2,0.1,4,0,720,0.2,36,3.15,0.02,0.78
40,x,logis_ts,x,lorenz,0.8801,0.8747,0.1085,0.1097,0.0355,0.0391,400,2,0.1,4,0,720,0.2,36,4.24,0.04,1.03
41,x,logis_ts,x,lorenz,0.8662,0.8552,0.1142,0.1175,0.0393,0.0448,500,2,0.1,4,0,720,0.2,36,5.27,0.05,1.33
42,x,logis_ts,x,lorenz,0.9232,0.9243,0.0878,0.0865,0.0233,0.0243,10,2,0.1,5,0,720,0.2,36,0.39,0.0,0.08
43,x,logis_ts,x,lorenz,0.8936,0.8869,0.1027,0.1046,0.0318,0.0355,20,2,0.1,5,0,720,0.2,36,0.42,0.0,0.1
44,x,logis_ts,x,lorenz,0.8646,0.8555,0.1148,0.1172,0.0398,0.0446,30,2,0.1,5,0,720,0.2,36,0.47,0.0,0.12
45,x,logis_ts,x,lorenz,0.9178,0.9198,0.0907,0.0889,0.0248,0.0256,40,2,0.1,5,0,720,0.2,36,0.51,0.0,0.12
46,x,logis_ts,x,lorenz,0.8655,0.8548,0.1144,0.1176,0.0395,0.0449,50,2,0.1,5,0,720,0.2,36,0.61,0.0,0.13
47,x,logis_ts,x,lorenz,0.9145,0.9169,0.0924,0.0904,0.0258,0.0265,60,2,0.1,5,0,720,0.2,36,0.67,0.0,0.16
48,x,logis_ts,x,lorenz,0.9049,0.9112,0.0972,0.0933,0.0285,0.0283,70,2,0.1,5,0,720,0.2,36,0.79,0.0,0.17
49,x,logis_ts,x,lorenz,0.8812,0.8811,0.108,0.1071,0.0352,0.0372,80,2,0.1,5,0,720,0.2,36,0.85,0.0,0.22
50,x,logis_ts,x,lorenz,0.9159,0.9195,0.0917,0.089,0.0254,0.0257,90,2,0.1,5,0,720,0.2,36,0.86,0.0,0.25
51,x,logis_ts,x,lorenz,0.8833,0.8819,0.1071,0.1068,0.0346,0.037,100,2,0.1,5,0,720,0.2,36,0.98,0.0,0.26
52,x,logis_ts,x,lorenz,0.9054,0.9067,0.097,0.0956,0.0284,0.0296,200,2,0.1,5,0,720,0.2,36,2.14,0.01,0.54
53,x,logis_ts,x,lorenz,0.9281,0.9292,0.0851,0.0837,0.0218,0.0227,300,2,0.1,5,0,720,0.2,36,3.2,0.02,0.79
54,x,logis_ts,x,lorenz,0.8802,0.8747,0.1084,0.1098,0.0355,0.0391,400,2,0.1,5,0,720,0.2,36,4.3,0.04,1.05
55,x,logis_ts,x,lorenz,0.8657,0.8544,0.1144,0.1178,0.0395,0.045,500,2,0.1,5,0,720,0.2,36,5.34,0.05,1.31
56,x,logis_ts,x,lorenz,0.9235,0.9253,0.0877,0.0859,0.0232,0.024,10,2,0.1,6,0,720,0.2,36,0.4,0.0,0.07
57,x,logis_ts,x,lorenz,0.8936,0.8876,0.1027,0.1044,0.0318,0.0353,20,2,0.1,6,0,720,0.2,36,0.43,0.0,0.09
58,x,logis_ts,x,lorenz,0.8643,0.8542,0.1149,0.1176,0.0399,0.0449,30,2,0.1,6,0,720,0.2,36,0.51,0.0,0.11
