,network,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,ESN: narma10,0.2998,-0.1277,0.1605,0.1804,0.1022281,0.1366449,1000,0.1,0,0.95,0,0,999,0.5,24,2.12,0.29,2.03
1,ESN: narma10,0.2886,-0.1324,0.1612,0.1814,0.1030931,0.1380853,1000,0.1,0,0.95,0.1,0,999,0.5,24,2.21,0.3,2.17
2,ESN: narma10,0.2904,-0.1209,0.1611,0.181,0.1030096,0.1375677,1000,0.1,0,0.95,0.2,0,999,0.5,24,2.17,0.29,2.08
3,ESN: narma10,0.2742,-0.1387,0.162,0.1818,0.1041904,0.138755,1000,0.1,0,0.95,0.3,0,999,0.5,24,2.24,0.27,2.22
4,ESN: narma10,0.2993,-0.1353,0.1605,0.1818,0.1023023,0.138818,1000,0.1,0,0.95,0.4,0,999,0.5,24,2.28,0.29,2.24
5,ESN: narma10,0.2608,-0.1406,0.1628,0.1818,0.1051746,0.1386953,1000,0.1,0,0.95,0.5,0,999,0.5,24,2.3,0.29,2.23
6,ESN: narma10,0.2828,-0.1416,0.1615,0.1818,0.103495,0.138773,1000,0.1,0,0.95,0.6,0,999,0.5,24,2.25,0.3,2.22
7,ESN: narma10,0.3254,-0.122,0.159,0.1808,0.1003547,0.1371856,1000,0.1,0,0.95,0.7,0,999,0.5,24,2.26,0.29,2.24
8,ESN: narma10,0.285,-0.1342,0.1613,0.1808,0.1032712,0.1372474,1000,0.1,0,0.95,0.8,0,999,0.5,24,2.3,0.3,2.22
9,ESN: narma10,0.3069,-0.1366,0.16,0.1796,0.1016646,0.1354237,1000,0.1,0,0.95,0.9,0,999,0.5,24,2.25,0.28,2.25
10,ESN: narma10,0.8239,0.5406,0.1127,0.143,0.0504156,0.0858553,1000,0.25,0,0.95,0,0,999,0.5,24,1.89,0.29,2.07
11,ESN: narma10,0.7979,0.3966,0.118,0.1532,0.05524,0.098588,1000,0.25,0,0.95,0.1,0,999,0.5,24,1.94,0.29,2.06
12,ESN: narma10,0.8196,0.5137,0.112,0.1441,0.0497954,0.0871639,1000,0.25,0,0.95,0.2,0,999,0.5,24,2.09,0.3,1.97
13,ESN: narma10,0.7591,0.4058,0.1241,0.1526,0.0611338,0.0976956,1000,0.25,0,0.95,0.3,0,999,0.5,24,2.27,0.28,2.13
14,ESN: narma10,0.8229,0.4567,0.112,0.1481,0.0498345,0.0921096,1000,0.25,0,0.95,0.4,0,999,0.5,24,2.25,0.29,2.14
15,ESN: narma10,0.7577,0.4157,0.1242,0.1514,0.061262,0.0962769,1000,0.25,0,0.95,0.5,0,999,0.5,24,2.22,0.3,2.19
16,ESN: narma10,0.7748,0.3615,0.121,0.1554,0.0580913,0.1014135,1000,0.25,0,0.95,0.6,0,999,0.5,24,2.21,0.29,2.08
17,ESN: narma10,0.8355,0.4978,0.1093,0.1453,0.0474411,0.0886721,1000,0.25,0,0.95,0.7,0,999,0.5,24,2.21,0.27,2.18
18,ESN: narma10,0.7823,0.4662,0.1203,0.1477,0.057421,0.0916041,1000,0.25,0,0.95,0.8,0,999,0.5,24,2.17,0.27,2.11
19,ESN: narma10,0.804,0.4234,0.1176,0.151,0.0548839,0.0957104,1000,0.25,0,0.95,0.9,0,999,0.5,24,2.23,0.28,2.15
20,ESN: narma10,0.9789,0.9117,0.0449,0.0771,0.0080164,0.0249338,1000,0.5,0,0.95,0,0,999,0.5,24,1.69,0.3,2.04
21,ESN: narma10,0.975,0.8939,0.0473,0.0823,0.0088794,0.0284315,1000,0.5,0,0.95,0.1,0,999,0.5,24,1.74,0.29,2.07
22,ESN: narma10,0.9721,0.8984,0.0476,0.0785,0.0090067,0.0258657,1000,0.5,0,0.95,0.2,0,999,0.5,24,1.82,0.29,2.06
23,ESN: narma10,0.9671,0.8792,0.0529,0.0872,0.0110955,0.0318887,1000,0.5,0,0.95,0.3,0,999,0.5,24,2.22,0.27,2.08
24,ESN: narma10,0.9776,0.8857,0.043,0.0819,0.0073476,0.0281605,1000,0.5,0,0.95,0.4,0,999,0.5,24,2.19,0.28,2.12
25,ESN: narma10,0.9581,0.8475,0.0575,0.0918,0.0131367,0.0353911,1000,0.5,0,0.95,0.5,0,999,0.5,24,2.16,0.29,2.06
26,ESN: narma10,0.9621,0.8511,0.0561,0.0936,0.0124788,0.0367951,1000,0.5,0,0.95,0.6,0,999,0.5,24,2.24,0.29,2.09
27,ESN: narma10,0.9709,0.8757,0.0484,0.0871,0.0093054,0.0318823,1000,0.5,0,0.95,0.7,0,999,0.5,24,2.19,0.28,2.07
28,ESN: narma10,0.9595,0.8666,0.0587,0.0887,0.013661,0.0330335,1000,0.5,0,0.95,0.8,0,999,0.5,24,2.23,0.27,2.14
