,network,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,ESN: narma10,0.9832,0.8845,0.0335,0.0787,0.0044607,0.0260035,1000,1,0.1,0.95,0.1,0,999,0.5,24,1.98,0.24,1.94
1,ESN: narma10,0.9351,0.7409,0.0667,0.114,0.0176596,0.0545268,1000,1,0.1,0.95,0.1,0.1,999,0.5,24,2.01,0.24,1.98
2,ESN: narma10,0.8288,0.5336,0.0989,0.1401,0.0388489,0.082443,1000,1,0.1,0.95,0.1,0.2,999,0.5,24,2.0,0.25,2.0
3,ESN: narma10,0.7585,0.44,0.1125,0.1493,0.0501964,0.0935865,1000,1,0.1,0.95,0.1,0.3,999,0.5,24,2.0,0.24,1.98
4,ESN: narma10,0.7064,0.3727,0.121,0.1554,0.0581452,0.1013483,1000,1,0.1,0.95,0.1,0.4,999,0.5,24,2.01,0.25,1.99
5,ESN: narma10,0.6593,0.3213,0.1279,0.1596,0.0649423,0.1068914,1000,1,0.1,0.95,0.1,0.5,999,0.5,24,2.0,0.24,2.0
6,ESN: narma10,0.6292,0.2565,0.132,0.1645,0.0692091,0.1136415,1000,1,0.1,0.95,0.1,0.6,999,0.5,24,1.99,0.24,1.97
7,ESN: narma10,0.5884,0.1918,0.1368,0.1697,0.0742457,0.1208235,1000,1,0.1,0.95,0.1,0.7,999,0.5,24,1.99,0.24,2.0
8,ESN: narma10,0.558,0.1897,0.14,0.1708,0.0777653,0.1225321,1000,1,0.1,0.95,0.1,0.8,999,0.5,24,0.7,0.22,0.7
9,ESN: narma10,0.5104,0.193,0.1449,0.1663,0.0832895,0.1160789,1000,1,0.1,0.95,0.1,0.9,999,0.5,24,0.71,0.22,0.7
