,network,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,ESN: narma10,-0.0694,0.0778,0.2011,0.1777,0.1605724,0.1324956,1000,1,0.1,0.05,0.1,0,999,0.5,24,1.98,0.23,1.99
1,ESN: narma10,-0.0584,0.075,0.1951,0.1753,0.1510519,0.1290161,1000,1,0.1,0.1,0.1,0,999,0.5,24,1.97,0.23,2.01
2,ESN: narma10,-0.0076,0.0339,0.1761,0.1693,0.1230847,0.1202803,1000,1,0.1,0.3,0.1,0,999,0.5,24,1.97,0.23,2.01
3,ESN: narma10,0.1543,0.0496,0.1666,0.1678,0.1101682,0.1182612,1000,1,0.1,0.5,0.1,0,999,0.5,24,1.99,0.23,2.02
4,ESN: narma10,0.6321,0.3277,0.1401,0.1569,0.0778993,0.1033459,1000,1,0.1,0.7,0.1,0,999,0.5,24,1.97,0.23,2.01
5,ESN: narma10,0.9697,0.8707,0.0467,0.085,0.0086394,0.0302967,1000,1,0.1,0.9,0.1,0,999,0.5,24,1.97,0.23,1.99
6,ESN: narma10,0.9832,0.8845,0.0335,0.0787,0.0044607,0.0260035,1000,1,0.1,0.95,0.1,0,999,0.5,24,1.95,0.23,2.0
7,ESN: narma10,0.9896,0.8848,0.0258,0.0781,0.0026388,0.0256115,1000,1,0.1,0.99,0.1,0,999,0.5,24,1.97,0.23,2.02
8,ESN: narma10,0.9909,0.8838,0.0241,0.0784,0.002303,0.0258148,1000,1,0.1,1,0.1,0,999,0.5,24,1.52,0.23,1.51
9,ESN: narma10,0.992,0.8825,0.0225,0.0789,0.0020022,0.0261206,1000,1,0.1,1.01,0.1,0,999,0.5,24,1.52,0.23,1.53
10,ESN: narma10,0.9956,0.8737,0.0165,0.082,0.0010849,0.0281942,1000,1,0.1,1.05,0.1,0,999,0.5,24,1.51,0.23,1.51
11,ESN: narma10,0.9982,0.8553,0.0107,0.0879,0.0004579,0.0324066,1000,1,0.1,1.1,0.1,0,999,0.5,24,1.55,0.23,1.53
12,ESN: narma10,1.0,0.4822,0.0016,0.1684,1.02e-05,0.1189862,1000,1,0.1,1.3,0.1,0,999,0.5,24,1.56,0.23,1.52
13,ESN: narma10,1.0,0.1089,0.0005,0.2596,9e-07,0.2829957,1000,1,0.1,1.5,0.1,0,999,0.5,24,1.55,0.23,1.52
