"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/03/16 16:06'37","44271.6712615741","  23.5000","","","","","","","",
"2021/03/16 16:07'37","44271.6719560185","  23.4000","","","","","","","",
"2021/03/16 16:08'37","44271.6726504630","  22.3000","","","","","","","",
"2021/03/16 16:09'37","44271.6733449074","  20.7000","","","","","","","",
"2021/03/16 16:10'37","44271.6740393519","  19.2000","","","","","","","",
"2021/03/16 16:11'37","44271.6747337963","  17.7000","","","","","","","",
"2021/03/16 16:12'37","44271.6754282407","  16.5000","","","","","","","",
"2021/03/16 16:13'37","44271.6761226852","  15.6000","","","","","","","",
"2021/03/16 16:14'37","44271.6768171296","  15.6000","","","","","","","",
"2021/03/16 16:15'37","44271.6775115741","  15.0000","","","","","","","",
"2021/03/16 16:16'37","44271.6782060185","  14.9000","","","","","","","",
"2021/03/16 16:17'37","44271.6789004630","  14.7000","","","","","","","",
"2021/03/16 16:18'37","44271.6795949074","  14.5000","","","","","","","",
"2021/03/16 16:19'37","44271.6802893519","  14.7000","","","","","","","",
"2021/03/16 16:20'37","44271.6809837963","  14.5000","","","","","","","",
"2021/03/16 16:21'37","44271.6816782407","  14.9000","","","","","","","",
"2021/03/16 16:22'37","44271.6823726852","  14.7000","","","","","","","",
"2021/03/16 16:23'37","44271.6830671296","  15.2000","","","","","","","",
"2021/03/16 16:24'37","44271.6837615741","  15.1000","","","","","","","",
"2021/03/16 16:25'37","44271.6844560185","  15.5000","","","","","","","",
"2021/03/16 16:26'37","44271.6851504630","  15.6000","","","","","","","",
"2021/03/16 16:27'37","44271.6858449074","  15.9000","","","","","","","",
"2021/03/16 16:28'37","44271.6865393519","  16.3000","","","","","","","",
"2021/03/16 16:29'37","44271.6872337963","  16.2000","","","","","","","",
"2021/03/16 16:30'37","44271.6879282407","  16.7000","","","","","","","",
"2021/03/16 16:31'37","44271.6886226852","  16.5000","","","","","","","",
"2021/03/16 16:32'37","44271.6893171296","  16.9000","","","","","","","",
"2021/03/16 16:33'37","44271.6900115741","  16.7000","","","","","","","",
"2021/03/16 16:34'37","44271.6907060185","  16.9000","","","","","","","",
"2021/03/16 16:35'37","44271.6914004630","  16.8000","","","","","","","",
"2021/03/16 16:36'37","44271.6920949074","  16.7000","","","","","","","",
"2021/03/16 16:37'37","44271.6927893519","  16.8000","","","","","","","",
