2021-05-21_11-58-47.jpg; date_time: 2021-05-21 11:58:47; grid_n: 1; count: 74; total_area: 10845; mean_area: 146.55; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_11-59-47.jpg; date_time: 2021-05-21 11:59:47; grid_n: 1; count: 64; total_area: 10129; mean_area: 158.27; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-00-47.jpg; date_time: 2021-05-21 12:00:47; grid_n: 1; count: 68; total_area: 10803; mean_area: 158.87; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-01-47.jpg; date_time: 2021-05-21 12:01:47; grid_n: 1; count: 74; total_area: 11147; mean_area: 150.64; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-02-47.jpg; date_time: 2021-05-21 12:02:47; grid_n: 1; count: 77; total_area: 12902; mean_area: 167.56; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-03-47.jpg; date_time: 2021-05-21 12:03:47; grid_n: 1; count: 66; total_area: 11490; mean_area: 174.09; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-04-47.jpg; date_time: 2021-05-21 12:04:47; grid_n: 1; count: 52; total_area: 9577; mean_area: 184.17; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-05-47.jpg; date_time: 2021-05-21 12:05:47; grid_n: 1; count: 50; total_area: 10014; mean_area: 200.28; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-06-47.jpg; date_time: 2021-05-21 12:06:47; grid_n: 1; count: 43; total_area: 8024; mean_area: 186.6; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-07-47.jpg; date_time: 2021-05-21 12:07:47; grid_n: 1; count: 33; total_area: 6855; mean_area: 207.73; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-08-47.jpg; date_time: 2021-05-21 12:08:47; grid_n: 1; count: 53; total_area: 19658; mean_area: 370.91; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-09-47.jpg; date_time: 2021-05-21 12:09:47; grid_n: 1; count: 42; total_area: 8524; mean_area: 202.95; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-10-47.jpg; date_time: 2021-05-21 12:10:47; grid_n: 1; count: 49; total_area: 11122; mean_area: 226.98; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-11-47.jpg; date_time: 2021-05-21 12:11:47; grid_n: 1; count: 52; total_area: 18810; mean_area: 361.73; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-12-47.jpg; date_time: 2021-05-21 12:12:47; grid_n: 1; count: 27; total_area: 4905; mean_area: 181.67; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-13-47.jpg; date_time: 2021-05-21 12:13:47; grid_n: 1; count: 29; total_area: 6114; mean_area: 210.83; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-14-47.jpg; date_time: 2021-05-21 12:14:47; grid_n: 1; count: 36; total_area: 6594; mean_area: 183.17; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-15-47.jpg; date_time: 2021-05-21 12:15:47; grid_n: 1; count: 21; total_area: 4108; mean_area: 195.62; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-16-47.jpg; date_time: 2021-05-21 12:16:47; grid_n: 1; count: 37; total_area: 6250; mean_area: 168.92; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-17-47.jpg; date_time: 2021-05-21 12:17:47; grid_n: 1; count: 48; total_area: 9097; mean_area: 189.52; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-18-47.jpg; date_time: 2021-05-21 12:18:47; grid_n: 1; count: 36; total_area: 6497; mean_area: 180.47; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-19-47.jpg; date_time: 2021-05-21 12:19:47; grid_n: 1; count: 40; total_area: 6336; mean_area: 158.4; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-20-47.jpg; date_time: 2021-05-21 12:20:47; grid_n: 1; count: 28; total_area: 4274; mean_area: 152.64; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-21-47.jpg; date_time: 2021-05-21 12:21:47; grid_n: 1; count: 36; total_area: 5462; mean_area: 151.72; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-22-47.jpg; date_time: 2021-05-21 12:22:47; grid_n: 1; count: 31; total_area: 5002; mean_area: 161.35; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-23-47.jpg; date_time: 2021-05-21 12:23:47; grid_n: 1; count: 34; total_area: 5109; mean_area: 150.26; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-24-47.jpg; date_time: 2021-05-21 12:24:47; grid_n: 1; count: 45; total_area: 7367; mean_area: 163.71; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-25-47.jpg; date_time: 2021-05-21 12:25:47; grid_n: 1; count: 38; total_area: 5956; mean_area: 156.74; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-26-47.jpg; date_time: 2021-05-21 12:26:47; grid_n: 1; count: 34; total_area: 4562; mean_area: 134.18; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-27-47.jpg; date_time: 2021-05-21 12:27:47; grid_n: 1; count: 40; total_area: 5576; mean_area: 139.4; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-28-47.jpg; date_time: 2021-05-21 12:28:47; grid_n: 1; count: 39; total_area: 5279; mean_area: 135.36; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-29-47.jpg; date_time: 2021-05-21 12:29:47; grid_n: 1; count: 41; total_area: 5379; mean_area: 131.2; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-30-47.jpg; date_time: 2021-05-21 12:30:47; grid_n: 1; count: 45; total_area: 6415; mean_area: 142.56; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-05-21_12-31-47.jpg; date_time: 2021-05-21 12:31:47; grid_n: 1; count: 45; total_area: 6242; mean_area: 138.71; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
