"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/04/23 15:26'25","44309.6433449074","  23.5000","","","","","","","",
"2021/04/23 15:27'25","44309.6440393519","  23.4000","","","","","","","",
"2021/04/23 15:28'25","44309.6447337963","  23.0000","","","","","","","",
"2021/04/23 15:29'25","44309.6454282407","  22.9000","","","","","","","",
"2021/04/23 15:30'25","44309.6461226852","  22.8000","","","","","","","",
"2021/04/23 15:31'25","44309.6468171296","  22.8000","","","","","","","",
"2021/04/23 15:32'25","44309.6475115741","  22.8000","","","","","","","",
"2021/04/23 15:33'25","44309.6482060185","  22.9000","","","","","","","",
"2021/04/23 15:34'25","44309.6489004630","  22.9000","","","","","","","",
"2021/04/23 15:35'25","44309.6495949074","  22.8000","","","","","","","",
"2021/04/23 15:36'25","44309.6502893519","  22.4000","","","","","","","",
"2021/04/23 15:37'25","44309.6509837963","  22.2000","","","","","","","",
"2021/04/23 15:38'25","44309.6516782407","  22.0000","","","","","","","",
"2021/04/23 15:39'25","44309.6523726852","  21.4000","","","","","","","",
"2021/04/23 15:40'25","44309.6530671296","  21.0000","","","","","","","",
"2021/04/23 15:41'25","44309.6537615741","  20.1000","","","","","","","",
"2021/04/23 15:42'25","44309.6544560185","  19.5000","","","","","","","",
"2021/04/23 15:43'25","44309.6551504630","  18.9000","","","","","","","",
"2021/04/23 15:44'25","44309.6558449074","  18.6000","","","","","","","",
"2021/04/23 15:45'25","44309.6565393519","  18.3000","","","","","","","",
"2021/04/23 15:46'25","44309.6572337963","  18.1000","","","","","","","",
"2021/04/23 15:47'25","44309.6579282407","  18.0000","","","","","","","",
"2021/04/23 15:48'25","44309.6586226852","  17.9000","","","","","","","",
"2021/04/23 15:49'25","44309.6593171296","  17.9000","","","","","","","",
"2021/04/23 15:50'25","44309.6600115741","  17.8000","","","","","","","",
"2021/04/23 15:51'25","44309.6607060185","  17.9000","","","","","","","",
"2021/04/23 15:52'25","44309.6614004630","  17.8000","","","","","","","",
"2021/04/23 15:53'25","44309.6620949074","  17.8000","","","","","","","",
"2021/04/23 15:54'25","44309.6627893519","  17.6000","","","","","","","",
"2021/04/23 15:55'25","44309.6634837963","  17.4000","","","","","","","",
"2021/04/23 15:56'25","44309.6641782407","  17.1000","","","","","","","",
"2021/04/23 15:57'25","44309.6648726852","  16.8000","","","","","","","",
"2021/04/23 15:58'25","44309.6655671296","  16.9000","","","","","","","",
"2021/04/23 15:59'25","44309.6662615741","  17.2000","","","","","","","",
"2021/04/23 16:00'25","44309.6669560185","  17.4000","","","","","","","",
"2021/04/23 16:01'25","44309.6676504630","  17.7000","","","","","","","",
"2021/04/23 16:02'25","44309.6683449074","  18.1000","","","","","","","",
"2021/04/23 16:03'25","44309.6690393519","  18.5000","","","","","","","",
"2021/04/23 16:04'25","44309.6697337963","  18.3000","","","","","","","",
"2021/04/23 16:05'25","44309.6704282407","  17.9000","","","","","","","",
"2021/04/23 16:06'25","44309.6711226852","  17.4000","","","","","","","",
"2021/04/23 16:07'25","44309.6718171296","  16.6000","","","","","","","",
"2021/04/23 16:08'25","44309.6725115741","  16.8000","","","","","","","",
"2021/04/23 16:09'25","44309.6732060185","  17.5000","","","","","","","",
"2021/04/23 16:10'25","44309.6739004630","  18.8000","","","","","","","",
"2021/04/23 16:11'25","44309.6745949074","  20.2000","","","","","","","",
"2021/04/23 16:12'25","44309.6752893519","  21.8000","","","","","","","",
"2021/04/23 16:13'25","44309.6759837963","  22.2000","","","","","","","",
"2021/04/23 16:14'25","44309.6766782407","  22.1000","","","","","","","",
"2021/04/23 16:15'25","44309.6773726852","  21.3000","","","","","","","",
"2021/04/23 16:16'25","44309.6780671296","  20.1000","","","","","","","",
"2021/04/23 16:17'25","44309.6787615741","  19.0000","","","","","","","",
"2021/04/23 16:18'25","44309.6794560185","  18.1000","","","","","","","",
"2021/04/23 16:19'25","44309.6801504630","  18.2000","","","","","","","",
"2021/04/23 16:20'25","44309.6808449074","  19.0000","","","","","","","",
"2021/04/23 16:21'25","44309.6815393519","  20.0000","","","","","","","",
"2021/04/23 16:22'25","44309.6822337963","  20.8000","","","","","","","",
"2021/04/23 16:23'25","44309.6829282407","  21.3000","","","","","","","",
"2021/04/23 16:24'25","44309.6836226852","  21.6000","","","","","","","",
"2021/04/23 16:25'25","44309.6843171296","  21.5000","","","","","","","",
"2021/04/23 16:26'25","44309.6850115741","  21.4000","","","","","","","",
"2021/04/23 16:27'25","44309.6857060185","  21.1000","","","","","","","",
"2021/04/23 16:28'25","44309.6864004630","  21.4000","","","","","","","",
"2021/04/23 16:29'25","44309.6870949074","  21.6000","","","","","","","",
"2021/04/23 16:30'25","44309.6877893519","  22.2000","","","","","","","",
"2021/04/23 16:31'25","44309.6884837963","  22.6000","","","","","","","",
"2021/04/23 16:32'25","44309.6891782407","  23.3000","","","","","","","",
"2021/04/23 16:33'25","44309.6898726852","  23.4000","","","","","","","",
"2021/04/23 16:34'25","44309.6905671296","  23.4000","","","","","","","",
"2021/04/23 16:35'25","44309.6912615741","  23.4000","","","","","","","",
"2021/04/23 16:36'25","44309.6919560185","  23.5000","","","","","","","",
"2021/04/23 16:37'25","44309.6926504630","  23.5000","","","","","","","",
"2021/04/23 16:38'25","44309.6933449074","  23.5000","","","","","","","",
"2021/04/23 16:39'25","44309.6940393519","  23.6000","","","","","","","",
"2021/04/23 16:40'25","44309.6947337963","  24.1000","","","","","","","",
"2021/04/23 16:41'25","44309.6954282407","  24.4000","","","","","","","",
"2021/04/23 16:42'25","44309.6961226852","  24.8000","","","","","","","",
"2021/04/23 16:43'25","44309.6968171296","  24.6000","","","","","","","",
"2021/04/23 16:44'25","44309.6975115741","  24.4000","","","","","","","",
"2021/04/23 16:45'25","44309.6982060185","  24.3000","","","","","","","",
"2021/04/23 16:46'25","44309.6989004630","  24.3000","","","","","","","",
"2021/04/23 16:47'25","44309.6995949074","  24.2000","","","","","","","",
"2021/04/23 16:48'25","44309.7002893519","  24.1000","","","","","","","",
"2021/04/23 16:49'25","44309.7009837963","  24.0000","","","","","","","",
"2021/04/23 16:50'25","44309.7016782407","  23.9000","","","","","","","",
"2021/04/23 16:51'25","44309.7023726852","  23.9000","","","","","","","",
"2021/04/23 16:52'25","44309.7030671296","  23.8000","","","","","","","",
"2021/04/23 16:53'25","44309.7037615741","  23.2000","","","","","","","",
"2021/04/23 16:54'25","44309.7044560185","  22.2000","","","","","","","",
"2021/04/23 16:55'25","44309.7051504630","  21.3000","","","","","","","",
"2021/04/23 16:56'25","44309.7058449074","  20.1000","","","","","","","",
"2021/04/23 16:57'25","44309.7065393519","  18.9000","","","","","","","",
"2021/04/23 16:58'25","44309.7072337963","  17.9000","","","","","","","",
"2021/04/23 16:59'25","44309.7079282407","  17.6000","","","","","","","",
"2021/04/23 17:00'25","44309.7086226852","  17.3000","","","","","","","",
"2021/04/23 17:01'25","44309.7093171296","  17.4000","","","","","","","",
"2021/04/23 17:02'25","44309.7100115741","  17.5000","","","","","","","",
"2021/04/23 17:03'25","44309.7107060185","  18.0000","","","","","","","",
"2021/04/23 17:04'25","44309.7114004630","  18.6000","","","","","","","",
"2021/04/23 17:05'25","44309.7120949074","  19.5000","","","","","","","",
"2021/04/23 17:06'25","44309.7127893519","  20.2000","","","","","","","",
"2021/04/23 17:07'25","44309.7134837963","  21.3000","","","","","","","",
"2021/04/23 17:08'25","44309.7141782407","  21.6000","","","","","","","",
"2021/04/23 17:09'25","44309.7148726852","  21.1000","","","","","","","",
"2021/04/23 17:10'25","44309.7155671296","  20.1000","","","","","","","",
"2021/04/23 17:11'25","44309.7162615741","  19.0000","","","","","","","",
"2021/04/23 17:12'25","44309.7169560185","  18.0000","","","","","","","",
"2021/04/23 17:13'25","44309.7176504630","  17.0000","","","","","","","",
"2021/04/23 17:14'25","44309.7183449074","  16.4000","","","","","","","",
"2021/04/23 17:15'25","44309.7190393519","  16.1000","","","","","","","",
"2021/04/23 17:16'25","44309.7197337963","  15.7000","","","","","","","",
"2021/04/23 17:17'25","44309.7204282407","  15.6000","","","","","","","",
"2021/04/23 17:18'25","44309.7211226852","  15.3000","","","","","","","",
"2021/04/23 17:19'25","44309.7218171296","  15.4000","","","","","","","",
"2021/04/23 17:20'25","44309.7225115741","  15.3000","","","","","","","",
"2021/04/23 17:21'25","44309.7232060185","  15.4000","","","","","","","",
"2021/04/23 17:22'25","44309.7239004630","  15.4000","","","","","","","",
"2021/04/23 17:23'25","44309.7245949074","  15.5000","","","","","","","",
"2021/04/23 17:24'25","44309.7252893519","  15.6000","","","","","","","",
"2021/04/23 17:25'25","44309.7259837963","  15.6000","","","","","","","",
"2021/04/23 17:26'25","44309.7266782407","  15.7000","","","","","","","",
"2021/04/23 17:27'25","44309.7273726852","  15.7000","","","","","","","",
"2021/04/23 17:28'25","44309.7280671296","  16.0000","","","","","","","",
"2021/04/23 17:29'25","44309.7287615741","  16.6000","","","","","","","",
"2021/04/23 17:30'25","44309.7294560185","  17.2000","","","","","","","",
"2021/04/23 17:31'25","44309.7301504630","  17.7000","","","","","","","",
"2021/04/23 17:32'25","44309.7308449074","  18.3000","","","","","","","",
"2021/04/23 17:33'25","44309.7315393519","  18.7000","","","","","","","",
"2021/04/23 17:34'25","44309.7322337963","  19.2000","","","","","","","",
"2021/04/23 17:35'25","44309.7329282407","  19.6000","","","","","","","",
"2021/04/23 17:36'25","44309.7336226852","  19.9000","","","","","","","",
"2021/04/23 17:37'25","44309.7343171296","  20.3000","","","","","","","",
"2021/04/23 17:38'25","44309.7350115741","  20.6000","","","","","","","",
"2021/04/23 17:39'25","44309.7357060185","  21.4000","","","","","","","",
"2021/04/23 17:40'25","44309.7364004630","  21.8000","","","","","","","",
"2021/04/23 17:41'25","44309.7370949074","  22.5000","","","","","","","",
"2021/04/23 17:42'25","44309.7377893519","  22.8000","","","","","","","",
"2021/04/23 17:43'25","44309.7384837963","  23.3000","","","","","","","",
"2021/04/23 17:44'25","44309.7391782407","  23.3000","","","","","","","",
"2021/04/23 17:45'25","44309.7398726852","  23.2000","","","","","","","",
"2021/04/23 17:46'25","44309.7405671296","  23.2000","","","","","","","",
"2021/04/23 17:47'25","44309.7412615741","  23.2000","","","","","","","",
"2021/04/23 17:48'25","44309.7419560185","  23.2000","","","","","","","",
"2021/04/23 17:49'25","44309.7426504630","  23.2000","","","","","","","",
"2021/04/23 17:50'25","44309.7433449074","  23.2000","","","","","","","",
"2021/04/23 17:51'25","44309.7440393519","  23.2000","","","","","","","",
"2021/04/23 17:52'25","44309.7447337963","  23.2000","","","","","","","",
"2021/04/23 17:53'25","44309.7454282407","  22.8000","","","","","","","",
"2021/04/23 17:54'25","44309.7461226852","  21.7000","","","","","","","",
"2021/04/23 17:55'25","44309.7468171296","  20.7000","","","","","","","",
"2021/04/23 17:56'25","44309.7475115741","  19.6000","","","","","","","",
"2021/04/23 17:57'25","44309.7482060185","  18.5000","","","","","","","",
"2021/04/23 17:58'25","44309.7489004630","  17.7000","","","","","","","",
"2021/04/23 17:59'25","44309.7495949074","  17.5000","","","","","","","",
"2021/04/23 18:00'25","44309.7502893519","  17.8000","","","","","","","",
"2021/04/23 18:01'25","44309.7509837963","  18.2000","","","","","","","",
"2021/04/23 18:02'25","44309.7516782407","  18.6000","","","","","","","",
"2021/04/23 18:03'25","44309.7523726852","  19.0000","","","","","","","",
