"time_id","temperature_input","temperature","run1","run2","run3","run4","run5","run6"
1,-1.09252342836286,1.057183606623,0.22894573309375,-0.0798847450887651,-0.551887937994466,0.17913924248858,-0.618496784097865,-0.460093998018203
2,-1.09252342836286,1.13896742243814,0.232291172512798,-0.0788117162775444,-0.505156227870393,0.221937212528787,-0.67479328577645,-0.427010933691559
3,-1.09252342836286,1.17985933034572,0.235654865363314,-0.154591510712315,-0.461920369010667,0.201544127694446,-0.654674204675357,-0.459411894829145
4,-1.09252342836286,1.057183606623,0.173824473254378,-0.0766581879695077,-0.437418303247317,0.212765502643834,-0.499758903459086,-0.262368411962522
5,-1.09252342836286,0.770940251269977,0.24243753345895,-0.0755777206597094,-0.405134935101667,0.129034081220363,-0.614087276612743,-0.524336696607038
6,-1.34925740822415,0.362021172194239,0.245856751531064,-0.0744948223162965,-0.391773542120569,0.224688715042252,-0.303344186965741,-0.277847005260624
7,-1.34925740822415,-0.0877898147890727,0.216418532030132,0.0810222110863993,-0.290064993797928,0.00354297521925129,-0.301319684031022,-0.40877308923146
8,-1.34925740822415,-0.537600801772386,-0.109887086717134,-0.0723219036675011,-0.303199416115888,-0.154434585241943,0.0121460113741847,-0.391964597998313
9,-1.34925740822415,-0.823844157125402,-0.206593319545731,0.00616534126134697,-0.266211305299882,-0.270288141197399,-0.141065824290069,-0.325803048358306
10,-1.34925740822415,-0.90562797294055,-0.270687259681528,0.239813507818981,-0.256106828130409,-0.449761457182448,-0.0210778745959726,-0.292465615677412
11,-1.09252342836286,-1.02830369666327,-0.202166816472261,-0.0690456110173646,-0.249824196066617,-0.597675106729857,-0.0182009403174397,-0.110902370160014
12,-1.09252342836286,-1.06919560457085,-0.166599394286919,0.00972158570270647,-0.231802537208859,-0.544479703565119,0.142243197809886,-0.126810215576149
13,-1.09252342836286,-1.15097942038599,-0.164262360795499,0.244198601633762,-0.264521608527645,-0.597218788721105,0.0666103963337506,-0.0438227649268165
14,-1.09252342836286,-1.15097942038599,-0.296006608198622,-0.0657509459838531,-0.191482787889401,-0.681834128677461,0.149013069366762,-0.0762027338620943
15,-1.09252342836286,-1.19187132829357,-0.0586961853238586,-0.0646491110722762,-0.208533256243169,-0.628595163365856,0.510076373205237,-0.0921162272179355
16,-0.681749060584791,-1.19187132829357,-0.123461940773683,-0.141583527837993,-0.154585752120221,-0.543442347559732,0.116002270157094,-0.306260335868975
