,network,rho_train,rho_test,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,Random Network,0.7446,0.7265,0.1987,0.1989,0.1191847,0.1284228,1,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
1,Random Network,0.8497,0.8382,0.1206,0.1238,0.0438613,0.0497635,2,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
2,Random Network,0.9195,0.9167,0.0898,0.0906,0.0243482,0.0266194,3,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
3,Random Network,0.9334,0.9325,0.0824,0.0821,0.020475,0.0218652,4,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
4,Random Network,0.9402,0.9379,0.0778,0.0786,0.018287,0.0200694,5,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
5,Random Network,0.9157,0.9133,0.0919,0.0924,0.0254704,0.0276971,6,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
6,Random Network,0.8932,0.8867,0.1031,0.1048,0.0320623,0.0356075,7,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
7,Random Network,0.948,0.9452,0.0727,0.074,0.0159519,0.0177629,8,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
8,Random Network,0.9388,0.9345,0.0787,0.0807,0.0187084,0.0211102,9,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
9,Random Network,0.9446,0.9433,0.0751,0.0753,0.0170021,0.0183894,10,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
10,Random Network,0.9403,0.9377,0.0778,0.0787,0.0182651,0.0200917,15,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
11,Random Network,0.9751,0.9738,0.0509,0.052,0.0078287,0.008766,20,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
12,Random Network,0.9931,0.9934,0.027,0.0266,0.0022047,0.0022978,40,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
13,Random Network,0.9919,0.9911,0.0292,0.0306,0.0025718,0.0030361,60,2,0,0.99,0.5,0,900,0.2,36,0.01,0.0,0.0
