,network_name,train_pred,test_pred,trian_RMSE,test_RMSE,trian_NMSE,test_NMSE,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size
0,Combined_Network,0.9397,0.9349,0.0784,0.0804,0.019199,0.0209571,20,0.0,1,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
1,Combined_Network,0.947,0.9418,0.0737,0.0761,0.0169322,0.0188067,40,0.0,2,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
2,Combined_Network,0.9523,0.9471,0.07,0.0727,0.0152799,0.0171389,60,0.01,3,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
3,Combined_Network,0.9601,0.9554,0.0642,0.067,0.0128803,0.0145517,80,0.0,4,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
4,Combined_Network,0.9667,0.9623,0.0588,0.0618,0.0107935,0.0123996,100,0.02,5,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
5,Combined_Network,0.9686,0.9641,0.0572,0.0604,0.0101992,0.0118476,120,0.01,6,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
6,Combined_Network,0.9711,0.967,0.055,0.058,0.0094314,0.0109345,140,0.01,7,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
7,Combined_Network,0.9756,0.9718,0.0506,0.0538,0.0079917,0.0093947,160,0.02,8,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
8,Combined_Network,0.9803,0.9782,0.0457,0.0476,0.006506,0.0073636,180,0.02,9,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
9,Combined_Network,0.9812,0.9793,0.0446,0.0465,0.0062097,0.0070086,200,0.02,10,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
10,Combined_Network,0.982,0.98,0.0437,0.0457,0.0059548,0.0067746,220,0.08,11,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
11,Combined_Network,0.9825,0.9802,0.0431,0.0454,0.0057939,0.0066819,240,0.02,12,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
12,Combined_Network,0.983,0.9805,0.0424,0.0451,0.0056036,0.006599,260,0.03,13,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
13,Combined_Network,0.9848,0.9831,0.0402,0.0421,0.0050421,0.005756,280,0.04,14,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
14,Combined_Network,0.9853,0.9837,0.0395,0.0414,0.0048577,0.0055497,300,0.03,15,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
15,Combined_Network,0.9857,0.9841,0.039,0.0409,0.0047342,0.0054179,320,0.03,16,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
16,Combined_Network,0.9867,0.9854,0.0376,0.0393,0.004403,0.0049992,340,0.05,17,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
17,Combined_Network,0.987,0.9856,0.0371,0.0389,0.0042952,0.004902,360,0.05,18,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
18,Combined_Network,0.9874,0.9861,0.0365,0.0382,0.0041569,0.0047472,380,0.07,19,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
19,Combined_Network,0.9882,0.9869,0.0354,0.0371,0.0039211,0.0044766,400,0.14,20,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
20,Combined_Network,0.9885,0.9872,0.0349,0.0367,0.0038005,0.004359,420,0.17,21,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
21,Combined_Network,0.9889,0.9876,0.0344,0.0361,0.0036903,0.00424,440,0.06,22,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
22,Combined_Network,0.9892,0.9879,0.0339,0.0356,0.003582,0.0041198,460,0.05,23,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
23,Combined_Network,0.9893,0.9881,0.0337,0.0355,0.0035374,0.0040793,480,0.04,24,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
24,Combined_Network,0.9898,0.9885,0.033,0.0349,0.0033906,0.0039413,500,0.05,25,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
25,Combined_Network,0.9901,0.9889,0.0323,0.0341,0.0032653,0.0037835,520,0.07,26,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
26,Combined_Network,0.9904,0.9893,0.0319,0.0336,0.003175,0.003662,540,0.07,27,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
27,Combined_Network,0.9907,0.9896,0.0315,0.0331,0.0030864,0.0035584,560,0.07,28,20,0.0132117,20,2.0,0.0,0.99,0.5,0,900
