,network_name,train_pred,test_pred,trian_RMSE,test_RMSE,trian_NMSE,test_NMSE,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size
0,Combined_Network,0.9558,0.9525,0.0675,0.0691,0.0142269,0.0155042,50,0.01,1,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
1,Combined_Network,0.9689,0.9651,0.057,0.0596,0.0101358,0.0115155,100,0.02,2,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
2,Combined_Network,0.9727,0.9694,0.0534,0.0559,0.0089047,0.0101567,150,0.02,3,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
3,Combined_Network,0.9774,0.9744,0.0488,0.0514,0.0074165,0.008559,200,0.02,4,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
4,Combined_Network,0.9802,0.9775,0.0456,0.0481,0.0065003,0.0075223,250,0.02,5,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
5,Combined_Network,0.9851,0.9832,0.0398,0.0418,0.0049407,0.005674,300,0.05,6,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
6,Combined_Network,0.9873,0.9856,0.0368,0.0389,0.0042339,0.0049134,350,0.04,7,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
7,Combined_Network,0.9885,0.9871,0.035,0.0369,0.003818,0.004425,400,0.09,8,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
8,Combined_Network,0.9907,0.99,0.0315,0.0325,0.0030971,0.0034298,450,0.06,9,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
9,Combined_Network,0.9912,0.9906,0.0306,0.0315,0.0029187,0.0032276,500,0.09,10,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
10,Combined_Network,0.9918,0.9912,0.0296,0.0305,0.0027265,0.0030227,550,0.11,11,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
11,Combined_Network,0.9922,0.9916,0.0289,0.0299,0.0026103,0.0028935,600,0.1,12,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
12,Combined_Network,0.9929,0.9924,0.0276,0.0284,0.0023712,0.0026179,650,0.13,13,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
13,Combined_Network,0.9931,0.9927,0.0271,0.0279,0.0022867,0.002521,700,0.17,14,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
14,Combined_Network,0.9934,0.993,0.0266,0.0274,0.0022118,0.0024384,750,0.15,15,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
15,Combined_Network,0.9938,0.9935,0.0256,0.0264,0.0020517,0.0022658,800,0.15,16,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
16,Combined_Network,0.9946,0.9941,0.024,0.025,0.0017948,0.0020312,850,0.16,17,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
17,Combined_Network,0.9948,0.9943,0.0235,0.0246,0.0017228,0.0019628,900,0.14,18,50,0.0030936,50,2.0,0.0,0.99,0.5,0,900
