,network_name,train_pred,test_pred,trian_RMSE,test_RMSE,trian_NMSE,test_NMSE,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size
39,Combined_Network,0.9597,0.9564,0.0645,0.0662,0.012974,0.0142382,200,0.04,40,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
40,Combined_Network,0.9604,0.9574,0.0639,0.0655,0.0127591,0.0139181,205,0.02,41,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
41,Combined_Network,0.9606,0.958,0.0637,0.065,0.0126753,0.0137252,210,0.02,42,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
42,Combined_Network,0.9607,0.9582,0.0637,0.0649,0.0126522,0.0136703,215,0.02,43,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
43,Combined_Network,0.961,0.9585,0.0634,0.0647,0.0125507,0.0135756,220,0.02,44,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
44,Combined_Network,0.9618,0.9596,0.0628,0.0638,0.012291,0.0132219,225,0.02,45,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
45,Combined_Network,0.9619,0.9597,0.0627,0.0638,0.0122752,0.0132025,230,0.02,46,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
46,Combined_Network,0.9622,0.9599,0.0625,0.0636,0.0121816,0.0131318,235,0.02,47,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
47,Combined_Network,0.9634,0.9608,0.0615,0.0629,0.0117885,0.0128337,240,0.04,48,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
48,Combined_Network,0.9634,0.9608,0.0615,0.0629,0.01179,0.0128342,245,0.02,49,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
49,Combined_Network,0.9636,0.9609,0.0614,0.0628,0.0117457,0.0128072,250,0.03,50,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
50,Combined_Network,0.9637,0.961,0.0613,0.0628,0.0117082,0.0127824,255,0.05,51,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
51,Combined_Network,0.9639,0.9611,0.0611,0.0626,0.0116442,0.0127242,260,0.04,52,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
52,Combined_Network,0.9641,0.9614,0.0609,0.0624,0.011572,0.0126445,265,0.04,53,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
53,Combined_Network,0.9643,0.9616,0.0607,0.0623,0.0115092,0.0125812,270,0.04,54,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
54,Combined_Network,0.9646,0.9618,0.0605,0.0621,0.0114181,0.0125006,275,0.04,55,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
55,Combined_Network,0.9646,0.9619,0.0605,0.062,0.0114097,0.0124925,280,0.05,56,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
56,Combined_Network,0.9648,0.962,0.0603,0.0619,0.0113544,0.0124477,285,0.03,57,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
57,Combined_Network,0.965,0.9622,0.0602,0.0618,0.0113046,0.0124057,290,0.03,58,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
58,Combined_Network,0.9651,0.9623,0.06,0.0617,0.0112517,0.0123467,295,0.04,59,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
59,Combined_Network,0.9652,0.9624,0.06,0.0616,0.0112275,0.0123181,300,0.05,60,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
60,Combined_Network,0.9654,0.9622,0.0599,0.0618,0.0111777,0.0123908,305,0.02,61,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
61,Combined_Network,0.9655,0.9623,0.0598,0.0617,0.0111463,0.0123661,310,0.04,62,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
62,Combined_Network,0.966,0.9628,0.0593,0.0613,0.0109701,0.0122094,315,0.05,63,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
63,Combined_Network,0.9662,0.9628,0.0592,0.0613,0.0109274,0.0121893,320,0.04,64,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
64,Combined_Network,0.9662,0.9628,0.0591,0.0613,0.0109118,0.0121972,325,0.06,65,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
65,Combined_Network,0.9666,0.9632,0.0588,0.061,0.0108041,0.0120837,330,0.1,66,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
66,Combined_Network,0.9669,0.9634,0.0586,0.0608,0.0107089,0.0119892,335,0.06,67,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
67,Combined_Network,0.967,0.9635,0.0584,0.0608,0.0106524,0.0119779,340,0.07,68,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
68,Combined_Network,0.9672,0.9636,0.0583,0.0606,0.0106166,0.0119254,345,0.07,69,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
69,Combined_Network,0.9672,0.9637,0.0583,0.0606,0.0105975,0.0119053,350,0.04,70,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
70,Combined_Network,0.9677,0.9642,0.0578,0.0601,0.010434,0.0117297,355,0.06,71,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
71,Combined_Network,0.968,0.9644,0.0576,0.06,0.0103675,0.0116972,360,0.05,72,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
72,Combined_Network,0.9681,0.9644,0.0575,0.06,0.0103317,0.011679,365,0.05,73,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
